game_pk,f5_away_runs,f5_home_runs,f5_outcome
824541,0,0,TIE
824536,3,1,AWAY
823887,0,2,HOME
824533,7,0,AWAY
823721,2,4,HOME
824529,5,2,AWAY
824524,2,3,HOME
824682,1,0,AWAY
824520,0,4,HOME
824439,3,0,AWAY
823462,4,1,AWAY
823626,1,3,HOME
824864,4,3,AWAY
823730,6,1,AWAY
823724,0,1,HOME
823723,0,5,HOME
823795,1,8,HOME
824704,7,3,AWAY
824700,3,2,AWAY
823484,7,2,AWAY
823485,0,3,HOME
823483,1,1,TIE
822758,11,4,AWAY
822757,9,2,AWAY
822756,1,6,HOME
822755,1,2,HOME
822754,2,4,HOME
822753,3,1,AWAY
823808,2,3,HOME
823805,2,0,AWAY
823804,2,3,HOME
823400,1,5,HOME
823398,5,4,AWAY
823399,0,2,HOME
823396,4,4,TIE
822752,8,3,AWAY
822751,3,5,HOME
822750,0,3,HOME
822749,2,3,HOME
822747,3,5,HOME
822748,8,4,AWAY
822745,2,2,TIE
824611,3,1,AWAY
824613,2,0,AWAY
824612,0,0,TIE
823636,0,8,HOME
823633,9,2,AWAY
823634,3,3,TIE
822744,4,0,AWAY
822746,3,1,AWAY
822742,1,2,HOME
822743,6,2,AWAY
822740,2,3,HOME
822741,3,5,HOME
823871,3,2,AWAY
823869,4,2,AWAY
823868,2,2,TIE
824521,7,2,AWAY
824519,6,6,TIE
824517,0,9,HOME
822739,0,1,HOME
822737,0,4,HOME
822738,6,2,AWAY
822734,4,3,AWAY
822736,5,9,HOME
822735,2,4,HOME
822733,2,1,AWAY
824922,0,0,TIE
824920,2,0,AWAY
824921,1,0,AWAY
824437,8,2,AWAY
824434,4,1,AWAY
824432,1,3,HOME
822732,4,5,HOME
822731,3,1,AWAY
822729,0,3,HOME
822730,1,3,HOME
824213,6,3,AWAY
824215,6,6,TIE
824211,2,5,HOME
825025,3,5,HOME
824374,1,7,HOME
823155,7,7,TIE
823154,1,4,HOME
824209,1,3,HOME
824207,4,3,AWAY
824204,5,2,AWAY
824850,11,3,AWAY
824769,0,1,HOME
824201,8,3,AWAY
824523,1,3,HOME
824195,1,0,AWAY
824193,0,4,HOME
823704,2,0,AWAY
824679,4,0,AWAY
824676,7,3,AWAY
822896,5,1,AWAY
824191,3,4,HOME
824540,3,5,HOME
824538,2,0,AWAY
824214,0,4,HOME
824212,1,6,HOME
824786,2,2,TIE
824782,2,1,AWAY
824781,6,4,AWAY
824783,5,5,TIE
824780,0,0,TIE
824779,0,3,HOME
823076,2,3,HOME
823074,2,0,AWAY
823075,7,1,AWAY
823725,3,13,HOME
824778,0,0,TIE
824775,4,1,AWAY
824777,5,1,AWAY
824776,2,2,TIE
824773,1,0,AWAY
824774,4,0,AWAY
824770,1,2,HOME
824854,2,9,HOME
824851,7,0,AWAY
824852,3,1,AWAY
822825,3,0,AWAY
822823,0,3,HOME
822821,1,7,HOME
824772,1,3,HOME
824771,6,1,AWAY
824283,0,0,TIE
824281,10,3,AWAY
824282,4,0,AWAY
824767,3,3,TIE
824768,0,2,HOME
824765,3,0,AWAY
824764,2,0,AWAY
824763,1,1,TIE
824762,0,0,TIE
824925,0,2,HOME
824924,1,2,HOME
824923,0,7,HOME
824114,0,0,TIE
824112,2,1,AWAY
824111,2,3,HOME
824761,3,6,HOME
824760,4,1,AWAY
824759,3,4,HOME
824758,2,2,TIE
824756,0,6,HOME
824757,2,2,TIE
824433,3,4,HOME
824431,1,1,TIE
824430,3,4,HOME
823718,1,3,HOME
822989,0,2,HOME
823812,1,8,HOME
823811,1,4,HOME
823890,8,3,AWAY
