feature,importance
points_against_avg_12,0.07768211
opp_pts_allowed_def_avg_12,0.053916547
spread_line,0.048981458
points_for_avg_12,0.046404112
points_against_ewm,0.03752272
home,0.03705696
first_downs_avg_12,0.033864386
opp_fd_allowed_def_avg_12,0.02498406
points_for_med_12,0.023740463
win_pct_8,0.023530953
opp_pts_allowed_def_avg_4,0.02267936
points_for_ewm,0.02049326
opp_yds_allowed_def_avg_12,0.02004342
points_against_med_12,0.019143838
opp_pts_allowed_def_avg_8,0.01644113
opp_yds_allowed_def_avg_8,0.013732032
total_yards_avg_12,0.013214522
opp_pass_yds_allowed_def_avg_12,0.011627668
opp_fd_allowed_def_avg_8,0.010987366
first_downs_avg_4,0.01056341
points_for_avg_8,0.008088349
third_down_eff_avg_12,0.0078672115
total_yards_ewm,0.007817553
rushing_yards_avg_8,0.006882369
opp_pass_yds_allowed_def_avg_8,0.0068389988
tackles_for_loss_avg_8,0.006612598
opp_to_forced_def_avg_12,0.0064542717
win_streak,0.0064027025
first_downs_med_12,0.006084898
total_line,0.005836549
rushing_yards_avg_12,0.0055917716
win_pct_4,0.005359718
third_down_eff_avg_8,0.005231656
first_downs_med_8,0.0051800124
passing_yards_avg_12,0.0050595
total_yards_med_12,0.0050508636
opp_rush_yds_allowed_def_avg_12,0.0050152326
fourth_down_eff_ewm,0.0050057056
third_down_eff_ewm,0.00483089
points_against_med_4,0.0047184783
possession_seconds_ewm,0.004664852
third_down_eff_med_12,0.004569521
third_down_eff_avg_4,0.004520588
passing_yards_med_12,0.004451766
total_yards_med_4,0.0044060536
first_downs_ewm,0.0043980377
opp_fd_allowed_def_avg_4,0.0043464876
first_downs_consistency,0.004341762
rushing_yards_med_12,0.0042970334
points_against_med_8,0.0041936985
rushing_yards_med_4,0.004173023
passing_yards_med_4,0.0041434774
sacks_med_4,0.00413275
points_for_med_4,0.0040663444
tackles_for_loss_ewm,0.0040264805
total_yards_avg_4,0.0039631366
passing_yards_avg_4,0.00394508
points_against_avg_4,0.0039057704
passing_yards_avg_8,0.0039023352
rushing_yards_ewm,0.0038990893
turnovers_med_8,0.0038809772
possession_seconds_consistency,0.003872423
turnovers_ewm,0.0038706388
possession_seconds_med_12,0.003860179
sacks_consistency,0.0038590347
total_yards_consistency,0.0038372823
passing_yards_streak,0.0038347081
sacks_med_8,0.0037879487
possession_seconds_avg_12,0.003779388
total_yards_med_8,0.0037191692
fourth_down_eff_med_12,0.0037123128
sacks_ewm,0.0036941294
tackles_for_loss_med_12,0.0036547494
points_against_streak,0.0036465656
points_for_med_8,0.003644031
passing_yards_med_8,0.0036331085
sacks_avg_8,0.0036213559
tackles_for_loss_avg_12,0.0036144573
turnovers_streak,0.0036119102
points_for_streak,0.0035710253
points_for_avg_4,0.0035498221
fourth_down_eff_med_4,0.0035319952
passing_yards_ewm,0.0034850168
fourth_down_eff_med_8,0.0034573022
points_against_consistency,0.0034414653
total_yards_avg_8,0.0034344257
first_downs_avg_8,0.0034093221
tackles_for_loss_consistency,0.0034018164
rushing_yards_streak,0.0034014673
first_downs_streak,0.0033954354
third_down_eff_med_4,0.0033942694
turnovers_avg_12,0.0033787517
tackles_for_loss_avg_4,0.003374405
fourth_down_eff_avg_12,0.0033698813
possession_seconds_avg_8,0.003346337
tackles_for_loss_med_8,0.0033395234
possession_seconds_med_8,0.0033358897
third_down_eff_streak,0.0033113442
passing_yards_consistency,0.0033033425
turnovers_consistency,0.003280243
points_for_consistency,0.00327907
points_against_avg_8,0.0032586441
third_down_eff_med_8,0.0032447083
third_down_eff_consistency,0.0032367872
possession_seconds_med_4,0.0032315517
rushing_yards_med_8,0.0032193675
possession_seconds_streak,0.0031966688
rushing_yards_consistency,0.0031837875
sacks_streak,0.0030780665
fourth_down_eff_streak,0.003020175
tackles_for_loss_med_4,0.0029831894
total_yards_streak,0.002979058
fourth_down_eff_avg_8,0.0029352393
turnovers_avg_8,0.0028981445
tackles_for_loss_streak,0.0028841905
fourth_down_eff_consistency,0.0028790175
first_downs_med_4,0.0028660295
rushing_yards_avg_4,0.0028587172
sacks_avg_12,0.0027910997
turnovers_med_4,0.002778734
opp_rush_yds_allowed_def_avg_8,0.0027115392
opp_pass_yds_allowed_def_avg_4,0.002650379
turnovers_avg_4,0.002635951
sacks_med_12,0.002631218
fourth_down_eff_avg_4,0.002615163
turnovers_med_12,0.0025627878
possession_seconds_avg_4,0.002526472
sacks_avg_4,0.0025183226
opp_rush_yds_allowed_def_avg_4,0.0019681912
opp_to_forced_def_avg_8,0.0013039559
opp_yds_allowed_def_avg_4,0.001053019
opp_to_forced_def_avg_4,0.00048688898
penalty_yards_consistency,0.0
b2b,0.0
days_rest,0.0
penalty_yards_streak,0.0
penalty_yards_avg_4,0.0
penalty_yards_med_12,0.0
penalty_yards_ewm,0.0
penalty_yards_med_4,0.0
penalty_yards_avg_8,0.0
four_in_six,0.0
penalty_yards_med_8,0.0
penalty_yards_avg_12,0.0
