feature,importance
points_against_avg_12,0.19497612
win_pct_4,0.081135765
opp_rush_yds_allowed_def_avg_4,0.065397486
opp_yds_allowed_def_avg_4,0.06329186
points_against_avg_4,0.046173863
opp_rush_yds_allowed_def_avg_8,0.04487764
opp_fd_allowed_def_avg_4,0.024585878
points_against_avg_8,0.023271242
total_line,0.02177175
win_pct_8,0.02127767
points_for_avg_4,0.019169236
points_against_ewm,0.019029982
opp_pts_allowed_def_avg_12,0.014848502
opp_pts_allowed_def_avg_4,0.009608571
opp_yds_allowed_def_avg_8,0.0078036636
points_for_avg_12,0.0072295405
opp_to_forced_def_avg_8,0.006971909
win_streak,0.006870486
possession_seconds_avg_4,0.0062006265
opp_pts_allowed_def_avg_8,0.0059813187
possession_seconds_med_8,0.0052418374
points_for_avg_8,0.0051682387
points_for_ewm,0.0051195878
first_downs_med_8,0.005093167
total_yards_med_4,0.004226475
passing_yards_avg_12,0.003763678
possession_seconds_ewm,0.0037012808
points_against_med_12,0.003675228
tackles_for_loss_med_12,0.003671303
possession_seconds_avg_12,0.0036425
total_yards_ewm,0.0036197717
spread_line,0.0035565484
opp_fd_allowed_def_avg_8,0.0035201418
points_against_med_8,0.0035111583
rushing_yards_med_12,0.0034999826
passing_yards_med_12,0.0034993116
third_down_eff_med_12,0.0034661205
total_yards_med_8,0.0034557164
total_yards_med_12,0.0034116413
first_downs_ewm,0.0033036864
opp_yds_allowed_def_avg_12,0.0032947597
third_down_eff_med_8,0.0032801118
passing_yards_med_4,0.0032554334
tackles_for_loss_avg_12,0.0032439437
first_downs_med_4,0.003176542
turnovers_ewm,0.003161431
total_yards_consistency,0.00315205
total_yards_avg_4,0.0031335934
passing_yards_streak,0.0030582321
sacks_avg_12,0.003006551
fourth_down_eff_ewm,0.003004849
rushing_yards_med_8,0.0030032229
first_downs_avg_12,0.0030028536
possession_seconds_med_12,0.002974559
points_for_med_4,0.0029703698
total_yards_streak,0.002955469
possession_seconds_consistency,0.0029441083
first_downs_avg_8,0.002940396
passing_yards_consistency,0.002937183
points_for_med_12,0.0029132857
rushing_yards_consistency,0.0029075195
tackles_for_loss_avg_8,0.0028959317
third_down_eff_avg_8,0.0028930122
third_down_eff_ewm,0.0028887682
turnovers_avg_8,0.0028796473
first_downs_consistency,0.0028613263
third_down_eff_avg_12,0.0028455728
total_yards_avg_12,0.0028317922
fourth_down_eff_med_8,0.0028219798
sacks_consistency,0.0028175265
first_downs_med_12,0.0028127239
possession_seconds_streak,0.002795471
turnovers_avg_12,0.0027658362
first_downs_streak,0.0027567663
passing_yards_ewm,0.0027503727
points_for_med_8,0.002749688
rushing_yards_med_4,0.0027429587
third_down_eff_consistency,0.0027301565
rushing_yards_avg_8,0.0027287344
sacks_avg_8,0.0027237297
fourth_down_eff_streak,0.0027193797
points_against_med_4,0.0027099296
rushing_yards_avg_12,0.0026953619
third_down_eff_streak,0.0026875571
passing_yards_med_8,0.0026726914
tackles_for_loss_med_4,0.0026551916
tackles_for_loss_streak,0.00263815
possession_seconds_med_4,0.0026114355
fourth_down_eff_avg_8,0.002598787
possession_seconds_avg_8,0.0025711071
turnovers_consistency,0.0025662852
tackles_for_loss_med_8,0.0025326598
tackles_for_loss_consistency,0.0025254593
passing_yards_avg_8,0.0025239636
turnovers_streak,0.0025215559
fourth_down_eff_avg_12,0.002501299
points_against_streak,0.0024921098
rushing_yards_ewm,0.002478326
rushing_yards_streak,0.0024690444
fourth_down_eff_consistency,0.0024630541
points_for_consistency,0.0024595454
sacks_ewm,0.002436816
total_yards_avg_8,0.0024359254
points_for_streak,0.0024297945
tackles_for_loss_ewm,0.0024244105
third_down_eff_med_4,0.0024176007
sacks_med_8,0.0024071701
sacks_streak,0.0024018188
fourth_down_eff_med_4,0.0023275665
third_down_eff_avg_4,0.0023079026
points_against_consistency,0.0023012203
turnovers_med_12,0.0022958464
opp_fd_allowed_def_avg_12,0.0022072298
passing_yards_avg_4,0.0021857726
tackles_for_loss_avg_4,0.0021688035
fourth_down_eff_avg_4,0.0021492795
turnovers_med_4,0.002146111
sacks_med_4,0.0021190692
rushing_yards_avg_4,0.002023649
fourth_down_eff_med_12,0.002008911
sacks_med_12,0.001991127
turnovers_avg_4,0.0019241677
first_downs_avg_4,0.0018799591
opp_to_forced_def_avg_12,0.001759146
sacks_avg_4,0.0017566067
turnovers_med_8,0.0016881354
opp_rush_yds_allowed_def_avg_12,0.0014880613
opp_pass_yds_allowed_def_avg_12,0.0011803153
opp_to_forced_def_avg_4,0.00091415725
opp_pass_yds_allowed_def_avg_4,0.0007477899
opp_pass_yds_allowed_def_avg_8,0.0006577196
home,0.00049610925
penalty_yards_med_8,0.0
penalty_yards_med_12,0.0
b2b,0.0
penalty_yards_ewm,0.0
penalty_yards_med_4,0.0
penalty_yards_streak,0.0
penalty_yards_avg_12,0.0
penalty_yards_avg_8,0.0
penalty_yards_consistency,0.0
days_rest,0.0
penalty_yards_avg_4,0.0
four_in_six,0.0
