feature,importance
points_for_avg_12,0.058087535
win_pct_8,0.04480158
opp_fd_allowed_def_avg_4,0.03996656
points_for_med_12,0.03863231
opp_pts_allowed_def_avg_4,0.03418399
opp_pts_allowed_def_avg_12,0.030071456
spread_line,0.02909279
points_for_avg_8,0.027970264
win_pct_4,0.025436835
opp_yds_allowed_def_avg_4,0.023232574
opp_pts_allowed_def_avg_8,0.022613754
points_against_avg_12,0.020781564
points_against_ewm,0.02076301
points_for_avg_4,0.02002438
home,0.018790748
total_line,0.013809909
opp_pass_yds_allowed_def_avg_4,0.013063269
opp_yds_allowed_def_avg_12,0.012499837
opp_yds_allowed_def_avg_8,0.011625277
opp_rush_yds_allowed_def_avg_4,0.011021558
points_against_med_12,0.010246804
opp_fd_allowed_def_avg_12,0.010048792
rushing_yards_avg_4,0.009798183
tackles_for_loss_avg_8,0.009129257
total_yards_avg_12,0.008745515
points_against_avg_8,0.008174367
rushing_yards_med_8,0.008040001
first_downs_avg_4,0.0074969037
total_yards_med_12,0.007271871
opp_fd_allowed_def_avg_8,0.0071894494
points_for_med_4,0.007000461
first_downs_avg_8,0.0067534167
points_against_avg_4,0.006621118
opp_rush_yds_allowed_def_avg_8,0.006572912
opp_pass_yds_allowed_def_avg_12,0.006344079
points_for_ewm,0.0061674663
total_yards_med_4,0.0061275624
total_yards_streak,0.0059246933
third_down_eff_avg_4,0.0058588604
passing_yards_avg_12,0.0057888795
rushing_yards_avg_12,0.005768767
passing_yards_avg_8,0.0057454607
rushing_yards_consistency,0.0057304655
total_yards_avg_4,0.0056737754
fourth_down_eff_med_4,0.005584851
rushing_yards_ewm,0.00554462
first_downs_ewm,0.0054609366
third_down_eff_med_12,0.0053668083
first_downs_consistency,0.005095324
win_streak,0.005027709
third_down_eff_streak,0.0049366388
total_yards_consistency,0.0049343114
possession_seconds_consistency,0.0049289702
opp_rush_yds_allowed_def_avg_12,0.0048547015
rushing_yards_med_4,0.0048462683
sacks_avg_8,0.0046954444
passing_yards_streak,0.0046562264
rushing_yards_avg_8,0.0046350635
passing_yards_med_4,0.0044773635
possession_seconds_avg_12,0.0043523996
fourth_down_eff_streak,0.0042789676
first_downs_streak,0.0042337202
third_down_eff_med_4,0.004233197
third_down_eff_avg_12,0.004222259
total_yards_med_8,0.0041914796
possession_seconds_med_4,0.0041696858
tackles_for_loss_avg_4,0.004145394
first_downs_med_12,0.004113719
passing_yards_consistency,0.0040960573
tackles_for_loss_med_8,0.004073292
possession_seconds_med_8,0.004043406
turnovers_avg_12,0.0040423432
tackles_for_loss_ewm,0.0040160967
sacks_ewm,0.003952438
total_yards_avg_8,0.0039200713
fourth_down_eff_avg_12,0.003907497
third_down_eff_avg_8,0.003888727
first_downs_avg_12,0.0038871479
turnovers_consistency,0.0037993712
passing_yards_avg_4,0.003702656
tackles_for_loss_med_12,0.0036867966
fourth_down_eff_consistency,0.0036023438
passing_yards_med_12,0.0035944409
rushing_yards_med_12,0.003586936
fourth_down_eff_avg_8,0.0035819476
sacks_consistency,0.0035787846
fourth_down_eff_med_12,0.0035211497
possession_seconds_ewm,0.003513327
tackles_for_loss_streak,0.003506967
third_down_eff_consistency,0.003469475
possession_seconds_avg_8,0.0034519797
possession_seconds_med_12,0.003404999
turnovers_avg_8,0.003383569
third_down_eff_med_8,0.0033533121
possession_seconds_avg_4,0.0033478197
first_downs_med_4,0.0033253138
turnovers_ewm,0.0033131782
sacks_streak,0.003312936
first_downs_med_8,0.0032631946
sacks_med_8,0.003178725
sacks_avg_4,0.003136262
third_down_eff_ewm,0.0031322767
sacks_med_4,0.003122004
turnovers_med_4,0.0031090647
turnovers_streak,0.0030815247
total_yards_ewm,0.00303788
rushing_yards_streak,0.003029639
passing_yards_ewm,0.0030024273
possession_seconds_streak,0.002952118
tackles_for_loss_avg_12,0.0029441619
fourth_down_eff_ewm,0.002916989
sacks_avg_12,0.0028800028
passing_yards_med_8,0.0028199852
points_against_med_4,0.002804579
tackles_for_loss_consistency,0.002773318
points_for_consistency,0.0027590946
points_against_streak,0.0027590585
tackles_for_loss_med_4,0.0027402395
points_for_streak,0.0026531075
points_for_med_8,0.0026501762
sacks_med_12,0.0026402548
fourth_down_eff_avg_4,0.002595733
points_against_med_8,0.0025615296
fourth_down_eff_med_8,0.0024212
points_against_consistency,0.002399421
turnovers_med_8,0.002393332
turnovers_avg_4,0.0021235128
turnovers_med_12,0.002002734
opp_to_forced_def_avg_12,0.0019033368
opp_pass_yds_allowed_def_avg_8,0.0018356466
opp_to_forced_def_avg_4,0.00083883136
penalty_yards_med_4,0.0
penalty_yards_avg_12,0.0
four_in_six,0.0
b2b,0.0
penalty_yards_avg_8,0.0
days_rest,0.0
penalty_yards_med_8,0.0
penalty_yards_streak,0.0
penalty_yards_med_12,0.0
penalty_yards_avg_4,0.0
penalty_yards_ewm,0.0
opp_to_forced_def_avg_8,0.0
penalty_yards_consistency,0.0
