feature,importance
so_med_7,0.030543257
r_med_7,0.026607761
bb_med_30,0.02060324
bb_avg_7,0.01973811
tb_med_30,0.016133765
h_avg_30,0.015540956
woba_avg_7,0.015117647
so_ewm,0.014630585
tb_avg_7,0.0145878745
ab_avg_14,0.0143701285
woba_med_30,0.014197037
so_consistency,0.014070134
ab_avg_7,0.013966624
r_med_14,0.01392985
so_med_14,0.013732319
h_med_30,0.013699946
hr_avg_14,0.013200816
3b_ewm,0.012896513
2b_ewm,0.012830349
woba_med_14,0.012558959
woba_streak,0.012135104
h_avg_7,0.011964617
h_ewm,0.01193684
bb_med_7,0.011870302
ab_consistency,0.011745209
woba_avg_14,0.0116700055
woba_consistency,0.011640306
rbi_avg_30,0.011594733
so_avg_30,0.011203869
hr_med_7,0.010999066
so_avg_7,0.010992603
rbi_avg_7,0.010792936
rbi_streak,0.010744586
so_streak,0.010599348
ab_ewm,0.010571675
r_streak,0.010515563
ab_med_14,0.010489665
tb_avg_30,0.01029137
hr_avg_7,0.010148695
ab_avg_30,0.010138076
tb_med_14,0.010106506
hr_streak,0.0101028085
hr_ewm,0.0100801885
h_avg_14,0.01003063
h_streak,0.009832156
hr_avg_30,0.009812592
bb_streak,0.009718605
woba_avg_30,0.009710191
2b_streak,0.009670562
rbi_consistency,0.0096092485
h_consistency,0.009437431
2b_avg_30,0.009430361
sb_streak,0.00936776
game_pk,0.009333756
rbi_ewm,0.009319433
tb_streak,0.009273595
r_consistency,0.009225167
tb_consistency,0.00904858
woba_med_7,0.009024715
tb_avg_14,0.008996308
tb_ewm,0.00899032
so_avg_14,0.008977396
2b_med_14,0.008971846
2b_avg_7,0.008954814
bb_avg_30,0.008944649
rbi_avg_14,0.008820612
bb_avg_14,0.008493802
r_avg_14,0.008432969
r_avg_30,0.008268841
2b_avg_14,0.007991006
sb_avg_30,0.007849803
3b_avg_14,0.0078148665
bb_consistency,0.007700438
ab_streak,0.0076985667
bb_ewm,0.007583533
r_ewm,0.0075681866
woba_ewm,0.0075663
sb_avg_7,0.0074782767
sb_ewm,0.0074769314
rbi_med_7,0.007231936
3b_streak,0.007079624
3b_avg_30,0.006731812
sb_avg_14,0.006479898
ab_med_30,0.00639088
days_rest,0.006273339
3b_avg_7,0.0059351237
tb_med_7,0.0057323324
hr_med_30,0.0056882156
so_med_30,0.0055223373
park_factor_k,0.0054519507
sb_consistency,0.0050887624
2b_consistency,0.004839903
sb_med_14,0.0048244717
bb_med_14,0.00481467
r_avg_7,0.0047255056
ab_med_7,0.004377975
rbi_med_14,0.0038470037
hr_med_14,0.0036369206
hr_consistency,0.003613189
fip_9_med_30,0.0
whip_med_30,0.0
hr_9_med_30,0.0
bb_9_med_30,0.0
k_9_med_30,0.0
er_med_30,0.0
ip_med_30,0.0
fip_9_med_14,0.0
er_ewm,0.0
whip_med_14,0.0
hr_9_med_14,0.0
bb_9_med_14,0.0
k_9_med_14,0.0
er_med_14,0.0
ip_med_14,0.0
fip_9_med_7,0.0
whip_med_7,0.0
ip_ewm,0.0
k_9_streak,0.0
k_9_ewm,0.0
bb_9_consistency,0.0
bb_9_streak,0.0
hr_9_streak,0.0
whip_streak,0.0
fip_9_streak,0.0
ip_consistency,0.0
er_consistency,0.0
k_9_consistency,0.0
er_streak,0.0
bb_9_ewm,0.0
hr_9_consistency,0.0
whip_consistency,0.0
ip_streak,0.0
fip_9_ewm,0.0
whip_ewm,0.0
hr_9_ewm,0.0
bb_9_med_7,0.0
hr_9_med_7,0.0
k_9_avg_7,0.0
k_9_med_7,0.0
3b_med_7,0.0
er_avg_7,0.0
ip_avg_7,0.0
four_in_six,0.0
b2b,0.0
3b_consistency,0.0
h_med_7,0.0
2b_med_7,0.0
sb_med_30,0.0
er_med_7,0.0
3b_med_30,0.0
2b_med_30,0.0
sb_med_7,0.0
rbi_med_30,0.0
r_med_30,0.0
h_med_14,0.0
3b_med_14,0.0
bb_9_avg_7,0.0
hr_9_avg_7,0.0
whip_avg_7,0.0
fip_9_avg_7,0.0
ip_med_7,0.0
fip_9_avg_30,0.0
whip_avg_30,0.0
hr_9_avg_30,0.0
bb_9_avg_30,0.0
k_9_avg_30,0.0
er_avg_30,0.0
ip_avg_30,0.0
fip_9_avg_14,0.0
whip_avg_14,0.0
hr_9_avg_14,0.0
bb_9_avg_14,0.0
k_9_avg_14,0.0
er_avg_14,0.0
ip_avg_14,0.0
fip_9_consistency,0.0
