feature,importance
ip_avg_7,0.2381526
ip_med_7,0.23426473
bb_ewm,0.01789997
bb_avg_30,0.013086992
h_avg_14,0.011193486
so_avg_7,0.011030571
tb_ewm,0.01068464
bb_avg_14,0.010378934
tb_avg_30,0.009897651
ab_med_30,0.008063507
four_in_six,0.0074764937
bb_med_30,0.006699013
woba_ewm,0.006597054
ip_avg_14,0.0059677577
days_rest,0.005916463
ab_ewm,0.0051412866
bb_avg_7,0.0049972
h_avg_7,0.004554201
hr_9_med_30,0.004543846
bb_9_med_30,0.0045382837
hr_med_30,0.004238988
whip_med_7,0.0041102697
ip_med_14,0.004092652
k_9_ewm,0.004007952
bb_9_consistency,0.0039684833
tb_avg_14,0.003929181
so_med_7,0.0039280644
bb_9_med_14,0.0039165197
bb_9_avg_30,0.0038215735
hr_9_avg_14,0.003796355
ip_consistency,0.0037940447
hr_9_avg_7,0.0037640808
hr_9_consistency,0.003742881
k_9_med_14,0.0037423598
er_avg_14,0.003737382
whip_ewm,0.0037098103
hr_9_med_14,0.003685126
er_med_14,0.0036850658
k_9_med_30,0.0036820576
so_med_14,0.0036810292
fip_9_streak,0.0036550616
h_med_30,0.003609856
h_ewm,0.0034943335
ip_avg_30,0.003474061
whip_med_14,0.003471236
bb_9_avg_14,0.0034701144
hr_ewm,0.0034677675
fip_9_med_30,0.0034628343
fip_9_avg_14,0.003451504
ip_med_30,0.003429345
er_consistency,0.003426598
er_ewm,0.0034161394
bb_consistency,0.003358207
bb_9_avg_7,0.0033170977
hr_avg_14,0.0033148825
whip_streak,0.003293697
whip_avg_30,0.0032934349
k_9_streak,0.0032839351
h_med_7,0.0032810767
ip_streak,0.00326246
bb_9_ewm,0.0032552197
whip_avg_14,0.0032548269
hr_streak,0.0032272611
hr_consistency,0.0032210718
fip_9_consistency,0.0031807462
h_med_14,0.003178992
game_pk,0.0031775935
so_consistency,0.0031752845
k_9_med_7,0.003175275
k_9_avg_30,0.003168042
hr_9_avg_30,0.0031548082
er_med_7,0.0031501993
fip_9_med_7,0.0031457746
fip_9_ewm,0.0031387971
fip_9_med_14,0.0031286054
hr_9_ewm,0.0031018783
k_9_avg_14,0.00309877
so_med_30,0.0030890754
k_9_consistency,0.003073757
k_9_avg_7,0.003044413
whip_avg_7,0.0030423466
so_avg_14,0.0030321511
bb_9_streak,0.0029787074
er_streak,0.0029760506
hr_9_streak,0.0029686166
bb_streak,0.0029421437
hr_9_med_7,0.0029121789
er_avg_30,0.0029096927
er_avg_7,0.0029011958
so_streak,0.0028995979
2b_avg_30,0.002896712
bb_med_7,0.0028706342
ip_ewm,0.002864312
b2b,0.0028405627
park_factor_k,0.0028344383
h_streak,0.0028289584
fip_9_avg_30,0.0028275186
whip_consistency,0.0028238303
whip_med_30,0.0027831744
fip_9_avg_7,0.0027635826
ab_avg_30,0.0027552769
bb_9_med_7,0.0027463909
h_avg_30,0.0027381587
bb_med_14,0.0027031628
h_consistency,0.0026423999
hr_med_7,0.002614727
so_avg_30,0.002592619
er_med_30,0.0025906565
rbi_ewm,0.002582385
woba_med_30,0.0025160178
hr_avg_30,0.0023881206
woba_avg_30,0.002317666
so_ewm,0.0023080164
r_ewm,0.0022747787
rbi_streak,0.0022698683
hr_avg_7,0.0022468544
ab_med_7,0.0022411281
rbi_avg_7,0.0021786015
sb_avg_14,0.0021710973
3b_ewm,0.0021195256
woba_avg_7,0.002119091
rbi_avg_14,0.0020935698
ab_avg_7,0.0019536323
ab_avg_14,0.0019492386
woba_avg_14,0.0019480229
r_streak,0.0019005977
woba_streak,0.0018851367
r_avg_30,0.0018726136
tb_streak,0.001837102
ab_streak,0.0017656076
2b_ewm,0.001755868
tb_consistency,0.0017448897
r_avg_7,0.0017033865
woba_consistency,0.0016925584
sb_streak,0.001621696
tb_avg_7,0.0015965776
rbi_med_7,0.0015661105
tb_med_30,0.0015515599
sb_ewm,0.0015022822
3b_avg_14,0.0014610072
tb_med_7,0.0014342442
ab_med_14,0.0014247444
rbi_consistency,0.0014214629
r_med_7,0.0014115738
2b_streak,0.0013774823
woba_med_7,0.0013559263
r_avg_14,0.0013450675
r_consistency,0.0013388882
2b_avg_14,0.0013031693
hr_med_14,0.0012866826
3b_streak,0.0012782614
r_med_14,0.001247819
ab_consistency,0.0012325961
rbi_med_14,0.0012146297
sb_avg_30,0.0011804369
sb_consistency,0.0011644354
rbi_med_30,0.0011543905
rbi_avg_30,0.0010797365
sb_avg_7,0.0010711477
3b_avg_30,0.0009435855
woba_med_14,0.00088938983
3b_avg_7,0.00079393014
2b_consistency,0.0007322299
2b_avg_7,0.0004111138
3b_med_14,0.0
2b_med_30,0.0
3b_med_30,0.0
3b_consistency,0.0
2b_med_7,0.0
sb_med_30,0.0
r_med_30,0.0
2b_med_14,0.0
tb_med_14,0.0
sb_med_7,0.0
sb_med_14,0.0
3b_med_7,0.0
