feature,importance
ip_med_7,0.23726049
ip_avg_7,0.21110344
h_med_7,0.02212061
ip_avg_30,0.014844003
ip_ewm,0.014134646
days_rest,0.011002509
four_in_six,0.010891784
k_9_ewm,0.008992447
h_ewm,0.008926843
h_avg_7,0.0075793746
h_avg_14,0.0071249832
k_9_avg_30,0.006524768
bb_9_streak,0.0062336978
k_9_avg_14,0.0062206783
ip_med_14,0.0061522666
fip_9_avg_30,0.0060983314
ip_avg_14,0.006067376
bb_9_avg_14,0.005899927
whip_med_14,0.0058756685
h_med_30,0.00572259
er_consistency,0.005712186
whip_ewm,0.005700944
fip_9_ewm,0.0056359917
fip_9_med_30,0.005602405
hr_9_med_30,0.00557223
so_med_7,0.0055659404
fip_9_consistency,0.005491313
whip_med_30,0.0054048584
ip_med_30,0.0053750332
bb_9_med_14,0.005374407
h_consistency,0.0053431834
bb_consistency,0.0053242035
hr_9_med_14,0.005311552
k_9_med_14,0.0053014182
hr_9_med_7,0.005272101
er_avg_14,0.0052361866
k_9_med_30,0.0052068736
bb_9_avg_7,0.0052008326
k_9_consistency,0.0051866765
er_avg_30,0.0051805144
hr_consistency,0.005179308
whip_consistency,0.0051576747
er_ewm,0.0051568327
fip_9_avg_14,0.005140803
bb_9_avg_30,0.0051184217
bb_ewm,0.005066258
k_9_avg_7,0.005037047
ip_consistency,0.0050000246
bb_avg_14,0.0049877292
bb_9_ewm,0.004970102
er_streak,0.0049690097
hr_9_consistency,0.0049117
hr_avg_30,0.0048920964
whip_avg_30,0.004884505
k_9_streak,0.004882886
hr_9_streak,0.004876209
hr_9_ewm,0.0047418466
so_avg_30,0.004726797
fip_9_med_7,0.004709286
park_factor_k,0.004706029
hr_streak,0.00470432
so_med_30,0.0046808566
er_med_14,0.0046569263
whip_avg_14,0.0046500624
so_streak,0.0046443054
hr_9_avg_30,0.004630078
hr_ewm,0.004621715
so_med_14,0.0046181483
h_med_14,0.004580702
hr_9_avg_7,0.0045273146
fip_9_med_14,0.0045126867
bb_streak,0.004506043
fip_9_avg_7,0.0044892626
er_med_30,0.00447101
ip_streak,0.004448556
fip_9_streak,0.0044177994
h_avg_30,0.0044077686
bb_9_med_30,0.0044000973
bb_9_consistency,0.0043847826
so_consistency,0.0043826518
whip_streak,0.0043644365
er_avg_7,0.0043266774
whip_avg_7,0.004305494
bb_avg_30,0.00428412
so_avg_14,0.004259325
so_avg_7,0.0042575942
game_pk,0.0042415485
hr_med_7,0.0041775997
h_streak,0.0041457764
k_9_med_7,0.0041355523
whip_med_7,0.004107482
bb_avg_7,0.0040896037
er_med_7,0.0040893853
hr_med_30,0.0040787463
so_ewm,0.0039072833
hr_avg_14,0.0039025883
bb_med_14,0.00390123
bb_9_med_7,0.0037363882
hr_9_avg_14,0.0037098408
bb_med_7,0.0036556795
hr_med_14,0.0034327016
hr_avg_7,0.0031916092
bb_med_30,0.0031883717
b2b,0.0018860719
3b_avg_14,0.0
2b_avg_14,0.0
ab_avg_7,0.0
tb_med_7,0.0
r_avg_7,0.0
rbi_avg_7,0.0
2b_avg_7,0.0
sb_med_7,0.0
3b_avg_7,0.0
sb_avg_7,0.0
3b_med_7,0.0
2b_med_7,0.0
tb_avg_7,0.0
woba_avg_7,0.0
rbi_med_7,0.0
r_med_7,0.0
ab_med_7,0.0
ab_avg_14,0.0
woba_avg_30,0.0
tb_avg_30,0.0
r_avg_14,0.0
sb_avg_30,0.0
3b_avg_30,0.0
2b_avg_30,0.0
rbi_avg_30,0.0
rbi_avg_14,0.0
r_avg_30,0.0
ab_avg_30,0.0
woba_avg_14,0.0
tb_avg_14,0.0
sb_avg_14,0.0
ab_streak,0.0
rbi_med_14,0.0
woba_med_7,0.0
woba_streak,0.0
3b_consistency,0.0
2b_consistency,0.0
2b_ewm,0.0
rbi_consistency,0.0
r_consistency,0.0
ab_consistency,0.0
3b_ewm,0.0
tb_streak,0.0
sb_consistency,0.0
sb_streak,0.0
sb_ewm,0.0
3b_streak,0.0
2b_streak,0.0
tb_ewm,0.0
woba_ewm,0.0
rbi_streak,0.0
rbi_ewm,0.0
tb_consistency,0.0
ab_med_14,0.0
r_med_30,0.0
r_med_14,0.0
2b_med_14,0.0
3b_med_14,0.0
sb_med_14,0.0
tb_med_14,0.0
woba_med_14,0.0
ab_med_30,0.0
rbi_med_30,0.0
woba_consistency,0.0
2b_med_30,0.0
3b_med_30,0.0
sb_med_30,0.0
tb_med_30,0.0
woba_med_30,0.0
ab_ewm,0.0
r_ewm,0.0
r_streak,0.0
