feature,importance
ip_avg_7,0.3779734
ip_med_7,0.34575567
ab_ewm,0.023650577
ab_avg_30,0.009308673
days_rest,0.007878036
ip_avg_30,0.007844916
ip_med_14,0.0077194534
four_in_six,0.0066779447
ip_avg_14,0.0065065436
tb_avg_30,0.0055078487
h_ewm,0.0053392462
tb_ewm,0.0049275267
h_avg_7,0.0046360595
so_med_7,0.0041348054
ip_ewm,0.003110884
h_med_7,0.003094096
ab_avg_7,0.003083138
hr_avg_7,0.0030341016
h_avg_30,0.0027881523
bb_ewm,0.002555275
h_avg_14,0.0022638373
whip_avg_14,0.0021015815
whip_ewm,0.0020237518
h_med_30,0.001953893
bb_avg_30,0.001923323
fip_9_med_30,0.0019107073
tb_avg_14,0.0018746724
bb_9_avg_30,0.0018116408
bb_9_ewm,0.0017822694
whip_med_30,0.0017807456
whip_avg_30,0.0017714278
so_med_14,0.0017677378
hr_9_consistency,0.0017573028
ip_streak,0.001752527
er_med_14,0.0017449075
r_ewm,0.0017140754
bb_med_7,0.0016995531
k_9_ewm,0.0016978969
er_avg_7,0.001697189
hr_med_30,0.0016832794
fip_9_avg_30,0.0016392247
bb_9_streak,0.0016375248
er_consistency,0.0016128718
h_med_14,0.001611822
fip_9_avg_14,0.001592486
whip_avg_7,0.0015693565
park_factor_k,0.0015653744
k_9_med_30,0.0015534245
whip_med_14,0.0015531234
hr_consistency,0.0015524297
bb_9_avg_14,0.0015504529
bb_streak,0.0015502939
hr_9_avg_14,0.001537924
bb_avg_14,0.0015343102
fip_9_ewm,0.0015291267
ab_avg_14,0.0015285482
r_streak,0.0015156874
hr_9_avg_7,0.0015133229
ip_consistency,0.0015110945
bb_9_med_30,0.001509129
er_med_7,0.0014986692
bb_med_14,0.0014985189
k_9_streak,0.0014913522
bb_9_med_14,0.001488776
hr_9_med_14,0.001484719
so_streak,0.0014723695
hr_9_med_30,0.0014607424
whip_streak,0.001447329
so_avg_14,0.0014416917
h_consistency,0.0014191475
bb_9_consistency,0.0014190848
hr_9_ewm,0.0014182496
bb_avg_7,0.0014155366
fip_9_med_14,0.0014141109
k_9_med_14,0.0014122591
so_avg_7,0.0014114742
fip_9_consistency,0.001407746
er_avg_30,0.0014020264
bb_consistency,0.0013922926
ip_med_30,0.0013802024
woba_avg_30,0.0013798667
er_ewm,0.0013733763
bb_9_avg_7,0.0013687582
whip_consistency,0.0013682591
er_streak,0.0013594151
k_9_avg_30,0.0013449426
fip_9_med_7,0.0013355376
k_9_avg_14,0.0013344627
hr_9_avg_30,0.0013313182
game_pk,0.0013279022
whip_med_7,0.0013187206
hr_ewm,0.0013088213
hr_avg_30,0.0013028773
so_consistency,0.0012987822
h_streak,0.0012979903
hr_9_streak,0.0012961408
hr_avg_14,0.0012939677
k_9_med_7,0.0012920303
k_9_consistency,0.0012879006
er_avg_14,0.0012863043
so_med_30,0.001277073
hr_med_14,0.0012448494
bb_9_med_7,0.001233565
er_med_30,0.0012269586
hr_med_7,0.0012084773
so_ewm,0.0011958836
hr_streak,0.0011953841
fip_9_avg_7,0.0011885413
k_9_avg_7,0.0011615914
fip_9_streak,0.0011470484
so_avg_30,0.0011259625
r_med_7,0.0011237757
bb_med_30,0.0011106068
hr_9_med_7,0.0010898232
3b_ewm,0.0010052142
ab_med_7,0.0009496394
ab_med_30,0.00088727864
tb_avg_7,0.0008352562
woba_avg_7,0.00082656596
b2b,0.00081912277
woba_med_7,0.0007446948
woba_avg_14,0.00073230814
rbi_med_30,0.0007048302
r_avg_7,0.0006070417
ab_consistency,0.00060660584
tb_streak,0.00059099594
rbi_avg_7,0.0005901175
woba_consistency,0.00058631046
3b_streak,0.00057677855
r_consistency,0.0005712183
woba_streak,0.0005710622
rbi_ewm,0.0005288724
sb_avg_7,0.0005244908
rbi_avg_14,0.0005175958
sb_avg_14,0.0005055013
tb_consistency,0.00050474604
2b_streak,0.00050090067
rbi_consistency,0.00050014927
woba_med_30,0.0004993204
3b_avg_14,0.0004885456
tb_med_14,0.00047415902
woba_ewm,0.0004724039
r_avg_14,0.00046709098
sb_streak,0.00046352172
rbi_streak,0.00046134283
rbi_avg_30,0.0004600901
2b_avg_30,0.00045939803
sb_avg_30,0.00042654487
sb_ewm,0.00042409162
ab_med_14,0.00042303535
2b_ewm,0.00041913817
3b_avg_30,0.00041694386
sb_med_7,0.000389559
2b_avg_14,0.00038014745
woba_med_14,0.00034710483
sb_consistency,0.00034127262
r_avg_30,0.0003203447
rbi_med_7,0.00031840274
2b_avg_7,0.0002889965
ab_streak,0.00025187538
sb_med_30,0.0
3b_med_30,0.0
3b_avg_7,0.0
tb_med_30,0.0
tb_med_7,0.0
2b_med_30,0.0
2b_consistency,0.0
3b_consistency,0.0
r_med_30,0.0
2b_med_7,0.0
sb_med_14,0.0
3b_med_14,0.0
2b_med_14,0.0
rbi_med_14,0.0
3b_med_7,0.0
r_med_14,0.0
