feature,importance
ab_avg_30,0.06662306
ab_ewm,0.059264816
tb_ewm,0.029557347
tb_avg_30,0.024509812
ab_avg_14,0.019079033
tb_avg_14,0.011960948
ab_med_30,0.011278391
bb_med_7,0.010943304
h_ewm,0.010920404
ab_avg_7,0.010672932
h_med_14,0.01064513
ab_med_14,0.010495605
tb_med_7,0.010329812
h_med_7,0.010249974
four_in_six,0.010244937
r_ewm,0.010193591
sb_ewm,0.010175488
tb_med_14,0.009977592
bb_ewm,0.009970873
bb_avg_14,0.0099012805
2b_consistency,0.009876726
woba_avg_14,0.00978015
rbi_consistency,0.009712474
bb_consistency,0.009682549
bb_avg_30,0.009555367
rbi_streak,0.00921355
woba_ewm,0.009060317
rbi_avg_30,0.00903924
2b_med_14,0.008900806
r_avg_30,0.008830944
h_consistency,0.0088135665
h_streak,0.008794933
b2b,0.008786965
2b_streak,0.008770663
bb_streak,0.008737599
ab_med_7,0.008727152
bb_med_30,0.008683769
woba_avg_30,0.008668487
game_pk,0.008616852
hr_avg_30,0.008584605
hr_consistency,0.008556809
3b_avg_30,0.008500319
r_consistency,0.008494452
tb_streak,0.008449512
woba_consistency,0.008389225
so_streak,0.008382075
hr_avg_7,0.008339299
woba_med_30,0.00833716
sb_avg_30,0.00833289
rbi_ewm,0.008320887
so_med_7,0.008292556
so_consistency,0.00821709
sb_streak,0.008200601
woba_streak,0.008178202
hr_ewm,0.008156018
h_avg_14,0.008128123
so_avg_7,0.008119848
r_avg_14,0.008079246
woba_med_7,0.008044587
h_avg_30,0.008018761
hr_streak,0.0080027655
3b_ewm,0.008002005
tb_consistency,0.007986269
park_factor_k,0.007976253
r_avg_7,0.007957157
bb_avg_7,0.007954797
so_ewm,0.007896229
ab_streak,0.007813419
2b_ewm,0.007806508
2b_avg_14,0.007804366
so_avg_14,0.007788555
so_med_14,0.007762436
hr_med_14,0.0077551245
tb_avg_7,0.007747224
ab_consistency,0.0077080303
so_avg_30,0.0076981112
days_rest,0.007627154
2b_avg_30,0.007619904
3b_streak,0.0075671873
rbi_avg_14,0.0075549837
h_avg_7,0.0075507923
woba_med_14,0.0075385566
hr_avg_14,0.0075315605
r_streak,0.0075012213
r_med_14,0.007469501
h_med_30,0.007188572
so_med_30,0.007083052
rbi_med_14,0.006928154
rbi_med_7,0.006893947
woba_avg_7,0.006893663
sb_avg_14,0.0067385137
rbi_avg_7,0.006673477
rbi_med_30,0.0066632857
2b_avg_7,0.006416255
r_med_30,0.005943537
3b_avg_14,0.0057153422
sb_avg_7,0.00546569
sb_consistency,0.005339642
bb_med_14,0.00524719
tb_med_30,0.0049543884
3b_avg_7,0.0047619413
r_med_7,0.004104486
ip_med_30,0.0
ip_ewm,0.0
fip_9_med_30,0.0
whip_med_30,0.0
hr_9_med_30,0.0
bb_9_med_30,0.0
k_9_med_30,0.0
er_med_30,0.0
whip_streak,0.0
k_9_ewm,0.0
fip_9_med_14,0.0
whip_med_14,0.0
hr_9_med_14,0.0
bb_9_med_14,0.0
k_9_med_14,0.0
er_med_14,0.0
ip_med_14,0.0
er_ewm,0.0
bb_9_ewm,0.0
hr_9_streak,0.0
hr_9_consistency,0.0
fip_9_streak,0.0
ip_consistency,0.0
bb_9_streak,0.0
er_consistency,0.0
k_9_consistency,0.0
bb_9_consistency,0.0
whip_med_7,0.0
hr_9_ewm,0.0
whip_consistency,0.0
k_9_streak,0.0
er_streak,0.0
ip_streak,0.0
fip_9_ewm,0.0
whip_ewm,0.0
fip_9_med_7,0.0
bb_9_avg_30,0.0
hr_9_med_7,0.0
fip_9_avg_7,0.0
hr_9_avg_7,0.0
bb_9_avg_7,0.0
k_9_avg_7,0.0
er_avg_7,0.0
ip_avg_7,0.0
3b_consistency,0.0
2b_med_7,0.0
3b_med_7,0.0
hr_med_7,0.0
sb_med_7,0.0
3b_med_14,0.0
sb_med_14,0.0
2b_med_30,0.0
3b_med_30,0.0
hr_med_30,0.0
whip_avg_7,0.0
ip_avg_14,0.0
bb_9_med_7,0.0
er_avg_14,0.0
k_9_med_7,0.0
er_med_7,0.0
ip_med_7,0.0
fip_9_avg_30,0.0
whip_avg_30,0.0
hr_9_avg_30,0.0
sb_med_30,0.0
k_9_avg_30,0.0
er_avg_30,0.0
ip_avg_30,0.0
fip_9_avg_14,0.0
whip_avg_14,0.0
hr_9_avg_14,0.0
bb_9_avg_14,0.0
k_9_avg_14,0.0
fip_9_consistency,0.0
