feature,importance
ip_med_7,0.18944685
ip_avg_7,0.13108104
tb_ewm,0.014865696
hr_ewm,0.013003971
ip_med_14,0.012283382
h_avg_7,0.01095739
days_rest,0.008648623
ip_avg_14,0.008128976
k_9_ewm,0.007686385
tb_avg_30,0.007213507
ip_ewm,0.0070915567
hr_avg_30,0.006846101
whip_med_30,0.006728623
hr_9_med_30,0.006307973
bb_9_avg_14,0.0061215186
k_9_med_7,0.006118135
hr_9_avg_14,0.0060751676
whip_avg_14,0.006002126
hr_consistency,0.0059928317
er_consistency,0.0059609124
fip_9_streak,0.00593927
whip_ewm,0.005908393
bb_9_med_30,0.005848957
so_med_14,0.0058023487
hr_9_avg_7,0.0057960013
bb_9_med_7,0.005689955
er_med_14,0.0056001088
fip_9_med_7,0.0055392804
whip_med_7,0.0055325907
er_med_30,0.0055102543
h_consistency,0.005484833
whip_streak,0.0054326933
bb_9_avg_7,0.005425599
so_avg_14,0.0053437664
bb_9_med_14,0.005343618
fip_9_med_14,0.005331247
hr_9_ewm,0.0053265295
h_avg_30,0.005230694
ip_avg_30,0.00518802
ip_streak,0.0051251594
so_avg_7,0.0050882325
hr_9_consistency,0.0050693415
er_ewm,0.005066428
rbi_ewm,0.0050617466
k_9_streak,0.00504857
bb_9_avg_30,0.0050454834
er_med_7,0.005045477
bb_9_ewm,0.005028097
er_avg_14,0.005022781
fip_9_avg_14,0.004982554
whip_avg_7,0.004982108
hr_avg_14,0.0049674152
k_9_avg_7,0.0049402155
ip_consistency,0.004921351
bb_9_streak,0.0048890277
k_9_avg_30,0.0048840656
hr_9_med_7,0.0048830123
ab_ewm,0.0048548863
hr_9_avg_30,0.004828913
fip_9_consistency,0.004826817
er_avg_7,0.004824349
whip_avg_30,0.0048094774
k_9_avg_14,0.004808652
h_med_7,0.0048044417
hr_avg_7,0.004789577
bb_streak,0.004773081
k_9_consistency,0.0047633336
ip_med_30,0.004748173
so_avg_30,0.0047335057
bb_med_14,0.0047192615
bb_9_consistency,0.004718204
hr_streak,0.0047145616
fip_9_med_30,0.0047035627
so_med_30,0.004703295
whip_med_14,0.0046705706
hr_9_med_14,0.00465169
k_9_med_30,0.0046089212
bb_consistency,0.0045906627
game_pk,0.0045790435
ab_avg_30,0.0045567905
four_in_six,0.004528988
whip_consistency,0.0044903336
k_9_med_14,0.004488635
fip_9_avg_30,0.004417133
h_avg_14,0.004408966
hr_9_streak,0.0044036857
bb_avg_14,0.0043935413
so_streak,0.0043703113
bb_avg_7,0.004352233
sb_avg_14,0.004350971
bb_med_7,0.0043465085
fip_9_ewm,0.004304677
so_consistency,0.004284362
h_streak,0.0042587854
er_avg_30,0.0042490414
bb_med_30,0.004223042
park_factor_k,0.00420397
h_med_14,0.004172028
fip_9_avg_7,0.004154162
hr_med_30,0.004092809
so_med_7,0.0040501268
er_streak,0.0040377257
so_ewm,0.003922736
hr_med_14,0.0037384357
h_med_30,0.003686449
h_ewm,0.0036419851
bb_avg_30,0.003615933
bb_ewm,0.0035770074
sb_streak,0.0033386678
ab_avg_7,0.003291955
sb_avg_7,0.003126032
hr_med_7,0.0031254832
r_ewm,0.0031201527
r_avg_30,0.002959594
ab_med_14,0.002939528
3b_avg_14,0.0028879507
2b_consistency,0.002883766
r_consistency,0.0028765774
tb_avg_14,0.0027233297
tb_med_14,0.0026553555
2b_avg_7,0.0025796785
ab_consistency,0.0025762261
woba_avg_14,0.002567599
r_streak,0.0025126566
woba_med_14,0.0024902795
r_avg_7,0.0024857714
tb_avg_7,0.0024541675
ab_avg_14,0.0024500282
sb_avg_30,0.002414345
sb_ewm,0.002397756
3b_streak,0.0023973652
3b_ewm,0.0023283034
woba_med_30,0.0022785433
rbi_avg_7,0.0022512707
2b_ewm,0.0022160818
2b_avg_30,0.0021611822
rbi_med_14,0.002127865
woba_consistency,0.002107978
woba_med_7,0.0020846725
woba_ewm,0.0020617526
rbi_avg_14,0.0020091338
r_avg_14,0.0020009093
2b_streak,0.001959708
woba_streak,0.0019340013
rbi_consistency,0.001886081
rbi_avg_30,0.0018601617
rbi_streak,0.0018550572
ab_streak,0.0017981073
woba_avg_7,0.0017644619
tb_consistency,0.001702657
3b_avg_30,0.0016888012
b2b,0.0016830048
tb_streak,0.001650906
ab_med_30,0.0015378682
sb_consistency,0.0015208299
woba_avg_30,0.0014481082
rbi_med_7,0.001395956
3b_avg_7,0.0
3b_med_14,0.0
2b_avg_14,0.0
2b_med_7,0.0
sb_med_14,0.0
tb_med_7,0.0
r_med_30,0.0
sb_med_7,0.0
rbi_med_30,0.0
3b_med_7,0.0
2b_med_30,0.0
tb_med_30,0.0
r_med_7,0.0
ab_med_7,0.0
3b_med_30,0.0
2b_med_14,0.0
3b_consistency,0.0
sb_med_30,0.0
r_med_14,0.0
