feature,importance
ip_med_7,0.45558771
ip_avg_7,0.2742496
h_ewm,0.009224232
ab_ewm,0.008246582
ip_avg_14,0.008127597
days_rest,0.0078160595
ab_avg_30,0.0076636355
ip_med_14,0.00730387
ab_avg_14,0.0073016137
ip_avg_30,0.00703013
k_9_ewm,0.0044930778
h_avg_7,0.004177837
four_in_six,0.0036700205
ab_avg_7,0.0035255544
so_med_7,0.0031890476
h_avg_30,0.0030396003
h_med_30,0.00263214
ab_med_7,0.0024228967
h_avg_14,0.002353338
bb_med_14,0.0023258072
ip_streak,0.0021480764
h_med_7,0.0021058426
k_9_avg_14,0.0021037813
k_9_med_30,0.0020521623
hr_9_med_14,0.0020473343
whip_ewm,0.0020128647
hr_9_streak,0.0020074856
bb_med_30,0.0019994734
whip_med_14,0.0019815243
fip_9_consistency,0.0019720602
er_med_14,0.0019675205
bb_consistency,0.0019611851
bb_9_ewm,0.0019599828
k_9_avg_30,0.0019551255
whip_avg_30,0.0019313613
whip_med_30,0.0019073011
fip_9_avg_30,0.0019006353
bb_9_avg_14,0.0018611286
hr_9_consistency,0.0018518985
bb_9_med_30,0.0018518007
park_factor_k,0.0018462312
er_med_30,0.0018405099
bb_9_med_14,0.0018348388
hr_9_med_30,0.0018205872
whip_med_7,0.0017829048
k_9_med_14,0.0017748057
hr_9_ewm,0.0017581275
bb_9_avg_7,0.0017477925
hr_9_avg_7,0.0017468419
bb_9_streak,0.0017404414
hr_ewm,0.0017364483
fip_9_streak,0.0017203448
ip_consistency,0.0017199012
so_consistency,0.0017183069
er_consistency,0.0017166794
whip_streak,0.0017149833
bb_9_consistency,0.0017129598
hr_med_30,0.001711107
bb_med_7,0.0017052098
hr_9_avg_14,0.0017003316
h_med_14,0.0016954122
er_med_7,0.0016922
ip_med_30,0.0016740491
h_consistency,0.0016728741
hr_9_avg_30,0.0016620873
hr_med_7,0.0016586556
hr_9_med_7,0.001657492
bb_streak,0.0016431198
er_avg_14,0.0016393587
fip_9_ewm,0.0016211635
whip_avg_7,0.0016178908
bb_9_avg_30,0.0016137385
so_avg_7,0.0016104234
bb_9_med_7,0.0016101878
game_pk,0.0016066901
so_med_14,0.0016002618
k_9_streak,0.001582207
fip_9_med_14,0.0015487002
k_9_avg_7,0.0015391692
whip_avg_14,0.001537358
fip_9_med_30,0.0015353288
so_streak,0.0015257429
er_ewm,0.0015205998
fip_9_avg_7,0.001512981
whip_consistency,0.0015004951
hr_streak,0.001495698
so_med_30,0.0014829559
k_9_consistency,0.0014660184
hr_avg_14,0.0014606043
fip_9_avg_14,0.0014581381
er_streak,0.00145729
hr_consistency,0.0014501681
ip_ewm,0.0014448059
er_avg_30,0.0014343292
h_streak,0.0014300727
bb_avg_14,0.0014285804
k_9_med_7,0.0013817553
er_avg_7,0.0013587335
hr_avg_30,0.0013255755
fip_9_med_7,0.0013054768
hr_avg_7,0.0013037625
bb_avg_7,0.0012422181
so_avg_14,0.0012389225
bb_ewm,0.0012312352
so_avg_30,0.0011856392
so_ewm,0.0010639601
tb_avg_30,0.0010426859
ab_med_30,0.0009586319
rbi_med_30,0.0009426466
bb_avg_30,0.00094123697
tb_med_7,0.00094095746
hr_med_14,0.00092486275
r_med_14,0.000880576
3b_ewm,0.00084902695
r_streak,0.00083725085
b2b,0.0008171292
sb_ewm,0.00077640044
r_avg_30,0.0007602218
r_avg_14,0.0007545202
woba_med_30,0.00074176124
woba_avg_7,0.00072928343
woba_streak,0.00070495345
tb_ewm,0.0006937328
rbi_med_14,0.00068054226
tb_avg_14,0.0006554421
2b_avg_30,0.0006348709
r_ewm,0.0006340981
rbi_avg_14,0.00062622246
tb_consistency,0.0006245452
r_consistency,0.0006063911
woba_consistency,0.0005971317
sb_consistency,0.00057793857
rbi_avg_30,0.0005728175
tb_avg_7,0.00057279714
r_avg_7,0.000570019
rbi_streak,0.00055997644
woba_med_14,0.00055504165
woba_med_7,0.00054807763
sb_avg_30,0.00054466975
ab_consistency,0.0005336628
tb_streak,0.00051643536
woba_avg_30,0.0005071466
rbi_ewm,0.000484323
2b_ewm,0.00047675398
rbi_consistency,0.00047068
sb_streak,0.00046639686
2b_streak,0.00045981628
3b_avg_30,0.00045552422
3b_streak,0.00045207608
ab_streak,0.00044972458
rbi_avg_7,0.00040384513
woba_ewm,0.0003961643
2b_avg_7,0.00038740487
ab_med_14,0.00038388546
tb_med_14,0.0003791647
woba_avg_14,0.00037741047
sb_avg_14,0.00030587096
2b_consistency,0.00028601158
r_med_7,0.00021889855
sb_med_30,0.0
rbi_med_7,0.0
sb_med_14,0.0
3b_avg_14,0.0
3b_med_7,0.0
tb_med_30,0.0
3b_med_30,0.0
3b_avg_7,0.0
r_med_30,0.0
sb_avg_7,0.0
3b_med_14,0.0
2b_med_14,0.0
2b_med_7,0.0
2b_avg_14,0.0
3b_consistency,0.0
2b_med_30,0.0
sb_med_7,0.0
