feature,importance
ip_med_7,0.71172667
ip_avg_7,0.1355817
four_in_six,0.009979558
ip_ewm,0.009346645
days_rest,0.005889824
ip_avg_30,0.00548375
ip_avg_14,0.004276767
ip_consistency,0.0041492973
so_avg_7,0.004117074
hr_9_ewm,0.0024864092
hr_9_avg_7,0.0024382572
er_avg_30,0.0020957042
fip_9_consistency,0.001992516
so_ewm,0.001985056
h_avg_7,0.0018602688
er_avg_7,0.0018236475
er_ewm,0.0016398894
er_avg_14,0.0015842394
ip_med_14,0.0015654112
so_streak,0.0015395894
er_consistency,0.0015388296
ip_med_30,0.001460557
hr_avg_7,0.0014525548
so_avg_30,0.0014388203
ip_streak,0.0014317442
h_avg_14,0.0013978239
bb_streak,0.0013882949
b2b,0.0013231749
whip_med_30,0.0012838026
bb_9_streak,0.0012618959
k_9_avg_14,0.0012616097
fip_9_streak,0.0012592629
hr_consistency,0.0012585866
hr_9_avg_30,0.0012567168
k_9_med_30,0.0012411585
hr_9_med_14,0.0012329787
er_streak,0.0012270481
so_avg_14,0.0012236006
er_med_30,0.0012220121
so_med_7,0.0012065056
whip_ewm,0.0011957769
whip_avg_7,0.0011918283
whip_med_7,0.0011900936
fip_9_avg_7,0.0011880301
whip_consistency,0.0011398618
whip_avg_14,0.001116213
h_avg_30,0.0011153024
fip_9_med_30,0.0011064126
hr_streak,0.0011033852
bb_9_avg_7,0.0011026872
bb_med_30,0.0010868327
er_med_14,0.0010843995
so_consistency,0.0010800562
hr_9_consistency,0.0010789612
game_pk,0.0010741713
k_9_ewm,0.0010656867
whip_med_14,0.001063873
bb_9_ewm,0.0010594066
h_ewm,0.0010552581
fip_9_med_7,0.001053694
bb_9_med_30,0.0010535137
hr_9_med_30,0.0010346016
k_9_streak,0.001027717
fip_9_med_14,0.0010257242
whip_streak,0.0010256203
hr_ewm,0.0010231899
bb_9_avg_14,0.0010106231
bb_ewm,0.0010075541
h_streak,0.0010041302
fip_9_avg_14,0.000996057
h_med_30,0.0009918036
bb_9_consistency,0.0009895765
bb_avg_14,0.0009662928
hr_9_streak,0.00096378446
bb_avg_7,0.000963289
h_med_14,0.0009591849
bb_med_14,0.00095001643
k_9_avg_30,0.0009451602
h_med_7,0.0009239095
k_9_med_7,0.00091517996
fip_9_avg_30,0.0009068747
bb_9_avg_30,0.0009020129
bb_avg_30,0.00090018124
bb_9_med_7,0.0008958634
hr_med_30,0.000893464
hr_9_med_7,0.0008923378
fip_9_ewm,0.0008899955
bb_consistency,0.000881083
bb_9_med_14,0.0008755292
whip_avg_30,0.0008723644
k_9_consistency,0.0008713413
so_med_14,0.0008569174
hr_avg_14,0.0008536172
park_factor_k,0.00085022766
k_9_avg_7,0.00082147884
so_med_30,0.00080406375
h_consistency,0.0008021555
hr_med_7,0.00080141466
hr_9_avg_14,0.0007906239
hr_avg_30,0.00078259094
k_9_med_14,0.0007732026
er_med_7,0.0007623775
bb_med_7,0.0007347795
hr_med_14,0.00072741235
3b_avg_14,0.0
2b_avg_14,0.0
3b_med_30,0.0
sb_med_30,0.0
sb_avg_14,0.0
tb_med_30,0.0
rbi_avg_14,0.0
woba_med_30,0.0
ab_ewm,0.0
tb_avg_14,0.0
r_ewm,0.0
woba_avg_14,0.0
ab_avg_30,0.0
rbi_ewm,0.0
2b_med_30,0.0
rbi_med_30,0.0
r_avg_14,0.0
rbi_med_14,0.0
ab_avg_7,0.0
r_avg_7,0.0
3b_med_14,0.0
rbi_avg_7,0.0
sb_med_14,0.0
2b_avg_7,0.0
tb_med_14,0.0
woba_med_14,0.0
3b_avg_7,0.0
ab_med_30,0.0
sb_avg_7,0.0
tb_avg_7,0.0
r_med_30,0.0
woba_avg_7,0.0
ab_avg_14,0.0
r_avg_30,0.0
sb_streak,0.0
2b_ewm,0.0
rbi_med_7,0.0
2b_med_7,0.0
3b_med_7,0.0
sb_med_7,0.0
woba_consistency,0.0
tb_consistency,0.0
sb_consistency,0.0
tb_med_7,0.0
3b_consistency,0.0
2b_consistency,0.0
woba_med_7,0.0
3b_streak,0.0
rbi_consistency,0.0
r_consistency,0.0
ab_consistency,0.0
woba_streak,0.0
2b_med_14,0.0
r_med_7,0.0
3b_ewm,0.0
ab_med_7,0.0
tb_streak,0.0
rbi_avg_30,0.0
sb_ewm,0.0
tb_ewm,0.0
woba_ewm,0.0
ab_streak,0.0
rbi_streak,0.0
2b_avg_30,0.0
3b_avg_30,0.0
r_med_14,0.0
ab_med_14,0.0
sb_avg_30,0.0
tb_avg_30,0.0
woba_avg_30,0.0
2b_streak,0.0
r_streak,0.0
