feature,importance
ip_med_7,0.706657
ip_avg_7,0.1411262
ip_ewm,0.014079239
four_in_six,0.007116447
days_rest,0.006188984
ip_avg_30,0.0046523702
so_avg_7,0.0045261616
ip_avg_14,0.0038754833
ip_consistency,0.0029389348
er_avg_30,0.002175154
h_ewm,0.0018932797
h_avg_14,0.0018856821
h_avg_7,0.0018673786
so_ewm,0.0018282466
er_ewm,0.0018195959
ip_streak,0.0015880326
ip_med_14,0.0015655296
hr_streak,0.0015422779
so_streak,0.0015412243
so_avg_30,0.0015293062
hr_med_7,0.0014771424
hr_9_avg_7,0.0014682675
hr_9_med_14,0.0014583924
bb_9_ewm,0.0014393688
ip_med_30,0.0013965162
whip_ewm,0.0013937257
hr_avg_7,0.0013909951
hr_9_avg_14,0.0013372804
hr_consistency,0.0013203075
er_streak,0.0013095478
bb_streak,0.0012919998
hr_9_consistency,0.0012916749
whip_avg_7,0.0012817228
fip_9_avg_7,0.0012713855
fip_9_med_30,0.0012638576
er_consistency,0.0012484768
bb_9_med_30,0.0012425599
hr_9_ewm,0.0012405869
bb_9_streak,0.0012403682
bb_9_avg_7,0.0012365354
h_avg_30,0.0012346492
er_avg_14,0.0012092956
fip_9_consistency,0.0012008902
er_med_14,0.0011884634
so_med_30,0.001176933
whip_streak,0.0011658677
fip_9_avg_30,0.0011311123
k_9_avg_14,0.001120529
er_med_30,0.0011148062
so_med_7,0.0011080205
bb_9_med_7,0.0011075928
b2b,0.0011008182
hr_9_streak,0.0011007538
hr_med_30,0.0010912745
so_consistency,0.0010908528
whip_med_30,0.001090557
so_avg_14,0.0010827854
k_9_consistency,0.001077957
whip_med_14,0.0010704546
hr_9_med_7,0.0010678944
bb_med_30,0.0010578502
bb_9_avg_14,0.0010524186
whip_avg_14,0.0010499967
bb_9_consistency,0.0010443975
hr_avg_14,0.001035047
game_pk,0.0010345543
k_9_ewm,0.0010300119
whip_med_7,0.0010283092
h_consistency,0.0010249537
hr_9_med_30,0.0010206513
fip_9_ewm,0.0010193937
fip_9_med_7,0.0010090254
h_med_14,0.0010076263
fip_9_med_14,0.0009866265
bb_9_avg_30,0.0009838514
h_streak,0.0009823192
whip_consistency,0.0009793353
k_9_med_7,0.0009776207
k_9_med_30,0.00097490795
k_9_streak,0.0009576017
bb_consistency,0.00094485754
hr_ewm,0.0009391301
whip_avg_30,0.0009374883
so_med_14,0.00093082065
fip_9_streak,0.00091051206
fip_9_avg_14,0.00090515736
er_avg_7,0.0009041066
hr_9_avg_30,0.00090239925
bb_avg_30,0.00088779704
er_med_7,0.0008867551
h_med_30,0.0008662592
bb_ewm,0.0008517107
k_9_avg_30,0.0008402312
bb_avg_7,0.0008345756
k_9_avg_7,0.00082788814
bb_9_med_14,0.00081263453
hr_med_14,0.0008017924
bb_med_14,0.00078446086
park_factor_k,0.00077403703
h_med_7,0.00077049964
hr_avg_30,0.0007630503
bb_avg_14,0.0007431614
bb_med_7,0.00072316366
k_9_med_14,0.00067226595
3b_avg_30,0.0
sb_avg_30,0.0
tb_avg_30,0.0
woba_avg_30,0.0
rbi_med_30,0.0
2b_avg_30,0.0
rbi_avg_30,0.0
ab_avg_7,0.0
r_avg_7,0.0
rbi_avg_7,0.0
2b_avg_7,0.0
3b_avg_7,0.0
sb_avg_7,0.0
tb_avg_7,0.0
woba_avg_7,0.0
ab_avg_14,0.0
r_avg_14,0.0
rbi_avg_14,0.0
2b_avg_14,0.0
3b_avg_14,0.0
sb_avg_14,0.0
tb_avg_14,0.0
ab_avg_30,0.0
r_avg_30,0.0
woba_avg_14,0.0
3b_med_7,0.0
ab_med_7,0.0
2b_ewm,0.0
2b_streak,0.0
sb_med_14,0.0
tb_med_14,0.0
rbi_streak,0.0
ab_streak,0.0
woba_ewm,0.0
tb_ewm,0.0
sb_ewm,0.0
3b_ewm,0.0
woba_med_14,0.0
r_med_7,0.0
rbi_ewm,0.0
r_ewm,0.0
ab_ewm,0.0
woba_med_30,0.0
tb_med_30,0.0
sb_med_30,0.0
ab_med_30,0.0
3b_med_30,0.0
2b_med_30,0.0
3b_streak,0.0
sb_streak,0.0
tb_streak,0.0
woba_streak,0.0
rbi_med_7,0.0
2b_med_7,0.0
r_med_30,0.0
sb_med_7,0.0
tb_med_7,0.0
woba_med_7,0.0
ab_med_14,0.0
r_med_14,0.0
rbi_med_14,0.0
woba_consistency,0.0
tb_consistency,0.0
sb_consistency,0.0
2b_med_14,0.0
3b_consistency,0.0
2b_consistency,0.0
3b_med_14,0.0
rbi_consistency,0.0
r_consistency,0.0
ab_consistency,0.0
r_streak,0.0
