feature,importance
tb_ewm,0.03716154
ab_avg_30,0.02790158
ab_ewm,0.022484617
tb_avg_30,0.02170195
rbi_ewm,0.017447745
hr_avg_30,0.012986769
hr_avg_7,0.012748602
ab_med_30,0.0122091435
h_med_7,0.01155299
ab_avg_7,0.011342688
bb_med_30,0.011310879
hr_ewm,0.011245252
tb_med_14,0.011218837
tb_med_30,0.01114074
rbi_med_14,0.011097764
bb_med_7,0.010726081
h_consistency,0.010465398
sb_avg_30,0.010322238
h_med_30,0.010278587
woba_med_30,0.010190863
3b_ewm,0.010066456
sb_med_30,0.01005102
ab_avg_14,0.009982321
hr_consistency,0.009847585
sb_streak,0.009782671
h_ewm,0.009617608
so_med_30,0.009587408
days_rest,0.009503633
hr_streak,0.009413578
r_med_14,0.009344096
bb_med_14,0.009333168
so_med_7,0.009318031
woba_streak,0.009314814
tb_avg_7,0.009212912
rbi_consistency,0.009205342
r_avg_14,0.0091608595
ab_med_14,0.009140418
so_med_14,0.009126849
bb_ewm,0.009104456
bb_avg_14,0.008995484
h_avg_30,0.008976733
tb_consistency,0.008975095
ab_consistency,0.008940086
tb_streak,0.0089247795
woba_consistency,0.008886977
woba_med_7,0.008839802
woba_avg_14,0.00883932
so_streak,0.008839006
so_avg_30,0.008772513
3b_streak,0.008771019
h_avg_14,0.008694513
r_streak,0.008648138
hr_avg_14,0.008632573
rbi_streak,0.00861405
h_streak,0.008603503
2b_med_14,0.008598295
r_consistency,0.008515479
game_pk,0.008488577
bb_avg_30,0.008464248
b2b,0.008437441
2b_streak,0.008429202
park_factor_k,0.008427
rbi_avg_14,0.008367286
woba_avg_30,0.008359171
h_avg_7,0.0083547495
so_avg_14,0.008313487
so_consistency,0.008305064
sb_med_14,0.008282851
r_med_30,0.008239798
woba_med_14,0.008226759
h_med_14,0.008115868
woba_ewm,0.008112268
3b_avg_14,0.008103628
2b_consistency,0.008075086
sb_ewm,0.008021149
ab_streak,0.008000123
bb_streak,0.007972675
r_ewm,0.007972271
3b_avg_30,0.007884818
2b_avg_14,0.007851025
sb_avg_7,0.0077935206
rbi_avg_30,0.007788937
r_avg_30,0.007774766
bb_consistency,0.0077679153
so_avg_7,0.007761421
2b_ewm,0.0077250577
so_ewm,0.007715792
woba_avg_7,0.0075419536
tb_med_7,0.0075358083
tb_avg_14,0.007515007
rbi_avg_7,0.0074242456
r_avg_7,0.0072962297
sb_avg_14,0.0071937293
2b_avg_30,0.007038462
3b_avg_7,0.0068691443
sb_consistency,0.006556319
r_med_7,0.006537224
2b_avg_7,0.0064635016
rbi_med_7,0.0064143986
rbi_med_30,0.006243537
hr_med_7,0.006071138
bb_avg_7,0.0058272737
2b_med_30,0.0055785966
hr_med_14,0.004879721
ab_med_7,0.0044638845
2b_med_7,0.0033358126
four_in_six,0.0023672176
ip_med_14,0.0
k_9_med_30,0.0
er_ewm,0.0
ip_ewm,0.0
fip_9_med_30,0.0
whip_med_30,0.0
hr_9_med_30,0.0
bb_9_med_30,0.0
ip_med_30,0.0
er_med_30,0.0
bb_9_ewm,0.0
fip_9_med_14,0.0
whip_med_14,0.0
hr_9_med_14,0.0
bb_9_med_14,0.0
k_9_med_14,0.0
k_9_ewm,0.0
whip_ewm,0.0
hr_9_ewm,0.0
ip_consistency,0.0
fip_9_ewm,0.0
ip_streak,0.0
er_streak,0.0
k_9_streak,0.0
whip_consistency,0.0
bb_9_streak,0.0
hr_9_streak,0.0
whip_streak,0.0
fip_9_streak,0.0
hr_9_consistency,0.0
bb_9_consistency,0.0
k_9_consistency,0.0
er_consistency,0.0
er_med_14,0.0
hr_9_avg_7,0.0
fip_9_med_7,0.0
er_avg_7,0.0
er_avg_14,0.0
ip_avg_14,0.0
fip_9_avg_7,0.0
whip_avg_7,0.0
bb_9_avg_7,0.0
k_9_avg_7,0.0
ip_avg_7,0.0
whip_med_7,0.0
3b_consistency,0.0
3b_med_7,0.0
hr_med_30,0.0
3b_med_30,0.0
sb_med_7,0.0
3b_med_14,0.0
k_9_avg_14,0.0
bb_9_avg_14,0.0
hr_9_avg_14,0.0
whip_avg_14,0.0
fip_9_avg_14,0.0
ip_avg_30,0.0
er_avg_30,0.0
k_9_avg_30,0.0
bb_9_avg_30,0.0
hr_9_avg_30,0.0
whip_avg_30,0.0
fip_9_avg_30,0.0
ip_med_7,0.0
er_med_7,0.0
k_9_med_7,0.0
bb_9_med_7,0.0
hr_9_med_7,0.0
fip_9_consistency,0.0
