feature,importance
ab_ewm,0.048741646
ab_avg_30,0.027212674
tb_ewm,0.026194438
r_ewm,0.02139965
tb_avg_30,0.013573092
2b_med_14,0.01321259
ab_avg_14,0.013196763
r_avg_14,0.012925098
bb_med_7,0.01232197
tb_avg_14,0.01154069
bb_ewm,0.011522358
r_avg_30,0.011212907
sb_ewm,0.011025271
bb_avg_7,0.01064672
bb_avg_30,0.010474453
sb_med_14,0.010421641
hr_avg_30,0.0104082115
so_med_14,0.0101708975
h_med_30,0.010100359
woba_ewm,0.010099767
3b_ewm,0.009867449
2b_avg_7,0.009840543
bb_med_30,0.00977455
bb_consistency,0.009493615
hr_ewm,0.009468147
2b_med_7,0.009462749
tb_streak,0.009439499
woba_med_14,0.009399146
rbi_streak,0.009331125
woba_streak,0.009111295
so_med_30,0.009060619
so_ewm,0.009039535
sb_avg_30,0.009005019
sb_streak,0.0090016555
woba_avg_14,0.009000139
so_avg_30,0.008976005
hr_streak,0.0089704115
woba_avg_30,0.008951733
r_med_30,0.008893709
game_pk,0.008853209
2b_ewm,0.008776544
bb_avg_14,0.008768217
hr_med_7,0.008756547
3b_avg_30,0.008732324
2b_avg_30,0.008643241
ab_streak,0.008620551
woba_avg_7,0.008530982
tb_med_14,0.008530618
ab_med_30,0.008522315
park_factor_k,0.008520241
tb_avg_7,0.008443907
2b_streak,0.008428658
r_streak,0.008422841
r_consistency,0.00842121
bb_streak,0.008419013
hr_consistency,0.008417767
woba_consistency,0.008411093
r_avg_7,0.008380272
so_consistency,0.008371861
hr_med_14,0.008368345
b2b,0.008357573
h_consistency,0.0083192475
rbi_avg_30,0.008286134
tb_consistency,0.008252466
four_in_six,0.008225043
so_avg_14,0.008161474
so_streak,0.008151221
rbi_avg_14,0.008125381
ab_avg_7,0.008105314
rbi_consistency,0.00808667
sb_avg_14,0.008080633
woba_med_30,0.008073403
h_streak,0.007975586
r_med_14,0.007948055
so_med_7,0.007930053
h_ewm,0.007801924
sb_avg_7,0.0077950624
ab_consistency,0.0077559007
3b_streak,0.007648804
3b_avg_7,0.00760751
hr_avg_7,0.007597249
hr_avg_14,0.0075657917
tb_med_30,0.007559765
rbi_med_30,0.0075585614
rbi_med_7,0.007489849
h_med_14,0.0074581937
3b_avg_14,0.007430986
tb_med_7,0.0073567843
rbi_ewm,0.0073498827
h_avg_14,0.0073138946
ab_med_7,0.0072989906
h_avg_30,0.00714283
2b_avg_14,0.006826984
days_rest,0.0067801555
h_avg_7,0.006649917
bb_med_14,0.006595074
rbi_avg_7,0.0064962874
so_avg_7,0.006489205
rbi_med_14,0.0064716297
r_med_7,0.006425566
woba_med_7,0.006304237
2b_consistency,0.006155234
ab_med_14,0.0061467965
h_med_7,0.0058286716
2b_med_30,0.0057266895
sb_consistency,0.0054653967
k_9_med_30,0.0
er_ewm,0.0
ip_ewm,0.0
fip_9_med_30,0.0
whip_med_30,0.0
hr_9_med_30,0.0
bb_9_med_30,0.0
ip_med_14,0.0
er_med_30,0.0
bb_9_ewm,0.0
ip_med_30,0.0
fip_9_med_14,0.0
whip_med_14,0.0
hr_9_med_14,0.0
bb_9_med_14,0.0
k_9_med_14,0.0
k_9_ewm,0.0
ip_streak,0.0
hr_9_ewm,0.0
whip_ewm,0.0
fip_9_ewm,0.0
er_streak,0.0
k_9_streak,0.0
bb_9_streak,0.0
hr_9_streak,0.0
whip_streak,0.0
whip_consistency,0.0
hr_9_consistency,0.0
bb_9_consistency,0.0
fip_9_streak,0.0
k_9_consistency,0.0
er_consistency,0.0
ip_consistency,0.0
er_med_14,0.0
er_avg_7,0.0
fip_9_med_7,0.0
ip_avg_7,0.0
ip_avg_14,0.0
fip_9_avg_7,0.0
whip_avg_7,0.0
hr_9_avg_7,0.0
bb_9_avg_7,0.0
k_9_avg_7,0.0
3b_consistency,0.0
k_9_avg_14,0.0
sb_med_30,0.0
hr_med_30,0.0
3b_med_30,0.0
3b_med_7,0.0
sb_med_7,0.0
3b_med_14,0.0
er_avg_14,0.0
bb_9_avg_14,0.0
whip_med_7,0.0
whip_avg_30,0.0
hr_9_med_7,0.0
bb_9_med_7,0.0
k_9_med_7,0.0
er_med_7,0.0
ip_med_7,0.0
fip_9_avg_30,0.0
hr_9_avg_30,0.0
hr_9_avg_14,0.0
bb_9_avg_30,0.0
k_9_avg_30,0.0
er_avg_30,0.0
ip_avg_30,0.0
fip_9_avg_14,0.0
whip_avg_14,0.0
fip_9_consistency,0.0
