feature,importance
sb_ewm,0.03940372
sb_avg_30,0.030220686
bb_med_14,0.019422133
r_med_14,0.018574078
h_consistency,0.013007952
so_med_30,0.012678578
tb_avg_30,0.01255402
woba_avg_30,0.012541555
hr_ewm,0.012521458
h_ewm,0.012117176
r_med_7,0.012006264
2b_avg_14,0.011499968
r_streak,0.011474782
woba_med_30,0.011416842
2b_consistency,0.011336953
bb_avg_30,0.011161587
bb_avg_14,0.011147032
woba_streak,0.010983951
h_med_30,0.010968007
2b_ewm,0.01082605
h_med_14,0.010622702
so_streak,0.010554629
ab_streak,0.010541652
rbi_streak,0.010420993
2b_med_14,0.010402421
h_avg_30,0.010291891
tb_streak,0.010255684
woba_ewm,0.010139448
tb_med_14,0.010096184
so_med_7,0.010088579
ab_avg_30,0.010052277
tb_med_30,0.009942197
tb_avg_7,0.009903788
so_avg_14,0.009778898
ab_avg_7,0.009777931
hr_avg_30,0.009602528
woba_med_14,0.00959832
bb_ewm,0.009536666
sb_med_7,0.009526983
rbi_avg_14,0.009509157
bb_consistency,0.009490437
tb_consistency,0.0094257025
so_med_14,0.009378324
tb_ewm,0.009277523
woba_consistency,0.009197307
so_consistency,0.009182368
bb_med_7,0.009176724
woba_avg_7,0.009163688
2b_streak,0.009146508
rbi_avg_7,0.009047583
woba_avg_14,0.008992932
so_ewm,0.00897888
so_avg_30,0.0089716315
bb_streak,0.00891113
rbi_ewm,0.008860955
so_avg_7,0.008816789
3b_avg_30,0.008772783
h_streak,0.008769118
hr_streak,0.008766071
sb_med_30,0.008680688
h_avg_14,0.008640015
tb_avg_14,0.008565535
rbi_avg_30,0.008547538
hr_avg_14,0.008535561
ab_ewm,0.008513755
r_consistency,0.008472107
bb_med_30,0.00846651
sb_avg_14,0.008449864
2b_avg_30,0.008323048
woba_med_7,0.008288993
bb_avg_7,0.00824617
3b_ewm,0.008197308
r_avg_30,0.0081937425
sb_streak,0.008105224
rbi_med_14,0.008080154
ab_consistency,0.008053058
tb_med_7,0.007982734
2b_avg_7,0.0078858705
r_ewm,0.007871688
rbi_consistency,0.007780746
3b_avg_7,0.0075918688
rbi_med_30,0.007589485
ab_med_30,0.007448611
game_pk,0.0074098166
ab_avg_14,0.007272707
h_med_7,0.007148722
3b_streak,0.007104686
ab_med_7,0.007032756
r_avg_7,0.0070250463
h_avg_7,0.006966185
ab_med_14,0.006956622
sb_consistency,0.006928838
sb_avg_7,0.006858536
park_factor_k,0.0066484977
r_avg_14,0.00655605
days_rest,0.0065036854
hr_avg_7,0.006189797
sb_med_14,0.0057014767
2b_med_7,0.0056540826
rbi_med_7,0.005606246
3b_avg_14,0.005534743
hr_consistency,0.005015329
r_med_30,0.004396824
b2b,0.0036901664
2b_med_30,0.002456743
ip_ewm,0.0
hr_9_med_30,0.0
bb_9_med_30,0.0
fip_9_med_30,0.0
er_ewm,0.0
er_med_30,0.0
whip_med_30,0.0
k_9_med_30,0.0
hr_med_30,0.0
ip_med_30,0.0
fip_9_med_14,0.0
bb_9_ewm,0.0
whip_med_14,0.0
hr_9_med_14,0.0
bb_9_med_14,0.0
k_9_med_14,0.0
k_9_ewm,0.0
ip_consistency,0.0
hr_9_ewm,0.0
fip_9_streak,0.0
whip_consistency,0.0
hr_9_consistency,0.0
bb_9_consistency,0.0
k_9_consistency,0.0
er_consistency,0.0
ip_med_14,0.0
whip_streak,0.0
whip_ewm,0.0
hr_9_streak,0.0
bb_9_streak,0.0
k_9_streak,0.0
er_streak,0.0
ip_streak,0.0
fip_9_ewm,0.0
er_med_14,0.0
bb_9_avg_30,0.0
fip_9_med_7,0.0
er_avg_7,0.0
ip_avg_14,0.0
fip_9_avg_7,0.0
whip_avg_7,0.0
hr_9_avg_7,0.0
bb_9_avg_7,0.0
k_9_avg_7,0.0
ip_avg_7,0.0
k_9_avg_14,0.0
four_in_six,0.0
3b_consistency,0.0
3b_med_7,0.0
hr_med_7,0.0
3b_med_14,0.0
hr_med_14,0.0
er_avg_14,0.0
bb_9_avg_14,0.0
whip_med_7,0.0
whip_avg_30,0.0
hr_9_med_7,0.0
bb_9_med_7,0.0
k_9_med_7,0.0
er_med_7,0.0
ip_med_7,0.0
fip_9_avg_30,0.0
hr_9_avg_30,0.0
hr_9_avg_14,0.0
3b_med_30,0.0
k_9_avg_30,0.0
er_avg_30,0.0
ip_avg_30,0.0
fip_9_avg_14,0.0
whip_avg_14,0.0
fip_9_consistency,0.0
