feature,importance
ip_med_7,0.4588755
ip_avg_7,0.24917088
so_avg_7,0.02858143
so_avg_30,0.016523952
so_ewm,0.01467886
woba_ewm,0.008939748
ip_avg_14,0.008575497
so_avg_14,0.00577913
tb_ewm,0.005325373
days_rest,0.005290578
bb_ewm,0.005268354
tb_avg_30,0.0041507897
four_in_six,0.003852952
ip_avg_30,0.0038385582
so_med_14,0.0035611503
bb_avg_30,0.0033975428
k_9_ewm,0.0030095265
ip_ewm,0.0026092078
er_avg_30,0.0023652115
r_avg_30,0.0022853366
bb_avg_14,0.0022757817
so_med_30,0.0022181973
k_9_med_30,0.002112804
bb_9_med_30,0.0021089816
er_ewm,0.0020818422
woba_med_14,0.0020107434
woba_avg_14,0.0020025403
er_avg_14,0.0019634739
ip_streak,0.0019253892
hr_ewm,0.0019228349
hr_med_7,0.0018932238
whip_avg_30,0.001869026
ip_med_30,0.0018238456
h_avg_7,0.0018185114
bb_9_med_7,0.0017969802
hr_consistency,0.0017480619
whip_avg_14,0.0017211089
tb_avg_14,0.0017194588
k_9_med_14,0.0017167698
k_9_avg_30,0.0016909734
so_streak,0.0016889473
hr_9_consistency,0.001686784
whip_med_30,0.00167639
hr_9_med_14,0.0016735202
bb_med_14,0.0016658026
k_9_avg_14,0.0016521898
bb_avg_7,0.001636254
b2b,0.0016243634
ip_med_14,0.0016041686
hr_9_med_7,0.0016021394
bb_med_30,0.0015894726
h_consistency,0.0015745223
bb_9_ewm,0.0015725575
fip_9_med_14,0.0015664863
fip_9_consistency,0.0015533771
ab_avg_30,0.0015494861
er_consistency,0.0015470124
hr_9_ewm,0.0015411411
h_streak,0.0015393617
hr_9_med_30,0.001522618
bb_9_med_14,0.0014993703
fip_9_ewm,0.0014855883
k_9_streak,0.0014845446
ip_consistency,0.0014731474
whip_ewm,0.0014722607
er_streak,0.0014533846
fip_9_avg_30,0.0014337308
hr_streak,0.0014286466
k_9_med_7,0.0014185198
fip_9_med_7,0.001414617
fip_9_avg_14,0.0014127771
whip_streak,0.0014121622
bb_9_streak,0.0014065478
bb_9_avg_30,0.0014047475
bb_9_consistency,0.0013991352
er_med_7,0.0013962074
fip_9_med_30,0.0013946833
r_streak,0.0013911211
so_consistency,0.001389416
woba_avg_7,0.0013842748
er_med_30,0.0013766048
hr_9_avg_30,0.0013668975
whip_med_7,0.0013602229
k_9_consistency,0.0013565085
er_med_14,0.0013504586
h_med_30,0.0013431986
so_med_7,0.0013350546
whip_med_14,0.0013257645
hr_9_avg_14,0.0013187365
tb_avg_7,0.0013154423
h_avg_14,0.0013068304
bb_consistency,0.0013036202
whip_avg_7,0.0012992751
h_med_14,0.0012885444
h_avg_30,0.001276238
h_med_7,0.0012481969
fip_9_avg_7,0.0012442605
fip_9_streak,0.0012353902
hr_avg_30,0.0012302189
hr_9_streak,0.0012279063
game_pk,0.0012265592
bb_9_avg_7,0.0012217502
woba_med_7,0.0012084919
bb_9_avg_14,0.0012016987
hr_avg_7,0.0012008953
er_avg_7,0.0011981548
hr_avg_14,0.0011849357
hr_9_avg_7,0.0011698373
hr_med_14,0.0011195764
bb_med_7,0.0011142445
bb_streak,0.0011113809
h_ewm,0.0011056507
whip_consistency,0.0010801661
k_9_avg_7,0.001042824
ab_med_14,0.0010349879
hr_med_30,0.0010332355
park_factor_k,0.0009851342
r_ewm,0.0009352876
woba_consistency,0.00092918525
rbi_ewm,0.0009122203
sb_streak,0.0008942252
ab_ewm,0.00083016214
ab_avg_7,0.00079735945
rbi_avg_14,0.0007919532
rbi_streak,0.00075420534
woba_avg_30,0.00072118983
ab_avg_14,0.00068721664
ab_consistency,0.0006817491
2b_streak,0.0006464109
woba_streak,0.00063297065
sb_ewm,0.000632382
r_avg_14,0.00063188636
2b_avg_30,0.0006254731
sb_consistency,0.0006245646
sb_avg_30,0.00059540255
tb_streak,0.000574394
2b_ewm,0.0005733954
r_avg_7,0.0005673212
r_consistency,0.0005446845
2b_avg_14,0.0005272814
tb_consistency,0.0004802608
3b_streak,0.00046082327
3b_avg_14,0.0004122684
woba_med_30,0.0004061042
ab_streak,0.0003785352
rbi_avg_30,0.00037485652
rbi_avg_7,0.0003553439
3b_ewm,0.00027899686
rbi_med_7,0.00024274955
2b_avg_7,2.8557672e-05
sb_med_30,0.0
tb_med_30,0.0
sb_avg_7,0.0
3b_avg_7,0.0
tb_med_14,0.0
sb_avg_14,0.0
2b_consistency,0.0
ab_med_30,0.0
r_med_30,0.0
rbi_med_30,0.0
3b_med_14,0.0
2b_med_14,0.0
r_med_14,0.0
2b_med_30,0.0
3b_consistency,0.0
tb_med_7,0.0
3b_avg_30,0.0
sb_med_7,0.0
3b_med_7,0.0
2b_med_7,0.0
rbi_consistency,0.0
r_med_7,0.0
3b_med_30,0.0
ab_med_7,0.0
sb_med_14,0.0
rbi_med_14,0.0
