feature,importance
ip_med_7,0.6777655
ip_avg_7,0.06718446
so_avg_7,0.019374132
so_avg_30,0.015781047
so_ewm,0.012322911
so_avg_14,0.0078224195
ip_avg_14,0.0053211246
days_rest,0.004004698
tb_ewm,0.00397585
so_med_30,0.00305198
four_in_six,0.0030129224
k_9_ewm,0.0025281908
tb_avg_30,0.0024712274
fip_9_med_30,0.002272488
k_9_avg_30,0.0021574101
er_ewm,0.0021165984
ip_avg_30,0.0020950583
k_9_med_30,0.0020138712
ip_med_30,0.0020040872
so_streak,0.0019968285
bb_med_30,0.001996059
hr_9_med_7,0.0018818344
k_9_streak,0.0018788871
bb_9_med_14,0.001874947
fip_9_ewm,0.0018588871
fip_9_med_14,0.0018228238
ip_ewm,0.0018183921
bb_9_med_30,0.0018169177
er_med_14,0.0018046974
whip_med_14,0.0017904866
er_avg_14,0.0017449303
ip_streak,0.0017179319
fip_9_consistency,0.0017109102
fip_9_avg_30,0.0017053619
k_9_avg_14,0.0017042598
ip_med_14,0.0016934591
hr_9_streak,0.0016918499
hr_consistency,0.0016709075
hr_9_consistency,0.0016671031
er_consistency,0.0016603385
k_9_med_14,0.0016498327
er_med_30,0.0016428598
bb_9_avg_7,0.0016351524
hr_9_avg_30,0.001631042
h_streak,0.0016309409
h_consistency,0.0016267644
fip_9_med_7,0.0016262797
k_9_consistency,0.0016136069
hr_9_med_14,0.0016101599
hr_9_ewm,0.0016079132
so_med_14,0.0015978831
whip_consistency,0.0015930642
bb_9_streak,0.0015846932
bb_9_med_7,0.0015728185
bb_9_avg_14,0.0015639168
whip_med_30,0.0015554314
er_streak,0.0015507056
hr_9_avg_14,0.0015482926
fip_9_avg_14,0.0015029899
h_avg_7,0.0014893012
whip_streak,0.0014766025
so_consistency,0.0014738028
hr_streak,0.0014712695
h_ewm,0.0014690247
whip_avg_7,0.0014624335
whip_med_7,0.0014607519
h_med_30,0.0014595144
ip_consistency,0.0014526915
bb_consistency,0.0014517085
whip_ewm,0.0014506502
hr_9_avg_7,0.0014505753
bb_9_ewm,0.001449966
bb_ewm,0.001438251
bb_streak,0.0014314718
hr_9_med_30,0.0014240225
fip_9_avg_7,0.0014213597
fip_9_streak,0.0014208619
er_avg_7,0.0014181389
er_med_7,0.0013917175
k_9_med_7,0.001389904
woba_ewm,0.0013790865
hr_avg_14,0.0013718699
k_9_avg_7,0.0013467041
game_pk,0.0013276229
whip_avg_14,0.0013220875
h_avg_14,0.0013150927
hr_avg_30,0.0013149277
b2b,0.0013123039
bb_9_consistency,0.0013105801
bb_9_avg_30,0.0013030425
h_med_14,0.0013003373
bb_avg_7,0.0012980123
er_avg_30,0.0012839689
hr_med_14,0.0012685659
woba_avg_30,0.001265977
hr_avg_7,0.0012650553
tb_avg_14,0.001215888
bb_avg_30,0.001203997
bb_med_14,0.0011786222
woba_med_7,0.0011659026
h_avg_30,0.0011465912
park_factor_k,0.0011425327
rbi_streak,0.0011058473
h_med_7,0.0010966266
bb_avg_14,0.0010855515
hr_med_7,0.0010394773
whip_avg_30,0.0010364346
hr_ewm,0.0010361776
rbi_ewm,0.0009830554
bb_med_7,0.0009795865
so_med_7,0.00095884054
ab_med_14,0.0009405352
woba_avg_14,0.000901632
woba_avg_7,0.0008924132
r_streak,0.0008866249
sb_ewm,0.0008436764
tb_consistency,0.00083585223
hr_med_30,0.0008213042
2b_avg_30,0.0007956111
rbi_avg_30,0.0007937431
3b_avg_30,0.0007750432
ab_ewm,0.0007654827
ab_consistency,0.0007309722
r_ewm,0.0007210156
woba_consistency,0.00068068755
tb_avg_7,0.0006461734
r_avg_30,0.0006313531
tb_streak,0.00062673667
woba_med_14,0.0006062462
sb_consistency,0.0006059641
ab_avg_14,0.00057731406
ab_med_7,0.0005710427
r_avg_14,0.0005709278
sb_avg_30,0.0005232743
2b_avg_14,0.0005096692
2b_streak,0.0005088683
ab_avg_7,0.0005007082
rbi_med_14,0.0004990839
sb_avg_14,0.00049791706
woba_streak,0.0004952246
ab_avg_30,0.00048051908
3b_ewm,0.00047487926
woba_med_30,0.00045778017
ab_streak,0.00045738416
r_avg_7,0.00044911285
ab_med_30,0.00044703382
2b_ewm,0.00042010486
3b_avg_7,0.0004068915
rbi_avg_7,0.0004033079
sb_streak,0.0004017396
3b_avg_14,0.0003929793
sb_avg_7,0.00038477773
3b_streak,0.0003822574
rbi_consistency,0.0003758183
rbi_avg_14,0.0003583724
2b_avg_7,0.0003394778
2b_med_14,0.00033544507
r_consistency,0.0002914766
r_med_30,0.00014298812
3b_med_14,0.0
3b_consistency,0.0
3b_med_7,0.0
2b_med_7,0.0
tb_med_30,0.0
rbi_med_7,0.0
r_med_7,0.0
tb_med_7,0.0
sb_med_30,0.0
2b_consistency,0.0
r_med_14,0.0
tb_med_14,0.0
3b_med_30,0.0
2b_med_30,0.0
sb_med_14,0.0
rbi_med_30,0.0
sb_med_7,0.0
