feature,importance
ab_avg_30,0.06326978
ab_ewm,0.053698268
tb_ewm,0.029485213
tb_avg_30,0.023958266
ab_avg_14,0.020818738
bb_med_30,0.018119898
ab_avg_7,0.012930845
ab_med_7,0.012192206
hr_avg_7,0.011946991
bb_med_7,0.010810324
ab_med_30,0.01068307
hr_avg_30,0.010628684
woba_avg_30,0.009747989
rbi_ewm,0.009627722
bb_ewm,0.009586168
tb_avg_14,0.009472552
2b_consistency,0.00942147
3b_avg_30,0.009345569
bb_avg_30,0.00926344
hr_ewm,0.009238964
r_med_7,0.00915234
2b_med_14,0.009148839
3b_ewm,0.009123543
r_med_30,0.009056662
r_ewm,0.009017894
sb_ewm,0.008974847
hr_consistency,0.008923465
woba_ewm,0.00892034
bb_consistency,0.0088941455
so_streak,0.008878407
rbi_med_30,0.008841664
hr_med_14,0.008803754
so_avg_7,0.008768864
r_consistency,0.008730422
rbi_consistency,0.008686069
woba_med_14,0.008671579
2b_streak,0.008666543
woba_avg_14,0.008655439
tb_avg_7,0.008643572
bb_avg_14,0.008617751
ab_consistency,0.008480756
ab_streak,0.008449133
r_streak,0.0084343795
sb_avg_14,0.008408388
so_avg_14,0.008324365
h_ewm,0.008314176
2b_ewm,0.008305479
2b_avg_30,0.008284059
so_ewm,0.0082537765
tb_consistency,0.00824778
bb_streak,0.008198768
2b_med_7,0.008186797
woba_consistency,0.008108437
h_avg_30,0.008066223
sb_streak,0.008060468
hr_streak,0.008054945
sb_avg_30,0.008039753
r_avg_7,0.008018003
so_avg_30,0.00801405
3b_avg_7,0.008012098
3b_avg_14,0.007989226
h_med_7,0.007982391
rbi_streak,0.007922057
h_med_14,0.007920923
tb_streak,0.007896757
four_in_six,0.007885473
h_avg_14,0.007845981
h_consistency,0.007837576
so_med_30,0.007831936
3b_streak,0.0077864644
so_consistency,0.007718715
h_med_30,0.00767652
woba_streak,0.0076691075
h_streak,0.0076554376
days_rest,0.007635406
tb_med_30,0.00762636
r_avg_30,0.0076223807
r_med_14,0.0074145948
b2b,0.007412166
hr_avg_14,0.007407616
r_avg_14,0.007402394
rbi_avg_30,0.0073244493
rbi_avg_14,0.0073113004
2b_avg_14,0.007309757
game_pk,0.0072583966
woba_med_30,0.0072158054
woba_avg_7,0.007158948
h_avg_7,0.0071583684
sb_consistency,0.0068774214
bb_med_14,0.0068544648
bb_avg_7,0.0067144646
so_med_7,0.006709421
woba_med_7,0.0066182627
tb_med_14,0.006568026
rbi_avg_7,0.0065195435
so_med_14,0.0063677435
park_factor_k,0.006242604
rbi_med_14,0.006190279
tb_med_7,0.0059784376
ab_med_14,0.0053878883
sb_avg_7,0.0052627297
rbi_med_7,0.0048652333
2b_avg_7,0.004282868
whip_med_14,0.0
er_med_30,0.0
ip_ewm,0.0
fip_9_med_30,0.0
whip_med_30,0.0
hr_9_med_30,0.0
bb_9_med_30,0.0
k_9_med_30,0.0
ip_med_14,0.0
hr_9_med_14,0.0
er_med_14,0.0
k_9_med_14,0.0
bb_9_med_14,0.0
ip_med_30,0.0
fip_9_med_14,0.0
k_9_ewm,0.0
er_ewm,0.0
bb_9_streak,0.0
bb_9_ewm,0.0
hr_9_ewm,0.0
bb_9_consistency,0.0
k_9_consistency,0.0
er_consistency,0.0
ip_consistency,0.0
fip_9_streak,0.0
whip_streak,0.0
hr_9_streak,0.0
whip_consistency,0.0
whip_med_7,0.0
hr_9_consistency,0.0
k_9_streak,0.0
er_streak,0.0
ip_streak,0.0
fip_9_ewm,0.0
whip_ewm,0.0
fip_9_med_7,0.0
bb_9_avg_30,0.0
hr_9_med_7,0.0
bb_9_med_7,0.0
whip_avg_7,0.0
hr_9_avg_7,0.0
bb_9_avg_7,0.0
k_9_avg_7,0.0
er_avg_7,0.0
ip_avg_7,0.0
3b_consistency,0.0
3b_med_7,0.0
hr_med_7,0.0
sb_med_7,0.0
3b_med_14,0.0
sb_med_14,0.0
2b_med_30,0.0
3b_med_30,0.0
hr_med_30,0.0
fip_9_avg_7,0.0
ip_avg_14,0.0
er_avg_14,0.0
sb_med_30,0.0
k_9_med_7,0.0
er_med_7,0.0
ip_med_7,0.0
fip_9_avg_30,0.0
whip_avg_30,0.0
hr_9_avg_30,0.0
k_9_avg_30,0.0
k_9_avg_14,0.0
er_avg_30,0.0
ip_avg_30,0.0
fip_9_avg_14,0.0
whip_avg_14,0.0
hr_9_avg_14,0.0
bb_9_avg_14,0.0
fip_9_consistency,0.0
