feature,importance
ast_avg_20,0.1363219
ast_avg_10,0.11841622
ast_ewm,0.0672009
ast_avg_5,0.009623501
ra_combined_med_3,0.008601044
ast_med_20,0.008363519
pra_combined_avg_3,0.0071937647
pr_combined_med_10,0.0062989206
stl_log_med_10,0.0059274663
pts_med_20,0.0057022013
stl_log_med_3,0.005435692
ra_combined_med_5,0.0052155564
stl_med_3,0.005057549
fta_med_5,0.0048786867
pr_combined_avg_3,0.004741906
pr_combined_med_20,0.0045088865
sb_combined_med_10,0.004497518
pa_combined_avg_3,0.0044481875
fgm_med_10,0.004333926
four_in_six,0.0043044817
min_avg_3,0.004296136
fg3m_med_20,0.0042030113
fg3a_med_5,0.0041830186
pa_combined_med_20,0.0041748527
min_med_5,0.0040980903
reb_ewm,0.0040383744
min_consistency,0.004034735
ra_combined_avg_20,0.004030282
pra_combined_avg_5,0.0040009525
fga_consistency,0.003997407
pts_med_10,0.003929637
pr_combined_avg_20,0.003882551
sb_combined_avg_5,0.0038770458
pa_combined_avg_10,0.0038060686
tov_avg_20,0.0037218868
min_ewm,0.0037188844
fgm_med_20,0.0037110636
pts_ewm,0.003682543
exp_poss,0.0036574923
pts_avg_10,0.0036455153
stl_log_streak,0.0036073935
min_streak,0.0035925976
fg3a_consistency,0.0035873887
fga_avg_20,0.00358698
tov_ewm,0.0035840785
ra_combined_med_20,0.0035773043
tov_avg_10,0.0035653277
ftm_med_20,0.0035285503
pr_combined_consistency,0.0035133099
ra_combined_streak,0.0035045957
fg3m_ewm,0.003504009
fta_consistency,0.0034747603
stl_log_consistency,0.0034650122
fgm_ewm,0.0034562869
reb_avg_10,0.0034300871
reb_med_10,0.0034300545
fta_avg_3,0.0034209401
fga_med_20,0.0033875168
pra_combined_streak,0.003383591
fg3a_ewm,0.0033666696
min_med_20,0.0033567594
pa_combined_consistency,0.0033567247
reb_med_20,0.0033538905
pra_combined_consistency,0.0033462748
ftm_med_5,0.0033288395
stl_log_med_5,0.0033199647
fta_med_20,0.0033083307
min_avg_5,0.003285939
stl_ewm,0.0032718652
blk_avg_20,0.0032710554
ra_combined_consistency,0.0032687788
pra_combined_med_20,0.0032609839
ftm_ewm,0.0032578316
plus_minus_med_20,0.0032554332
fga_med_10,0.0032512364
tov_consistency,0.0032384347
blk_streak,0.0032355376
pr_combined_avg_10,0.0032228334
fgm_avg_5,0.003220037
pa_combined_med_10,0.0031594872
plus_minus_streak,0.0031537507
stl_log_avg_5,0.003151623
fta_ewm,0.0031498657
sb_combined_consistency,0.003147318
pts_streak,0.0031445555
pts_consistency,0.0031391154
ra_combined_avg_3,0.0031249216
pa_combined_med_5,0.0031184435
fg3m_streak,0.0031176177
pra_combined_avg_10,0.0031149685
fga_avg_5,0.0030987097
blk_log_avg_5,0.0030932094
fgm_avg_20,0.0030857825
fga_ewm,0.0030723838
pa_combined_avg_20,0.0030700956
ra_combined_avg_5,0.00306381
plus_minus_avg_5,0.0030522214
sb_combined_streak,0.0030449138
fg3a_med_20,0.003036554
min_avg_20,0.0030362702
stl_log_avg_10,0.0030260186
fg3m_avg_20,0.0030252885
pa_combined_avg_5,0.0030204754
stl_log_avg_20,0.003006837
fg3m_med_5,0.0030037642
fta_avg_10,0.0029746257
ra_combined_med_10,0.0029616712
days_rest,0.002961531
min_med_3,0.0029599497
reb_consistency,0.0029561145
fg3a_streak,0.0029439302
ast_med_10,0.00293822
pr_combined_streak,0.002936904
fta_avg_20,0.0029330314
tov_avg_5,0.0029329397
tov_med_20,0.0029316908
ast_streak,0.0029281317
sb_combined_med_5,0.0029274356
stl_log_med_20,0.002916778
plus_minus_med_3,0.0028908688
fg3a_avg_10,0.0028798797
min_avg_10,0.0028651927
blk_med_3,0.0028228865
plus_minus_avg_20,0.0028148878
reb_streak,0.0028103257
pra_combined_med_3,0.0027981445
fta_avg_5,0.0027914024
fg3a_med_10,0.0027850068
fg3m_consistency,0.0027678018
blk_avg_5,0.0027646027
fta_med_3,0.002755583
stl_streak,0.0027544943
tov_streak,0.002745434
fga_streak,0.0027411273
stl_log_ewm,0.00273408
fga_avg_3,0.0027269893
blk_log_avg_10,0.0027269884
pra_combined_avg_20,0.00272409
plus_minus_ewm,0.0027198943
plus_minus_med_10,0.0027153837
fga_med_3,0.0027130425
ast_consistency,0.002701253
stl_log_avg_3,0.0026874081
stl_avg_5,0.0026867595
blk_consistency,0.0026821936
stl_consistency,0.0026615825
reb_avg_20,0.0026607795
fgm_avg_3,0.002648619
blk_log_consistency,0.0026373442
ftm_consistency,0.002633106
plus_minus_avg_10,0.0026302994
ftm_med_10,0.0026161592
pts_avg_20,0.0026032724
fga_med_5,0.0025864586
ast_avg_3,0.00258284
ftm_med_3,0.0025816613
reb_avg_5,0.0025804301
pts_med_5,0.0025751826
