feature,importance
blk_ewm,0.057021394
blk_log_avg_20,0.023124486
blk_log_ewm,0.0160331
blk_avg_20,0.015964564
blk_log_med_10,0.011632463
blk_med_20,0.009483768
stl_log_med_10,0.008207278
four_in_six,0.008135579
sb_combined_med_5,0.008072556
pr_combined_avg_5,0.0074111177
fg3m_med_5,0.007332754
reb_ewm,0.0061386917
pa_combined_avg_5,0.0059756315
pa_combined_avg_3,0.005965389
fgm_avg_10,0.0059426664
reb_med_3,0.005933838
pa_combined_streak,0.0058760103
tov_avg_20,0.00580689
pra_combined_avg_10,0.005706074
pr_combined_med_3,0.0056673004
fgm_ewm,0.005560601
ra_combined_med_3,0.005530908
reb_avg_20,0.0054617566
pr_combined_consistency,0.005428912
fg3m_med_3,0.0053910147
ftm_med_10,0.005364381
blk_avg_10,0.005222535
pra_combined_med_10,0.0052189394
blk_med_10,0.005204979
tov_ewm,0.005181788
reb_med_5,0.005164752
ftm_ewm,0.0051303855
fgm_consistency,0.005068093
fta_avg_20,0.0050612553
pa_combined_avg_10,0.0050559123
pa_combined_consistency,0.0049928953
reb_consistency,0.0049513676
fgm_avg_3,0.004895681
pts_med_10,0.0048693684
ast_med_3,0.0048325197
reb_avg_5,0.004815042
pa_combined_avg_20,0.004799116
fta_consistency,0.0047951182
tov_med_3,0.0047943797
stl_log_streak,0.004790457
pra_combined_streak,0.0047760387
reb_med_20,0.0047687874
fga_streak,0.004749113
ftm_med_3,0.004747889
tov_consistency,0.004710127
plus_minus_med_5,0.0046829237
min_med_5,0.0046751387
pr_combined_avg_3,0.0046593747
sb_combined_avg_20,0.0046482123
ra_combined_avg_10,0.004642855
pts_avg_5,0.0046365205
fga_ewm,0.004620196
ast_consistency,0.0046110344
pr_combined_avg_20,0.0046014735
exp_poss,0.0045965416
stl_med_10,0.0045700814
fg3m_med_10,0.004567211
fga_consistency,0.0045621973
ra_combined_consistency,0.0045503355
stl_avg_20,0.0045333286
reb_avg_10,0.0044800993
pr_combined_med_10,0.0044688415
reb_med_10,0.00443268
plus_minus_avg_20,0.004427206
fg3m_avg_20,0.004409312
plus_minus_streak,0.0043577654
stl_log_avg_20,0.0043508657
min_streak,0.0043479805
ast_ewm,0.0043445434
fta_med_10,0.0043404484
reb_streak,0.004331793
blk_avg_3,0.00433021
blk_log_med_5,0.0043198913
fta_ewm,0.004315895
plus_minus_med_10,0.0042792065
fga_avg_20,0.0042745355
stl_log_ewm,0.004273004
ra_combined_avg_20,0.0042676567
pra_combined_consistency,0.0042360886
stl_avg_10,0.0042272485
pra_combined_med_20,0.004223414
ast_avg_20,0.004221121
plus_minus_ewm,0.0041992026
fta_streak,0.004198201
fg3a_med_20,0.0041938885
plus_minus_med_20,0.004179559
fg3a_consistency,0.0041361526
min_avg_20,0.0041196607
plus_minus_avg_10,0.004083522
plus_minus_med_3,0.004054902
fgm_med_20,0.0040528486
blk_consistency,0.0040469007
stl_med_5,0.0040434096
pr_combined_avg_10,0.004033334
pr_combined_streak,0.0040113046
stl_ewm,0.00397335
stl_log_consistency,0.0039725215
