feature,importance
fg3a_avg_10,0.25214377
fg3a_avg_20,0.22012761
fg3a_med_10,0.028631004
fg3a_avg_5,0.024583092
fg3a_med_20,0.017892571
fg3a_ewm,0.017751902
fg3a_avg_3,0.012157162
fg3m_avg_20,0.008512422
pra_combined_med_5,0.007371391
pa_combined_avg_3,0.006236144
fg3m_avg_10,0.005710819
fg3m_ewm,0.005659432
min_avg_3,0.004831665
pra_combined_avg_3,0.004830585
min_med_3,0.0047976505
fg3m_avg_3,0.0046700877
blk_log_med_10,0.0045225658
pa_combined_med_3,0.0040578246
pr_combined_avg_3,0.0035901547
fg3a_med_3,0.0032851575
min_streak,0.003239975
fgm_avg_10,0.0030096967
pra_combined_streak,0.0029332093
tov_ewm,0.0028262842
fg3m_med_10,0.0028071785
days_rest,0.002798925
fg3m_med_5,0.0027922888
pr_combined_med_5,0.0026576105
tov_med_5,0.002655925
pa_combined_streak,0.0026547199
fg3m_consistency,0.0026490516
min_consistency,0.0026158392
fga_avg_3,0.0024306234
pa_combined_avg_5,0.0023994308
fg3m_avg_5,0.0023988294
ra_combined_avg_10,0.0023976697
ra_combined_streak,0.0023696586
ra_combined_avg_3,0.0023650543
pa_combined_consistency,0.002356615
fta_med_3,0.0023539886
pts_avg_10,0.0023405717
blk_med_10,0.002325591
pra_combined_avg_20,0.0023210105
pr_combined_med_20,0.002275042
stl_log_consistency,0.0022711554
ra_combined_med_10,0.0022701724
min_med_10,0.0022556966
fga_med_5,0.002246934
blk_log_consistency,0.002234145
fg3a_med_5,0.0022301164
fgm_consistency,0.002219174
fg3m_med_3,0.0022176295
stl_log_avg_3,0.0021939734
ra_combined_med_3,0.002183151
min_avg_20,0.002182767
fgm_med_3,0.0021750252
pts_med_5,0.0021722964
pa_combined_avg_10,0.0021495754
sb_combined_med_3,0.0021417781
fgm_streak,0.0021248837
pr_combined_consistency,0.002121005
b2b,0.0021068726
blk_avg_10,0.0021057539
stl_consistency,0.0020937019
fta_ewm,0.0020898655
stl_med_10,0.0020827355
fga_ewm,0.002079906
min_avg_5,0.0020793637
stl_ewm,0.002069004
tov_avg_5,0.0020674292
min_med_20,0.0020617968
blk_log_ewm,0.002037306
pts_avg_5,0.0020370793
min_med_5,0.0020298425
tov_med_20,0.0020278106
pra_combined_avg_10,0.00200512
ftm_avg_5,0.001989142
pra_combined_consistency,0.0019684092
min_ewm,0.0019470922
pr_combined_med_10,0.0019423795
fgm_med_5,0.0019421005
pts_streak,0.0019371737
ast_med_5,0.0019341343
sb_combined_avg_3,0.0019328608
fta_med_10,0.0019298075
ra_combined_consistency,0.001923097
pts_avg_3,0.0019206612
pr_combined_avg_10,0.0019179931
tov_consistency,0.001915274
sb_combined_med_10,0.0019149649
fta_avg_10,0.0019095382
fg3a_consistency,0.0019041968
stl_log_ewm,0.0019024403
fga_consistency,0.0018985502
fg3a_streak,0.0018968472
blk_med_20,0.0018727827
fgm_avg_3,0.001843908
pra_combined_avg_5,0.0018356171
ra_combined_avg_5,0.0018168207
ftm_med_10,0.0018142237
pr_combined_streak,0.0018122378
ftm_avg_10,0.0018097691
fta_avg_5,0.0018074117
pts_med_20,0.0018073623
exp_poss,0.0018065444
blk_consistency,0.0017964575
ast_consistency,0.001793021
tov_streak,0.0017880896
plus_minus_med_10,0.0017806537
ra_combined_med_5,0.0017756552
ast_med_20,0.0017718348
fg3m_streak,0.001769136
pra_combined_med_20,0.0017584993
reb_med_3,0.0017575097
pr_combined_avg_5,0.0017524086
sb_combined_consistency,0.0017276417
pa_combined_med_10,0.0017251286
tov_avg_3,0.0017230379
stl_avg_3,0.0017205194
reb_consistency,0.0017152124
fga_streak,0.0017070927
fga_med_10,0.0017024676
plus_minus_consistency,0.0016973855
pra_combined_med_3,0.0016972864
blk_avg_20,0.0016963265
fgm_avg_5,0.0016937164
stl_streak,0.0016914755
reb_avg_5,0.0016746056
reb_ewm,0.0016745653
pra_combined_med_10,0.0016655521
pts_med_10,0.0016549047
ftm_ewm,0.0016509611
fta_consistency,0.0016485748
pr_combined_avg_20,0.001648058
sb_combined_avg_5,0.0016474725
fgm_med_10,0.001641813
reb_avg_10,0.0016414732
fga_avg_20,0.001640465
ftm_consistency,0.0016357962
tov_med_10,0.0016350942
plus_minus_ewm,0.0016301033
reb_avg_3,0.0016210526
tov_avg_20,0.0016203504
plus_minus_med_20,0.0016187221
pts_consistency,0.001616735
fta_med_20,0.0016118435
reb_streak,0.001609175
fta_avg_20,0.0016067651
fgm_ewm,0.0016061051
plus_minus_streak,0.0015786024
fga_avg_5,0.0015711584
plus_minus_avg_20,0.00156087
ast_streak,0.0015602439
sb_combined_med_5,0.001558239
ra_combined_avg_20,0.001545723
plus_minus_med_3,0.0015443922
fga_med_3,0.0015443163
plus_minus_avg_5,0.0015422024
ra_combined_med_20,0.0015321193
pts_avg_20,0.0015291766
blk_ewm,0.001525309
reb_med_20,0.0015245609
stl_log_med_10,0.0015202861
reb_med_10,0.0015197671
ast_ewm,0.0015166607
ast_avg_3,0.0015143862
blk_log_streak,0.0014953295
reb_avg_20,0.0014933114
blk_log_avg_10,0.0014892954
ast_avg_20,0.0014885522
pa_combined_avg_20,0.0014880312
pa_combined_med_5,0.0014718202
sb_combined_avg_10,0.0014666135
fta_avg_3,0.0014587906
pr_combined_med_3,0.0014580722
blk_log_avg_5,0.0014554138
pts_med_3,0.0014548603
is_home,0.0014461771
pts_ewm,0.0014393419
ftm_streak,0.0014368163
plus_minus_med_5,0.0014247369
fga_med_20,0.001420276
ftm_avg_20,0.0014194935
fg3m_med_20,0.0014168026
fga_avg_10,0.0014167019
sb_combined_avg_20,0.0014051545
ftm_med_20,0.001400485
stl_avg_10,0.0013927975
ftm_med_3,0.001386802
sb_combined_streak,0.0013843065
reb_med_5,0.0013755558
stl_log_avg_20,0.0013736034
min_avg_10,0.0013679706
blk_log_avg_20,0.0013539944
stl_log_avg_10,0.0013388324
stl_med_20,0.0013155724
ast_avg_5,0.0013064978
fta_streak,0.0013062448
four_in_six,0.0012823788
ftm_avg_3,0.0012813428
blk_med_5,0.001280718
stl_avg_20,0.0012784643
blk_streak,0.0012630431
stl_log_streak,0.0012512065
plus_minus_avg_10,0.0012481255
sb_combined_med_20,0.0012308904
blk_avg_5,0.0012259107
ast_med_10,0.001221714
plus_minus_avg_3,0.001220389
stl_log_avg_5,0.0012105772
pa_combined_med_20,0.001200499
tov_med_3,0.0011898471
ast_avg_10,0.0011250947
tov_avg_10,0.0010878313
stl_med_3,0.0010726539
fgm_avg_20,0.0010604719
blk_med_3,0.0009215502
stl_avg_5,0.0009019406
blk_log_avg_3,0.0008782111
stl_log_med_3,0.00077524123
fta_med_5,0.00076832285
blk_avg_3,0.0006298216
fgm_med_20,0.00061035034
ftm_med_5,0.0004522121
stl_med_5,0.0
stl_log_med_5,0.0
ast_med_3,0.0
blk_log_med_5,0.0
blk_log_med_3,0.0
stl_log_med_20,0.0
blk_log_med_20,0.0
