feature,importance
fg3a_avg_10,0.17822303
fg3a_avg_20,0.15709224
fg3a_avg_5,0.020519873
fg3m_avg_20,0.020216735
fg3a_ewm,0.01909967
fg3m_ewm,0.014764225
fg3a_avg_3,0.00784253
fg3a_med_10,0.0063176164
fg3m_avg_3,0.0057938495
fg3a_med_20,0.005677437
pra_combined_med_5,0.005522336
blk_med_10,0.0050965953
min_med_3,0.005052657
stl_log_med_10,0.004908885
min_avg_3,0.004759774
pa_combined_avg_3,0.004221738
blk_log_med_3,0.004173096
blk_log_avg_20,0.004038367
pr_combined_avg_3,0.0039097075
fta_med_10,0.003815133
ftm_med_10,0.0037608133
fg3m_avg_10,0.0036612847
exp_poss,0.0036172708
pr_combined_med_5,0.0036043783
min_avg_5,0.003587301
min_consistency,0.0035855442
sb_combined_med_20,0.0035693105
blk_log_streak,0.0035604166
fg3m_med_10,0.003527988
pa_combined_avg_10,0.003513735
fgm_streak,0.0034451152
blk_log_consistency,0.0033734445
pa_combined_avg_5,0.0033623616
pra_combined_streak,0.0033276235
fta_med_3,0.0033204574
min_streak,0.0032926577
fta_med_20,0.0032909508
blk_log_avg_5,0.0032826709
min_med_20,0.0032709835
blk_log_avg_3,0.0032678517
fgm_ewm,0.0032390926
pra_combined_consistency,0.0032347867
pa_combined_consistency,0.0032318034
tov_med_5,0.0031534636
days_rest,0.0031423236
fg3m_avg_5,0.0031287305
ftm_med_3,0.003124681
fga_avg_10,0.003123735
pra_combined_avg_10,0.0031234524
plus_minus_ewm,0.0030307383
ra_combined_avg_20,0.0030250228
stl_ewm,0.003016997
ra_combined_med_5,0.0030164376
stl_log_avg_20,0.0030162153
ra_combined_avg_5,0.002992557
reb_avg_10,0.00294243
pr_combined_avg_5,0.0029317886
ast_avg_20,0.002924275
fga_streak,0.0029185845
pr_combined_med_10,0.0029120063
sb_combined_avg_5,0.0028790387
pr_combined_med_20,0.0028730077
min_ewm,0.0028680805
blk_med_3,0.0028643191
is_home,0.0028627191
fg3m_med_20,0.002849209
fg3a_consistency,0.002836277
ra_combined_med_3,0.0028355636
reb_consistency,0.0028239528
pr_combined_avg_20,0.002820735
ast_avg_5,0.0028180974
ast_med_3,0.0028141292
pr_combined_streak,0.0027879751
ftm_med_5,0.0027817178
blk_log_avg_10,0.0027777713
fg3m_consistency,0.0027646697
min_med_10,0.0027636096
fg3a_med_3,0.0027621933
blk_med_5,0.0027593179
fta_ewm,0.0027512657
fta_consistency,0.002749011
pts_streak,0.0027402928
pa_combined_med_3,0.002739513
pts_avg_10,0.0027239958
fgm_med_3,0.0027236794
stl_log_streak,0.002723357
plus_minus_streak,0.0027192147
plus_minus_med_20,0.0027071359
pa_combined_streak,0.0026941986
pr_combined_avg_10,0.0026904969
ftm_avg_5,0.0026898065
ra_combined_med_10,0.002682097
sb_combined_avg_20,0.0026734136
ra_combined_consistency,0.002666557
stl_log_consistency,0.0026660925
fgm_med_5,0.0026660408
tov_streak,0.0026632003
ftm_consistency,0.0026592026
tov_med_3,0.0026460213
fta_med_5,0.0026415784
blk_avg_10,0.0026375598
sb_combined_streak,0.0026365493
reb_ewm,0.00262494
pts_med_10,0.0026228575
ra_combined_avg_10,0.0026197918
pra_combined_med_10,0.002609706
fg3m_med_5,0.002607134
reb_med_10,0.0026001378
pr_combined_consistency,0.002599555
min_avg_10,0.0025966365
pts_consistency,0.0025944144
ast_med_5,0.0025914356
fta_avg_5,0.002583295
blk_avg_5,0.00258155
fgm_avg_20,0.0025657492
stl_log_ewm,0.00256145
fgm_consistency,0.002560504
ast_consistency,0.0025568595
min_med_5,0.0025497715
plus_minus_avg_20,0.0025221175
