feature,importance
fgm_avg_10,0.28823447
fgm_avg_20,0.18807426
pts_avg_10,0.091689005
fgm_med_20,0.04218415
pra_combined_avg_10,0.023554666
fgm_ewm,0.021963496
fga_avg_5,0.01857575
fga_avg_10,0.018363886
pa_combined_avg_10,0.015176844
fga_med_20,0.008923187
pr_combined_avg_20,0.008692528
pra_combined_avg_3,0.008585289
pra_combined_avg_5,0.006251942
fga_avg_3,0.006237286
pra_combined_avg_20,0.005841779
pr_combined_med_20,0.005463518
pr_combined_avg_3,0.0047075273
fgm_avg_5,0.0043667764
fga_med_10,0.004348723
min_avg_3,0.0043115225
pts_ewm,0.0040886053
pts_avg_5,0.003756722
fga_avg_20,0.0031232808
pa_combined_avg_3,0.0029386953
fga_med_3,0.0026833762
pts_med_20,0.0026794043
min_med_3,0.0026180954
pra_combined_med_5,0.0021365823
pa_combined_avg_5,0.0020303607
fta_ewm,0.0020050397
days_rest,0.0018820774
pa_combined_med_5,0.0018429871
pa_combined_med_3,0.0017075846
fgm_avg_3,0.0016810187
pa_combined_avg_20,0.0016316426
fga_med_5,0.0016261451
ra_combined_avg_3,0.0015588164
pra_combined_med_20,0.0015178665
ra_combined_med_20,0.0014931699
ast_avg_10,0.0014878329
fga_ewm,0.0014851098
stl_med_10,0.0014686009
fta_avg_5,0.0014043538
min_consistency,0.0014032513
exp_poss,0.0013999838
fta_avg_20,0.0013903582
fg3a_med_5,0.0013842208
sb_combined_avg_20,0.0013778347
fg3m_med_3,0.0013669009
blk_ewm,0.0013602747
tov_avg_10,0.0013519692
fta_med_10,0.0013474582
blk_log_avg_20,0.001330849
tov_avg_5,0.0013269276
pra_combined_med_3,0.0013185085
pr_combined_med_10,0.0013132708
fta_avg_10,0.0013072084
fg3m_avg_5,0.0012971387
four_in_six,0.0012785182
blk_consistency,0.0012771576
pr_combined_avg_10,0.0012661513
pa_combined_med_20,0.001254893
blk_log_ewm,0.0012461124
min_avg_20,0.0012350241
pr_combined_avg_5,0.0012110067
fg3a_med_3,0.001203648
tov_med_20,0.0011985814
pra_combined_med_10,0.0011980615
fgm_consistency,0.0011813149
plus_minus_med_10,0.0011743383
blk_med_5,0.0011628369
ftm_med_20,0.0011572975
ra_combined_avg_20,0.0011545449
fg3m_avg_20,0.0011418724
stl_log_med_10,0.0011417107
pts_med_10,0.0011397679
fta_avg_3,0.0011388141
tov_streak,0.0011364438
fg3m_avg_10,0.0011362742
tov_ewm,0.0011323069
fg3m_avg_3,0.0011294904
ra_combined_med_3,0.0011290908
min_ewm,0.0011275819
fg3m_streak,0.0011269838
ftm_avg_20,0.0011264444
fgm_med_5,0.0011212329
ast_avg_5,0.0011205861
is_home,0.0011188205
fg3m_consistency,0.0011028568
ftm_avg_10,0.001095562
ast_med_3,0.0010843702
plus_minus_avg_10,0.0010802649
fta_consistency,0.0010793672
blk_log_avg_10,0.0010781643
ast_avg_20,0.001068791
stl_log_avg_10,0.0010674532
ftm_ewm,0.0010655128
pr_combined_med_3,0.0010649968
sb_combined_med_20,0.0010644236
fta_med_3,0.0010636788
ra_combined_med_5,0.0010585401
pts_med_3,0.0010577383
fta_med_20,0.0010489746
blk_avg_20,0.0010436461
ftm_med_10,0.0010379258
ftm_avg_5,0.0010342365
sb_combined_avg_10,0.001031135
ftm_consistency,0.0010309679
reb_ewm,0.001028934
stl_log_streak,0.0010251935
plus_minus_avg_5,0.001025071
fga_consistency,0.0010247164
fg3a_med_20,0.001023615
fga_streak,0.0010210734
fta_med_5,0.0010204939
ast_consistency,0.0010189215
fg3m_ewm,0.0010173894
plus_minus_ewm,0.0010164616
stl_consistency,0.0010160427
blk_log_consistency,0.0010065243
ra_combined_avg_10,0.0010024629
pra_combined_streak,0.0010010704
fg3a_avg_20,0.0009994849
ra_combined_avg_5,0.0009943628
blk_streak,0.0009900397
plus_minus_streak,0.0009869594
min_med_10,0.0009825961
plus_minus_med_3,0.0009819873
fg3a_avg_5,0.0009804871
fg3a_ewm,0.0009802186
tov_avg_3,0.00097937
pts_avg_20,0.00097616616
fgm_med_10,0.0009654861
plus_minus_med_5,0.0009550095
ast_med_10,0.0009549674
pr_combined_consistency,0.0009547276
fg3a_streak,0.0009546356
blk_log_avg_3,0.0009514879
ra_combined_consistency,0.0009506411
reb_avg_5,0.00094866694
tov_avg_20,0.00094768574
ra_combined_streak,0.0009442442
min_streak,0.0009441527
ftm_avg_3,0.00094367226
tov_consistency,0.0009406963
reb_streak,0.0009386433
blk_avg_5,0.000938085
fg3a_consistency,0.00093478925
min_avg_10,0.00093474425
stl_log_ewm,0.00093443086
stl_log_consistency,0.000932744
reb_med_20,0.000930233
sb_combined_med_3,0.00092820474
tov_med_3,0.0009231405
reb_med_10,0.0009229521
min_med_5,0.0009200117
fgm_med_3,0.0009185842
min_avg_5,0.0009107139
stl_log_avg_20,0.0009047535
