feature,importance
pra_combined_med_20,0.2730583
pra_combined_avg_10,0.16696952
pra_combined_avg_20,0.08466504
pra_combined_avg_5,0.04234378
pr_combined_med_20,0.024586724
pr_combined_avg_20,0.013627562
fga_avg_20,0.01174816
fga_ewm,0.008854335
pa_combined_avg_10,0.008441254
fga_avg_10,0.007541646
exp_poss,0.0071097524
pa_combined_avg_20,0.0058714724
min_avg_3,0.005869404
pra_combined_avg_3,0.005069855
pa_combined_med_10,0.0050454
pra_combined_med_10,0.0050423467
pts_med_20,0.0044454047
fga_med_20,0.0041274414
min_ewm,0.0038178088
min_med_3,0.0035445164
tov_ewm,0.0032429062
fga_avg_3,0.0032107593
pr_combined_avg_10,0.0031697361
fgm_ewm,0.0030129391
pr_combined_med_10,0.0029434701
fga_avg_5,0.0029404017
pa_combined_avg_3,0.0026944426
ra_combined_avg_3,0.002544488
ra_combined_med_5,0.0025410468
fga_med_3,0.0025348603
stl_log_med_10,0.0025079814
pra_combined_med_5,0.0024429027
ast_avg_20,0.002356955
stl_med_20,0.0023362085
ra_combined_avg_20,0.0022953239
ast_ewm,0.0021782925
ra_combined_avg_5,0.0021324449
min_avg_5,0.0020813576
tov_avg_20,0.0020759574
pr_combined_med_5,0.002048445
ra_combined_med_20,0.0019747005
fga_med_10,0.0019492429
blk_med_10,0.0019277353
min_med_10,0.001916453
tov_med_20,0.0018968625
pa_combined_med_20,0.0018894094
blk_log_ewm,0.0018883126
ast_avg_10,0.0018847826
stl_log_avg_3,0.0018557545
ftm_avg_20,0.0018204655
ast_med_20,0.0018110885
min_med_20,0.0017996082
min_avg_20,0.0017899668
blk_ewm,0.0017885636
fta_ewm,0.0017678051
days_rest,0.0017629603
fta_avg_10,0.0017346247
fg3a_med_5,0.0016748321
ast_med_10,0.0016561793
sb_combined_med_5,0.0016506951
fgm_med_20,0.0016479834
ra_combined_avg_10,0.0016413978
pra_combined_med_3,0.0016409111
pr_combined_avg_5,0.001630186
fga_med_5,0.0016278799
fgm_med_3,0.0016231126
ast_med_5,0.0016214458
blk_med_5,0.0016135365
pa_combined_avg_5,0.0016117947
pts_consistency,0.0016094593
reb_ewm,0.0016024596
stl_ewm,0.0015971214
pts_med_10,0.0015948478
reb_med_20,0.0015891563
pr_combined_med_3,0.0015790305
ftm_ewm,0.0015778955
plus_minus_med_20,0.0015753417
min_streak,0.0015715164
ftm_med_20,0.0015685125
sb_combined_consistency,0.0015655609
fg3m_med_3,0.0015596353
sb_combined_avg_20,0.0015578738
stl_log_ewm,0.0015491138
blk_log_avg_20,0.0015454482
sb_combined_med_10,0.001541503
fgm_avg_20,0.001537655
stl_log_avg_20,0.0015334825
fg3a_avg_20,0.001529931
min_med_5,0.0015298438
ra_combined_med_3,0.0015293609
fg3a_ewm,0.001528203
fg3m_avg_10,0.0015263997
min_consistency,0.001524734
fg3m_avg_5,0.0015238205
pra_combined_streak,0.0015180694
pa_combined_streak,0.0015180121
tov_avg_10,0.001507626
sb_combined_med_20,0.001504635
fg3m_med_5,0.0014981162
blk_log_streak,0.001497713
fgm_consistency,0.0014958376
ast_avg_5,0.001493461
blk_log_avg_10,0.001492492
ftm_avg_10,0.001489224
pts_med_3,0.001487691
stl_med_5,0.0014869483
tov_med_10,0.001484717
pa_combined_consistency,0.0014833452
pr_combined_consistency,0.0014829868
pa_combined_med_5,0.0014817314
fg3a_avg_10,0.0014817076
blk_log_consistency,0.0014812162
plus_minus_med_5,0.0014794599
fta_med_3,0.0014790593
stl_log_streak,0.0014668615
stl_streak,0.001466218
ast_avg_3,0.0014631877
ra_combined_streak,0.0014577265
ast_streak,0.001456994
reb_streak,0.001456487
fgm_streak,0.0014503602
fg3m_avg_20,0.0014471712
pra_combined_consistency,0.0014445626
fta_med_5,0.001439283
reb_avg_20,0.0014282755
plus_minus_avg_20,0.0014200043
ra_combined_med_10,0.001418238
plus_minus_med_10,0.0014169203
plus_minus_streak,0.0014123278
pa_combined_med_3,0.0014087319
pr_combined_avg_3,0.0014084887
fg3m_med_10,0.001407862
stl_log_med_20,0.0014044626
fta_avg_3,0.001394388
fg3m_med_20,0.0013912811
sb_combined_streak,0.0013912305
tov_streak,0.0013897379
reb_med_5,0.0013845108
fg3m_consistency,0.0013842502
plus_minus_avg_10,0.0013814119
fg3a_streak,0.0013706001
reb_med_3,0.0013695965
ftm_med_3,0.0013676577
reb_consistency,0.0013664999
blk_med_20,0.0013621674
fta_consistency,0.001356878
plus_minus_ewm,0.0013567979
plus_minus_med_3,0.0013540239
ast_med_3,0.0013451369
fg3a_med_20,0.0013450622
blk_log_med_20,0.0013293282
fg3m_ewm,0.0013262938
sb_combined_avg_3,0.0013182786
blk_avg_10,0.0013162589
ftm_streak,0.0013145447
fgm_avg_5,0.0013135973
fgm_avg_10,0.0013092542
fta_streak,0.0013091388
fta_med_10,0.0013058153
min_avg_10,0.0013029275
fg3a_consistency,0.0012979741
ftm_med_5,0.0012975008
fg3m_streak,0.0012879958
ra_combined_consistency,0.0012868086
fta_med_20,0.001285557
fta_avg_20,0.0012852326
stl_log_avg_5,0.0012784534
fg3a_med_3,0.0012776155
ftm_consistency,0.0012766735
blk_streak,0.0012709701
reb_med_10,0.0012616563
blk_avg_5,0.0012605633
pts_streak,0.0012603543
b2b,0.0012554332
sb_combined_avg_10,0.0012399284
pts_avg_20,0.0012330607
stl_consistency,0.001229424
tov_avg_5,0.0012197646
sb_combined_avg_5,0.0012194664
fga_consistency,0.001218778
blk_consistency,0.0012069051
pr_combined_streak,0.0011967883
ftm_avg_5,0.001196635
pts_med_5,0.0011933434
fga_streak,0.0011907297
tov_consistency,0.0011861774
tov_med_5,0.0011840813
ast_consistency,0.0011808249
fgm_med_5,0.0011806769
blk_log_avg_5,0.0011640158
plus_minus_avg_5,0.0011627129
fg3a_avg_5,0.0011515443
plus_minus_consistency,0.0011512014
fgm_avg_3,0.0011435897
stl_avg_20,0.0011397355
pts_avg_10,0.001131087
stl_log_avg_10,0.0011240413
blk_avg_20,0.0011218159
stl_log_consistency,0.0011189281
stl_med_3,0.0011169839
is_home,0.0010848362
reb_avg_10,0.0010782466
reb_avg_5,0.0010765278
pts_ewm,0.0010605251
fta_avg_5,0.001052311
reb_avg_3,0.0010512176
fg3a_avg_3,0.0010360075
sb_combined_med_3,0.0010335275
blk_avg_3,0.0010291782
stl_avg_10,0.0010203812
tov_avg_3,0.0010162223
ftm_med_10,0.0010074506
pts_avg_5,0.0009979622
fg3m_avg_3,0.0009954791
stl_log_med_3,0.0009846677
blk_log_avg_3,0.0009823551
plus_minus_avg_3,0.0009610316
tov_med_3,0.0009097868
ftm_avg_3,0.00089720654
fgm_med_10,0.0008645316
stl_avg_3,0.0008632129
pts_avg_3,0.0007709008
fg3a_med_10,0.00075503415
stl_med_10,0.0007464291
stl_avg_5,0.00064766716
blk_log_med_5,0.00043248027
blk_log_med_3,0.0002491058
blk_med_3,0.00016847106
stl_log_med_5,5.0564628e-05
blk_log_med_10,0.0
four_in_six,0.0
