feature,importance
fta_avg_20,0.15459406
fta_ewm,0.06234185
pts_ewm,0.033839684
ftm_avg_20,0.030748134
pts_med_20,0.0263385
fta_avg_10,0.026267407
ftm_ewm,0.023480952
pra_combined_avg_20,0.009023758
ftm_med_20,0.008425362
pra_combined_med_20,0.0073876884
fta_med_10,0.0072669745
fta_med_20,0.0072487416
pra_combined_avg_10,0.0063499906
pr_combined_avg_5,0.006036178
pra_combined_med_10,0.005955354
ra_combined_med_20,0.005834785
pa_combined_med_20,0.0057182824
blk_med_10,0.0054693487
pa_combined_med_5,0.005397638
blk_log_med_3,0.005236614
pra_combined_avg_5,0.005227368
blk_med_3,0.004949338
fta_avg_5,0.0047525163
pa_combined_med_10,0.004739045
pa_combined_avg_20,0.004457843
ra_combined_med_10,0.004380733
pa_combined_avg_10,0.0043557268
fg3m_med_20,0.0042847646
pr_combined_avg_10,0.004271046
pr_combined_med_10,0.0042596147
fg3a_med_5,0.0041494328
ast_med_5,0.0039320453
fgm_med_20,0.003875621
fga_med_20,0.003747266
fgm_avg_20,0.0036419411
fga_consistency,0.0036311934
ftm_avg_5,0.0035414537
exp_poss,0.0035294727
fta_med_3,0.003510672
fgm_avg_10,0.0035100356
pts_med_5,0.0034589844
pts_avg_10,0.0034473923
ra_combined_med_5,0.0034386776
ra_combined_avg_20,0.003404736
pts_med_10,0.0033834109
min_ewm,0.003352487
fg3a_avg_5,0.0033519263
blk_log_med_10,0.0033278905
blk_consistency,0.003313741
ra_combined_avg_5,0.0033076121
reb_streak,0.0032903352
fga_avg_3,0.003249777
plus_minus_ewm,0.0032465535
pra_combined_avg_3,0.003241204
pa_combined_med_3,0.0032385052
fga_med_5,0.0031893484
fg3a_consistency,0.0031719236
pr_combined_med_20,0.0031719122
fg3m_ewm,0.0031433322
sb_combined_med_10,0.0031326832
pr_combined_avg_3,0.0031320225
min_consistency,0.003118089
pr_combined_streak,0.0031165506
pra_combined_consistency,0.0031160205
blk_log_consistency,0.0031067715
fta_med_5,0.0030866205
fgm_med_10,0.0030709454
b2b,0.0030613302
fga_med_10,0.0030587064
ftm_med_3,0.0030404842
fg3a_med_10,0.0030394504
fg3a_avg_20,0.0030331772
min_med_5,0.0030135037
plus_minus_avg_20,0.0030010531
reb_consistency,0.0029747577
pra_combined_med_3,0.0029715362
tov_consistency,0.0029712687
fgm_ewm,0.002968049
blk_log_avg_20,0.0029223931
reb_med_3,0.0029199293
pa_combined_avg_3,0.0029163784
pa_combined_streak,0.0029115777
ast_med_10,0.002904825
plus_minus_med_10,0.00290348
ra_combined_med_3,0.0028943296
fg3m_avg_10,0.0028940316
fg3m_streak,0.0028887603
fga_streak,0.002868998
pa_combined_avg_5,0.0028590967
fg3m_avg_20,0.0028578807
pa_combined_consistency,0.0028573482
fg3a_med_3,0.0028472217
fgm_consistency,0.0028468156
stl_log_avg_5,0.0028219724
ftm_med_10,0.0028219554
fgm_streak,0.0028195896
blk_log_avg_10,0.0028126943
fg3m_med_5,0.0028125546
sb_combined_streak,0.0028109357
plus_minus_avg_10,0.0028089944
blk_ewm,0.0027925966
fga_avg_5,0.0027752589
ra_combined_consistency,0.0027604168
blk_log_med_20,0.0027592506
sb_combined_avg_5,0.0027480484
stl_streak,0.0027428058
fgm_avg_5,0.002738869
min_med_20,0.0027062206
blk_log_ewm,0.0026926394
stl_med_5,0.0026819305
pr_combined_med_3,0.002679225
tov_med_20,0.0026760283
reb_ewm,0.0026738192
min_streak,0.0026715877
ast_avg_10,0.002667934
stl_ewm,0.002666958
tov_med_10,0.0026654813
ra_combined_avg_10,0.002661147
ast_med_20,0.0026399142
plus_minus_consistency,0.0026367062
plus_minus_med_5,0.0026344478
stl_log_streak,0.0026310629
reb_med_20,0.00262933
fga_avg_10,0.0026271644
sb_combined_consistency,0.0026217508
stl_log_avg_20,0.0026112595
fta_avg_3,0.0026071216
min_avg_20,0.0026038692
fg3a_ewm,0.002601776
fg3m_med_3,0.0025903294
reb_avg_20,0.0025902241
pra_combined_med_5,0.0025863734
stl_log_med_3,0.0025747302
ftm_consistency,0.0025684214
fta_consistency,0.0025654258
fgm_med_3,0.0025582926
pts_avg_20,0.0025403106
tov_streak,0.002538371
fga_med_3,0.0025378189
sb_combined_avg_20,0.0025347078
stl_log_med_10,0.0025345285
blk_log_avg_5,0.0025339879
reb_med_10,0.00252392
pr_combined_avg_20,0.0025082002
stl_log_avg_3,0.0025064372
fta_streak,0.002505413
min_med_3,0.0024983573
stl_consistency,0.002488798
plus_minus_med_20,0.0024849023
ftm_med_5,0.0024791255
stl_avg_20,0.002473853
reb_avg_5,0.002472649
stl_log_ewm,0.0024582616
pts_streak,0.0024557617
ra_combined_avg_3,0.0024455895
plus_minus_med_3,0.002437516
ast_avg_20,0.0024218303
stl_log_consistency,0.0024172661
pts_avg_5,0.0024156198
fgm_avg_3,0.0024127362
plus_minus_avg_5,0.0023983803
ftm_avg_10,0.0023897977
fga_ewm,0.0023711806
min_avg_3,0.0023703931
plus_minus_streak,0.002362721
blk_avg_5,0.0023619372
ast_streak,0.0023557872
pr_combined_consistency,0.0023551737
ast_avg_5,0.0023464542
tov_ewm,0.00234641
pts_med_3,0.0023452095
tov_med_5,0.002334996
sb_combined_med_20,0.002325519
pra_combined_streak,0.0023066013
plus_minus_avg_3,0.0022925301
ast_med_3,0.002291759
pr_combined_med_5,0.0022844833
fga_avg_20,0.002281581
stl_log_avg_10,0.002273857
ra_combined_streak,0.002239546
fg3m_consistency,0.002232264
sb_combined_avg_10,0.002230661
blk_streak,0.0022171405
min_avg_10,0.002212689
blk_avg_10,0.0021951376
fg3a_med_20,0.0021907545
reb_med_5,0.002185755
stl_avg_5,0.0021837447
fg3m_avg_5,0.002162291
min_med_10,0.0021563787
ast_consistency,0.002147822
blk_med_20,0.002122399
tov_avg_5,0.002068334
stl_log_med_5,0.0020650134
tov_avg_20,0.002061122
fg3a_streak,0.0020219411
ftm_streak,0.0020187942
pts_avg_3,0.0020177867
reb_avg_10,0.002003954
pts_consistency,0.0020026872
fg3m_med_10,0.0019969032
blk_log_streak,0.0019959423
ast_ewm,0.0019942166
four_in_six,0.0019930443
tov_med_3,0.0019630878
ast_avg_3,0.0019377032
fg3a_avg_10,0.0019376132
days_rest,0.0018475755
blk_avg_20,0.0018061673
fgm_med_5,0.0018026232
fg3a_avg_3,0.0017811119
fg3m_avg_3,0.0017663352
tov_avg_10,0.0017303444
reb_avg_3,0.0016962131
min_avg_5,0.0016764125
ftm_avg_3,0.0016448004
sb_combined_avg_3,0.0016130679
stl_med_20,0.0015361633
is_home,0.0014649077
tov_avg_3,0.0014145984
stl_avg_10,0.0013603861
stl_avg_3,0.0013254142
stl_med_3,0.0012931521
blk_log_avg_3,0.0012402618
stl_med_10,0.0011572456
sb_combined_med_3,0.001131698
blk_log_med_5,0.0010544088
sb_combined_med_5,0.0010133769
blk_avg_3,0.0009768712
stl_log_med_20,0.0
blk_med_5,0.0
