feature,importance
ftm_avg_20,0.10562227
ftm_ewm,0.07407471
pts_med_20,0.06579941
pts_ewm,0.0610069
fta_avg_20,0.04662043
fta_ewm,0.031853992
ftm_avg_10,0.015002771
ftm_med_20,0.014717336
fta_avg_5,0.012311299
pa_combined_avg_5,0.008111266
pa_combined_avg_10,0.007318491
pra_combined_avg_10,0.0060940892
fta_avg_10,0.0050938865
pa_combined_med_5,0.0046820287
fta_med_20,0.0046666986
ftm_med_10,0.004665519
fga_med_20,0.0046298243
pa_combined_med_20,0.0046013356
pa_combined_med_10,0.0044540865
ra_combined_avg_10,0.004410834
pa_combined_avg_20,0.004253532
fg3m_med_10,0.0042411643
pr_combined_avg_5,0.0039071427
ast_med_10,0.0038677028
fga_med_10,0.0038362402
ra_combined_avg_20,0.003685571
pts_avg_5,0.003663828
stl_log_med_3,0.0036535212
pa_combined_med_3,0.0036443523
ra_combined_avg_3,0.0036071187
pr_combined_avg_10,0.0035716414
pr_combined_avg_20,0.0035133625
fgm_ewm,0.0035108195
fta_med_5,0.0035021652
pts_med_5,0.0034705494
stl_log_med_5,0.0034681957
ast_avg_10,0.0034631328
ast_med_5,0.0034476144
fga_avg_10,0.003419262
pra_combined_med_20,0.0033791545
fgm_med_5,0.0033688915
ra_combined_streak,0.003279192
blk_log_avg_20,0.0032688545
pa_combined_avg_3,0.0032464825
pts_avg_10,0.0032338458
fga_consistency,0.0032248069
ra_combined_med_10,0.003218324
blk_log_avg_10,0.0032042088
fg3a_consistency,0.0031759162
sb_combined_consistency,0.003171929
plus_minus_med_10,0.0031401785
pa_combined_consistency,0.0031322492
fgm_avg_20,0.0031087452
sb_combined_med_20,0.0030962008
sb_combined_med_3,0.0030694234
sb_combined_avg_20,0.0030682625
fga_avg_5,0.0030625812
fgm_avg_10,0.0030581371
sb_combined_avg_5,0.003024493
reb_streak,0.0030183946
fga_ewm,0.0030127831
pr_combined_med_20,0.0030125086
ast_ewm,0.0030122707
fg3m_streak,0.0029926558
blk_log_avg_5,0.0029674065
fga_streak,0.0029501494
fg3m_consistency,0.0029422992
fga_avg_3,0.0029396648
plus_minus_avg_5,0.0029382994
ast_avg_5,0.002921479
plus_minus_ewm,0.0029097009
plus_minus_avg_10,0.00290053
pts_med_3,0.0028985695
fta_med_10,0.0028858657
tov_consistency,0.0028839926
min_consistency,0.0028825707
min_ewm,0.0028776636
blk_consistency,0.0028766533
pr_combined_consistency,0.0028426237
fgm_med_10,0.0028373287
ftm_med_5,0.0028259158
stl_log_ewm,0.0028182596
pts_avg_20,0.0028079858
plus_minus_consistency,0.00280755
fgm_avg_3,0.0028059154
fg3a_ewm,0.0028032472
reb_avg_20,0.0027974995
fgm_streak,0.0027892622
plus_minus_med_5,0.0027691552
blk_avg_10,0.0027378958
sb_combined_med_10,0.002735245
pra_combined_med_3,0.0027351484
tov_med_20,0.0027213413
blk_log_streak,0.0027202128
ftm_avg_5,0.0027195106
ra_combined_avg_5,0.002717943
fgm_med_3,0.002704409
min_med_3,0.0026944915
reb_ewm,0.0026866528
ast_consistency,0.002684245
fga_avg_20,0.0026740464
fga_med_5,0.0026576116
fta_avg_3,0.0026458867
ast_streak,0.0026422448
blk_log_consistency,0.0026415903
stl_log_avg_5,0.002636584
fgm_consistency,0.0026283353
plus_minus_avg_20,0.0026023085
pra_combined_avg_3,0.0026022603
pts_streak,0.002601997
fg3a_avg_5,0.0025964312
min_avg_10,0.0025886765
fg3m_avg_5,0.0025825487
ra_combined_consistency,0.0025576064
fta_consistency,0.002547373
fgm_med_20,0.0025450252
blk_med_20,0.0025339343
fg3m_ewm,0.00250702
stl_log_streak,0.0024947706
pra_combined_streak,0.0024933596
min_streak,0.0024917328
ra_combined_med_20,0.0024759404
pts_consistency,0.0024748577
fta_med_3,0.0024653533
stl_streak,0.0024512322
sb_combined_avg_10,0.0024492154
blk_log_ewm,0.0024473055
ftm_consistency,0.0024447676
min_avg_20,0.0024429287
fg3a_avg_20,0.0024426917
sb_combined_streak,0.0024356279
min_med_10,0.0024355643
stl_log_avg_20,0.002432605
pts_med_10,0.0024263812
fta_streak,0.0024230182
fg3m_avg_20,0.0024168063
fg3a_med_10,0.0024071564
