feature,importance
pa_combined_avg_10,0.34421256
pa_combined_med_20,0.2003161
pa_combined_avg_20,0.120102726
pa_combined_avg_5,0.038615003
fga_med_20,0.027985005
fga_avg_3,0.0066989847
pts_ewm,0.0065228296
pa_combined_avg_3,0.0063610696
min_avg_3,0.006151154
fga_avg_5,0.005610362
pra_combined_avg_20,0.0054711467
pa_combined_med_3,0.0048078992
fga_ewm,0.0038596746
fga_med_3,0.0031696127
fgm_ewm,0.0031667005
min_med_3,0.0031268294
ftm_ewm,0.002171437
pra_combined_avg_3,0.0021617473
pra_combined_med_20,0.0021188941
pra_combined_avg_10,0.0021042398
days_rest,0.0020375939
fga_avg_20,0.0019936278
pra_combined_avg_5,0.0019492239
ast_ewm,0.0019329176
min_ewm,0.001895647
ra_combined_avg_5,0.0017679079
ast_avg_3,0.0017656313
fga_med_10,0.0017273384
tov_ewm,0.0017202816
ast_avg_10,0.0017139199
ra_combined_med_5,0.0016005703
ast_avg_5,0.0015721442
ftm_med_20,0.0014976651
ra_combined_avg_3,0.0014871607
pr_combined_med_20,0.0014536391
blk_med_3,0.00145083
ast_avg_20,0.0014429421
pra_combined_med_10,0.0014142175
min_avg_5,0.0014066084
min_med_10,0.0013981289
ftm_med_3,0.0013816311
fgm_med_3,0.0013795629
fta_ewm,0.0013606527
tov_avg_10,0.001360105
tov_avg_3,0.0013541774
pts_med_20,0.0013462591
min_consistency,0.0013291187
fta_avg_5,0.0013288783
tov_med_3,0.0013156254
tov_avg_5,0.0013095622
ra_combined_med_20,0.0013061572
ra_combined_med_3,0.0012995967
fta_avg_3,0.0012933621
ftm_avg_20,0.0012823398
fga_avg_10,0.0012782067
fta_consistency,0.0012752988
ftm_avg_5,0.0012706203
pr_combined_med_10,0.0012662472
ftm_avg_3,0.001257037
sb_combined_med_20,0.001242842
tov_med_10,0.0012263609
ast_med_10,0.0012168977
fta_avg_20,0.001211992
ast_med_20,0.0012004029
stl_consistency,0.001159118
fta_avg_10,0.0011559792
fta_med_3,0.0011493994
stl_med_10,0.0011457192
ast_med_3,0.0011271973
sb_combined_med_5,0.001123625
pa_combined_med_10,0.0011199181
fg3m_med_3,0.0011098275
ast_med_5,0.0011097251
blk_log_avg_3,0.0011078594
plus_minus_med_5,0.0010960461
min_streak,0.0010874005
min_avg_10,0.0010809588
plus_minus_ewm,0.00107688
blk_avg_10,0.0010742295
pts_avg_20,0.001073465
tov_med_20,0.0010697524
ra_combined_streak,0.0010604415
stl_streak,0.0010598606
exp_poss,0.001058822
stl_log_med_10,0.0010576108
pa_combined_streak,0.0010475196
min_med_5,0.0010395155
blk_log_avg_20,0.0010338207
pts_med_10,0.0010310787
stl_log_med_5,0.0010244683
ast_consistency,0.0010203406
ra_combined_avg_20,0.0010199182
tov_avg_20,0.0010189003
fta_med_5,0.0010185351
fgm_consistency,0.0010129514
fta_med_10,0.0010097171
fga_med_5,0.0009958084
fga_consistency,0.0009911283
fg3m_med_10,0.000989349
ra_combined_consistency,0.0009856807
fg3m_avg_10,0.0009793331
fga_streak,0.0009792879
stl_med_20,0.00097457686
sb_combined_med_10,0.0009739713
fg3a_med_10,0.00096986303
tov_med_5,0.00096705573
is_home,0.00096661894
pr_combined_avg_3,0.00096223823
ftm_med_10,0.0009597443
reb_streak,0.00095677254
plus_minus_med_10,0.00095631444
pts_avg_10,0.00095585064
pr_combined_avg_20,0.00094837067
pra_combined_med_5,0.00094573625
fg3a_med_20,0.0009447748
pra_combined_med_3,0.0009432102
fg3m_consistency,0.00094096817
fg3m_avg_3,0.00093979813
reb_ewm,0.0009386844
fg3a_med_5,0.0009360354
min_avg_20,0.00093152846
blk_log_consistency,0.0009295826
pr_combined_streak,0.00092704594
pr_combined_med_5,0.0009261348
ftm_streak,0.00092598377
fg3a_med_3,0.00092467206
blk_ewm,0.0009243165
blk_consistency,0.000922857
b2b,0.0009227636
reb_med_3,0.000920327
ftm_consistency,0.00091906666
stl_log_consistency,0.0009189129
fg3m_streak,0.00091794645
pts_med_3,0.00091627
