feature,importance
pra_combined_avg_10,0.42781356
pra_combined_avg_20,0.1500399
pra_combined_med_20,0.08463792
pra_combined_avg_5,0.0609275
pra_combined_avg_3,0.013207061
min_avg_3,0.0083298
fgm_ewm,0.008179983
pr_combined_avg_20,0.005092442
pr_combined_med_20,0.004309786
pra_combined_med_5,0.0035730565
pra_combined_med_3,0.003411332
fga_avg_5,0.0034074376
fga_avg_3,0.0033762
min_med_3,0.0032920346
pra_combined_med_10,0.0032133036
fga_med_3,0.003073914
pts_ewm,0.002909157
pa_combined_med_3,0.002620423
fga_ewm,0.0024208203
fta_ewm,0.0022618622
days_rest,0.0021702228
ra_combined_avg_3,0.0021302996
pa_combined_avg_3,0.0020022132
ftm_ewm,0.0019837264
pr_combined_avg_3,0.0018169746
min_ewm,0.0017706373
tov_ewm,0.0017508565
fta_med_20,0.0016750921
reb_ewm,0.001633695
ra_combined_avg_10,0.0016254032
ra_combined_avg_5,0.0016117422
ra_combined_med_3,0.0015569546
ftm_avg_5,0.0015427558
fga_med_20,0.0015058349
ra_combined_avg_20,0.0014870255
ra_combined_med_5,0.0014620029
stl_med_3,0.0014590077
fgm_avg_20,0.0014513427
tov_avg_10,0.001388406
fg3a_med_10,0.0013633354
fga_med_10,0.0013339544
fta_med_3,0.0013319362
ast_avg_10,0.0013305319
fgm_avg_3,0.0013273371
tov_avg_3,0.001319397
tov_avg_5,0.001310157
ra_combined_med_20,0.001294736
blk_med_10,0.0012785959
blk_log_ewm,0.0012743676
ast_ewm,0.0012656724
is_home,0.0012526207
min_med_10,0.0012377735
ast_avg_20,0.0012268906
fga_avg_20,0.0012214382
pa_combined_med_20,0.0012198002
pa_combined_avg_20,0.0012138522
fgm_med_10,0.0012054619
fgm_med_3,0.0012047642
min_med_20,0.0011935926
reb_med_10,0.0011898989
four_in_six,0.0011898783
ra_combined_med_10,0.0011857114
pts_med_3,0.0011841705
pr_combined_med_10,0.0011767382
fg3m_avg_10,0.0011763215
min_streak,0.0011745202
blk_avg_10,0.0011655285
reb_avg_5,0.001164129
fg3m_avg_5,0.0011610291
reb_avg_20,0.0011607492
stl_med_10,0.001158135
ftm_avg_3,0.0011540019
fta_avg_5,0.0011527459
stl_log_med_10,0.0011413668
fga_med_5,0.0011338259
fgm_consistency,0.0011299418
pr_combined_med_3,0.0011173278
tov_med_20,0.0011053957
fg3m_med_3,0.0011036489
stl_med_20,0.0010908699
fgm_streak,0.0010901424
min_consistency,0.0010866085
tov_avg_20,0.0010660265
fga_streak,0.0010647533
pa_combined_avg_10,0.001045334
fta_avg_3,0.0010420498
ra_combined_consistency,0.0010367753
ftm_avg_20,0.0010351932
ra_combined_streak,0.0010343764
fgm_med_20,0.0010277056
stl_consistency,0.0010268117
fta_avg_20,0.0010235823
min_med_5,0.0010214997
stl_ewm,0.0010139981
min_avg_10,0.00101148
blk_log_med_10,0.0010072241
fg3a_med_20,0.0010048128
reb_consistency,0.0010042442
pr_combined_streak,0.0009989794
plus_minus_med_5,0.0009969648
stl_log_avg_20,0.0009965043
ast_med_10,0.0009960699
blk_avg_20,0.0009921623
ast_med_3,0.0009894371
fg3m_consistency,0.0009867223
pts_med_10,0.0009844935
sb_combined_avg_20,0.0009844728
pra_combined_streak,0.0009834178
fg3m_med_5,0.0009645085
blk_consistency,0.00096172973
stl_log_consistency,0.00096163107
pr_combined_consistency,0.00095875363
blk_ewm,0.0009535576
blk_avg_5,0.00095345837
plus_minus_avg_20,0.000946359
plus_minus_med_3,0.0009452408
tov_consistency,0.00093764614
pr_combined_avg_10,0.0009365827
blk_log_avg_20,0.0009363022
pts_avg_10,0.0009322939
plus_minus_ewm,0.0009299651
plus_minus_avg_3,0.00092313404
stl_log_med_5,0.00092154037
min_avg_20,0.00091354206
fg3m_med_10,0.0009092068
stl_log_streak,0.000908502
fg3m_ewm,0.00090807164
pts_avg_20,0.00090607716
fg3m_streak,0.0009050405
min_avg_5,0.0009050377
b2b,0.0009038132
ast_avg_3,0.0009016698
blk_log_avg_3,0.0008980769
ast_streak,0.0008966173
ftm_consistency,0.0008933206
ftm_med_20,0.00089297915
ast_avg_5,0.0008918901
pts_med_5,0.00089147873
tov_streak,0.0008908396
ftm_med_3,0.00089012535
ast_consistency,0.00088440144
tov_med_3,0.0008827102
fg3a_avg_20,0.00088197965
plus_minus_streak,0.00087926886
exp_poss,0.000877705
fta_med_10,0.0008776587
ftm_med_10,0.0008734408
ftm_avg_10,0.0008728635
fg3m_avg_20,0.000866713
fga_consistency,0.0008666101
pr_combined_med_5,0.0008657731
stl_log_ewm,0.0008647485
reb_streak,0.00086203765
pa_combined_avg_5,0.0008606725
ftm_med_5,0.0008586452
sb_combined_med_5,0.0008540975
reb_avg_10,0.00085022824
pa_combined_streak,0.00084799534
pts_med_20,0.00084589305
fgm_avg_10,0.00084579247
pra_combined_consistency,0.0008407431
stl_avg_5,0.00083928957
blk_log_consistency,0.0008366226
blk_log_avg_10,0.0008353898
fta_streak,0.0008341612
fg3m_avg_3,0.00083173503
reb_avg_3,0.0008306231
pts_streak,0.0008299922
sb_combined_streak,0.0008298879
sb_combined_avg_3,0.00082744483
pa_combined_consistency,0.0008271434
plus_minus_med_20,0.0008230292
stl_streak,0.000821927
fg3a_avg_10,0.0008214137
fta_avg_10,0.0008206793
fga_avg_10,0.0008200539
pr_combined_avg_5,0.0008149384
stl_log_avg_3,0.0008141436
tov_med_5,0.0008101418
pts_avg_5,0.00079852354
fg3a_avg_3,0.0007938012
sb_combined_avg_10,0.0007893026
fta_med_5,0.0007889223
sb_combined_avg_5,0.0007882623
stl_log_avg_5,0.0007880769
fg3a_avg_5,0.00078388845
pa_combined_med_10,0.0007717355
fg3a_ewm,0.0007706616
blk_med_20,0.00076517614
fgm_med_5,0.00076407223
plus_minus_consistency,0.0007571363
plus_minus_med_10,0.0007559475
sb_combined_consistency,0.00074961234
plus_minus_avg_10,0.00074832694
sb_combined_med_10,0.0007438102
fg3a_streak,0.0007428744
ast_med_20,0.0007357252
blk_streak,0.00073174894
fgm_avg_5,0.00072764285
stl_avg_10,0.0007209609
pts_avg_3,0.0007207734
sb_combined_med_20,0.0007192009
reb_med_5,0.00071755185
fg3a_med_3,0.00071682094
fta_consistency,0.0007159016
fg3a_consistency,0.00071161165
blk_med_5,0.00070413586
sb_combined_med_3,0.00069902005
