feature,importance
pr_combined_avg_10,0.2728104
pr_combined_med_20,0.099318564
pr_combined_avg_20,0.09189648
pra_combined_avg_10,0.04108105
pr_combined_med_10,0.038562227
pra_combined_avg_20,0.027355662
pra_combined_avg_5,0.017070232
pra_combined_med_20,0.01120386
pr_combined_avg_5,0.006370487
fga_ewm,0.0052205585
fga_med_20,0.0049716467
pra_combined_med_10,0.004917243
fgm_avg_5,0.004142535
pr_combined_avg_3,0.0040189885
fgm_ewm,0.0038445296
min_avg_3,0.0037387712
fga_avg_20,0.0037361116
stl_log_med_5,0.0037263888
pa_combined_avg_20,0.0032728538
pts_med_20,0.0030673393
ra_combined_med_20,0.0029386021
exp_poss,0.0029020288
pa_combined_med_3,0.0028566862
fta_avg_20,0.0026513666
pr_combined_med_5,0.0025671762
ftm_avg_20,0.0024755194
fga_avg_5,0.0024559484
pts_ewm,0.0024317934
pra_combined_avg_3,0.002413317
fg3m_med_5,0.002409588
reb_ewm,0.0024041124
blk_log_med_3,0.002358352
ra_combined_avg_3,0.0023026173
fga_avg_3,0.0022892517
pa_combined_avg_3,0.0022548381
fgm_avg_20,0.002233899
blk_med_3,0.0022317756
fg3m_avg_20,0.0022280954
ra_combined_avg_20,0.0022250381
fta_med_10,0.002184238
min_med_3,0.0021833333
blk_log_avg_10,0.0021666288
fta_ewm,0.0021605527
fga_med_3,0.002134772
blk_log_ewm,0.0021288379
fta_avg_3,0.0021158827
ra_combined_avg_5,0.0021146648
sb_combined_med_5,0.0020706514
pra_combined_med_5,0.002067292
fga_med_10,0.002053281
pr_combined_med_3,0.002048851
ftm_ewm,0.0020473667
fg3m_med_10,0.0020439625
sb_combined_med_20,0.0020204268
reb_avg_20,0.0020106235
fg3a_ewm,0.001990771
min_avg_5,0.001990126
pra_combined_streak,0.0019862244
fta_med_5,0.0019794712
min_ewm,0.0019789762
sb_combined_avg_20,0.0019625234
ra_combined_avg_10,0.0019619134
stl_med_10,0.00196
ast_med_20,0.001955993
