feature,importance
pts_avg_10,0.2466985
pts_avg_20,0.23555247
fga_avg_10,0.0722839
fga_avg_20,0.05999104
pts_med_20,0.031800464
pa_combined_avg_10,0.016620444
fga_med_20,0.016289447
fga_avg_5,0.01449906
fga_med_10,0.012466174
pts_ewm,0.011714955
fga_avg_3,0.0076692756
pa_combined_med_3,0.0073498245
pra_combined_avg_3,0.0051771956
pa_combined_avg_5,0.0046364674
min_avg_3,0.0043370943
fgm_ewm,0.0041624047
pr_combined_avg_3,0.003881061
fgm_med_20,0.0033029283
pa_combined_avg_20,0.0029096617
fga_med_3,0.0028990498
pts_avg_5,0.0028101644
min_med_3,0.0026746546
fgm_avg_20,0.0025815167
pa_combined_avg_3,0.0025627294
fta_ewm,0.0025434908
pr_combined_med_20,0.0024423362
ftm_med_20,0.002190885
blk_med_10,0.0021810913
pra_combined_med_3,0.0020318711
pra_combined_avg_20,0.0020164545
pra_combined_avg_5,0.0019771405
days_rest,0.0019525447
fta_med_3,0.0019126221
ftm_avg_20,0.0018983865
pts_med_10,0.0018746166
pr_combined_avg_20,0.0018328347
ftm_ewm,0.0018289695
fta_avg_10,0.0017910945
four_in_six,0.001772363
fga_ewm,0.0017654481
fta_avg_3,0.0017012182
fga_med_5,0.0017003205
ftm_avg_10,0.0016923948
ftm_avg_5,0.0016411232
sb_combined_med_5,0.0016282188
pts_avg_3,0.0016221928
pr_combined_med_10,0.0016042548
fta_avg_20,0.0015928656
pra_combined_med_20,0.0015164858
pts_med_3,0.0015047536
ra_combined_avg_20,0.0014988637
fg3a_med_20,0.001450913
fga_consistency,0.0014397819
fgm_avg_3,0.0014300668
fg3m_med_3,0.00141823
fta_med_5,0.0014163574
pr_combined_avg_5,0.0013737736
ftm_med_5,0.0013633515
min_avg_10,0.0013615962
reb_ewm,0.001343421
ftm_avg_3,0.0013320744
pa_combined_med_5,0.0013109533
fta_avg_5,0.001307969
pr_combined_med_3,0.0013044316
sb_combined_med_20,0.001303402
min_ewm,0.0012958971
tov_avg_5,0.0012939267
min_consistency,0.0012870673
blk_avg_20,0.0012719086
ast_avg_10,0.0012624002
reb_med_10,0.001237723
fg3a_med_10,0.0012347761
pa_combined_med_10,0.0012333883
fta_consistency,0.0012310204
tov_med_10,0.0012293684
blk_log_ewm,0.0012273923
pra_combined_med_5,0.0012089676
fg3m_streak,0.001200758
stl_med_10,0.0011994118
pra_combined_med_10,0.0011920643
blk_med_20,0.001190849
blk_log_med_20,0.0011880958
fg3m_med_10,0.0011811561
pa_combined_med_20,0.0011764691
ra_combined_med_3,0.0011737042
stl_log_consistency,0.0011717794
fgm_med_10,0.001160468
plus_minus_med_10,0.0011518338
exp_poss,0.0011485342
pr_combined_med_5,0.001145686
tov_avg_10,0.0011426501
pts_med_5,0.0011346044
min_med_20,0.001134107
min_med_5,0.0011239894
sb_combined_avg_20,0.0011214216
min_avg_20,0.0011166089
ftm_consistency,0.0011164444
fg3a_ewm,0.0011151264
blk_log_avg_5,0.001110733
ra_combined_avg_3,0.001106441
stl_log_streak,0.0011064175
plus_minus_avg_20,0.0011025791
fg3m_avg_20,0.0011021013
pra_combined_consistency,0.0011010806
pa_combined_streak,0.0011005646
plus_minus_streak,0.0010964016
plus_minus_med_3,0.0010918365
tov_streak,0.0010907159
pr_combined_consistency,0.0010895536
min_streak,0.0010869615
min_avg_5,0.00108416
sb_combined_streak,0.0010738681
fgm_avg_10,0.0010737495
ast_consistency,0.0010736713
ra_combined_consistency,0.0010704466
tov_ewm,0.001056285
pts_streak,0.0010546541
plus_minus_avg_3,0.0010518809
ra_combined_med_20,0.0010484334
fgm_streak,0.0010424408
plus_minus_avg_10,0.0010302197
plus_minus_ewm,0.0010301493
stl_streak,0.0010270972
stl_log_med_10,0.0010264636
fga_streak,0.0010243616
fg3a_avg_20,0.0010188662
stl_consistency,0.0010180572
pr_combined_streak,0.0010170764
fgm_consistency,0.0010146418
fg3a_med_5,0.0010141418
stl_avg_20,0.0010126778
plus_minus_consistency,0.0010115069
blk_log_consistency,0.0010114739
stl_log_ewm,0.0010100413
fta_med_10,0.0010060299
fta_med_20,0.0010019435
ast_ewm,0.0010012094
min_med_10,0.0010003124
fta_streak,0.0009999251
tov_med_3,0.0009983458
ftm_med_3,0.0009982152
fgm_med_5,0.000997238
reb_avg_10,0.0009970897
fg3m_avg_3,0.0009970238
ftm_med_10,0.0009958477
pra_combined_streak,0.0009943037
pr_combined_avg_10,0.0009917046
fg3m_ewm,0.0009904088
blk_ewm,0.000987919
tov_consistency,0.00097356504
ra_combined_avg_10,0.0009695446
pa_combined_consistency,0.00096867076
blk_streak,0.00096692063
fg3a_avg_3,0.00095524633
reb_avg_20,0.000953872
fg3a_streak,0.0009518997
blk_log_avg_10,0.000951159
b2b,0.00095012813
blk_med_3,0.00094304373
stl_med_5,0.00094297
fg3a_avg_5,0.00093511824
stl_log_avg_5,0.0009312024
blk_log_streak,0.00093023805
plus_minus_med_20,0.0009284545
is_home,0.00092820294
pts_consistency,0.0009197219
sb_combined_med_10,0.00091948675
reb_streak,0.00091695454
sb_combined_avg_5,0.0009163277
tov_avg_3,0.00091552216
stl_ewm,0.0009143535
stl_log_avg_10,0.0009142576
stl_log_avg_3,0.0009133519
reb_consistency,0.0009126807
ast_streak,0.000908109
ftm_streak,0.0009055917
stl_log_avg_20,0.0009049416
stl_avg_10,0.0009028703
tov_med_20,0.00089801033
ra_combined_streak,0.0008877381
ra_combined_med_10,0.00088575995
fg3a_avg_10,0.00088371144
fg3m_consistency,0.0008747482
fg3m_avg_5,0.0008732513
ast_med_20,0.000871858
blk_consistency,0.00086916407
tov_avg_20,0.00086368533
fg3a_med_3,0.00086310913
ast_avg_20,0.000858395
reb_avg_5,0.0008483852
fg3a_consistency,0.0008425413
blk_avg_10,0.00084213674
ast_med_5,0.00084203953
blk_med_5,0.00083956495
reb_med_3,0.00083572534
tov_med_5,0.000831785
plus_minus_med_5,0.00082989084
fg3m_avg_10,0.00082650845
plus_minus_avg_5,0.00081311906
fgm_med_3,0.0008123573
ra_combined_med_5,0.000809225
sb_combined_avg_10,0.0008070228
ast_med_10,0.0008037026
fg3m_med_5,0.0007877164
sb_combined_consistency,0.0007857709
ast_med_3,0.000780897
reb_med_20,0.0007800052
fgm_avg_5,0.00076626614
sb_combined_avg_3,0.0007610882
ra_combined_avg_5,0.0007562773
blk_log_med_10,0.0007439277
ast_avg_5,0.0006923891
ast_avg_3,0.0006866977
blk_log_avg_20,0.00068390404
blk_log_avg_3,0.0006689215
reb_med_5,0.0006637672
reb_avg_3,0.0006389785
stl_med_3,0.0006313116
fg3m_med_20,0.0006246833
pra_combined_avg_10,0.00061878795
stl_avg_5,0.00061514607
stl_avg_3,0.00057136436
blk_avg_5,0.00054956955
blk_avg_3,0.00053660397
stl_med_20,0.00045645653
stl_log_med_20,0.0004496405
sb_combined_med_3,0.00041142755
stl_log_med_3,0.0
blk_log_med_3,0.0
blk_log_med_5,0.0
stl_log_med_5,0.0
