feature,importance
ra_combined_avg_10,0.3309231
ra_combined_avg_20,0.1524431
ra_combined_med_10,0.039002918
ra_combined_med_20,0.03161225
ra_combined_avg_5,0.02443082
pra_combined_avg_3,0.013508011
ra_combined_avg_3,0.010179528
min_avg_3,0.008740567
ra_combined_med_3,0.007217201
min_med_3,0.004551364
pr_combined_avg_3,0.004295992
ra_combined_med_5,0.004143229
reb_ewm,0.0035821348
days_rest,0.0035088703
pra_combined_med_20,0.0031218403
pr_combined_med_3,0.0030978085
pra_combined_med_3,0.003081261
min_streak,0.003008312
pa_combined_avg_3,0.0029296027
tov_ewm,0.0028653785
fgm_med_3,0.0028524455
ftm_avg_20,0.0027430698
ftm_med_20,0.0026980073
fg3a_med_5,0.002669756
tov_avg_10,0.002623738
ast_ewm,0.002618781
pra_combined_streak,0.0025873394
blk_log_ewm,0.0025786748
four_in_six,0.0024917421
fga_med_3,0.0024892627
fg3m_med_3,0.0024354386
fta_med_10,0.0024019005
pr_combined_streak,0.0023931367
fgm_streak,0.002382776
pr_combined_avg_20,0.0023188195
sb_combined_avg_20,0.0023070932
pts_med_3,0.0022947688
fgm_ewm,0.0022816758
pa_combined_med_3,0.0022557476
exp_poss,0.002247404
tov_avg_3,0.0022342943
fgm_med_10,0.0022188937
fta_med_20,0.0021903988
fga_med_10,0.0021798415
fg3m_ewm,0.0021765372
fg3a_avg_10,0.0021608346
fg3m_avg_20,0.002154547
ast_avg_20,0.0021543803
pts_ewm,0.0021383537
pa_combined_streak,0.0021318826
pra_combined_med_5,0.0021264362
fgm_avg_3,0.002122669
ftm_ewm,0.0021116852
min_ewm,0.0021022193
ast_med_5,0.0020905286
min_avg_20,0.0020898387
fta_ewm,0.0020851132
blk_ewm,0.002071267
pra_combined_avg_10,0.002054143
pra_combined_consistency,0.0020519372
ftm_med_5,0.0020417916
pra_combined_avg_5,0.002031759
fg3a_avg_20,0.0020167765
pr_combined_med_10,0.0020030253
fta_med_5,0.002000455
ast_avg_5,0.0019880875
blk_med_5,0.0019726215
fg3a_med_10,0.0019720006
min_consistency,0.001965312
tov_med_20,0.001945828
tov_streak,0.0019412792
fta_avg_5,0.0019394443
pts_avg_10,0.0019356551
pa_combined_med_10,0.0019325544
pts_med_20,0.0019227061
fga_ewm,0.0019104271
fta_avg_10,0.0019072501
fgm_med_5,0.0018959657
blk_log_med_10,0.0018680275
stl_log_avg_20,0.0018634279
blk_avg_20,0.0018613841
sb_combined_consistency,0.0018584416
fga_avg_3,0.0018523254
pts_avg_20,0.0018363206
min_med_10,0.0018354387
pts_med_10,0.0018339342
blk_log_avg_3,0.0018212174
reb_avg_20,0.0018104797
ast_avg_10,0.0018074489
blk_log_avg_20,0.0018064496
blk_log_avg_10,0.0018044525
plus_minus_ewm,0.0018012857
min_med_5,0.0017955438
fg3a_ewm,0.0017931336
stl_log_ewm,0.0017812474
b2b,0.0017742264
blk_med_20,0.001768771
blk_med_10,0.0017681292
pra_combined_med_10,0.0017589142
pa_combined_med_20,0.0017560428
stl_ewm,0.0017519667
tov_med_5,0.0017484128
fga_med_5,0.0017449588
fga_avg_10,0.0017404994
pr_combined_med_20,0.0017382831
min_med_20,0.0017338042
fg3a_avg_5,0.0017309514
is_home,0.0017242093
pr_combined_avg_5,0.0017177146
fgm_avg_20,0.0017149877
tov_avg_20,0.0017083798
blk_log_avg_5,0.0017079809
pr_combined_avg_10,0.0016995168
reb_consistency,0.0016985286
fg3a_med_20,0.0016756575
stl_med_20,0.0016640258
fgm_consistency,0.0016625687
fga_streak,0.0016586756
pr_combined_med_5,0.0016583347
blk_avg_10,0.0016565319
sb_combined_avg_3,0.001654874
stl_consistency,0.0016517438
stl_avg_10,0.0016500978
reb_med_5,0.0016441584
min_avg_10,0.0016400542
pa_combined_avg_5,0.0016358274
plus_minus_med_3,0.0016352767
reb_avg_10,0.0016334655
stl_log_consistency,0.0016285954
plus_minus_med_5,0.0016200024
ast_consistency,0.0016017825
ra_combined_consistency,0.0015884599
fta_avg_20,0.0015757491
plus_minus_med_10,0.0015717192
reb_med_10,0.0015668215
blk_log_consistency,0.0015613021
pts_streak,0.0015612497
plus_minus_avg_10,0.0015570414
plus_minus_streak,0.0015429573
reb_avg_3,0.0015379752
sb_combined_streak,0.0015343544
sb_combined_avg_10,0.0015330821
stl_med_5,0.0015328228
fg3a_med_3,0.0015306048
ast_med_20,0.0015304661
fg3a_streak,0.0015222027
ftm_streak,0.00152108
reb_avg_5,0.0015183784
fgm_avg_5,0.0015095241
ast_avg_3,0.001509318
sb_combined_med_5,0.0015016426
tov_avg_5,0.001490142
fg3m_streak,0.0014801471
ast_streak,0.0014784966
fga_consistency,0.0014763257
fgm_avg_10,0.0014652039
sb_combined_avg_5,0.0014642312
tov_consistency,0.0014623692
reb_med_20,0.0014598254
stl_log_streak,0.0014592704
stl_med_3,0.0014530297
ast_med_10,0.0014476152
blk_streak,0.0014428624
plus_minus_avg_5,0.0014341888
plus_minus_avg_3,0.0014334715
pa_combined_avg_10,0.0014313837
pra_combined_avg_20,0.0014302747
fga_med_20,0.0014301173
fg3m_avg_10,0.0014276112
stl_med_10,0.0014259727
fg3m_consistency,0.0014254848
ftm_avg_10,0.0014189609
pa_combined_avg_20,0.0014158515
min_avg_5,0.0014158259
stl_log_avg_5,0.0014120103
fg3a_avg_3,0.0014091325
pa_combined_med_5,0.0014075036
blk_log_streak,0.0014015714
fta_streak,0.0013967437
pts_consistency,0.0013758863
stl_log_med_5,0.0013731562
pr_combined_consistency,0.0013663113
pts_avg_3,0.0013647794
plus_minus_med_20,0.0013615899
ra_combined_streak,0.0013469588
blk_avg_5,0.0013438753
fta_consistency,0.0013397322
ftm_avg_3,0.0013394933
reb_streak,0.0013343567
plus_minus_avg_20,0.0013333651
sb_combined_med_3,0.0013302618
fg3a_consistency,0.0013279928
pa_combined_consistency,0.001321882
fta_avg_3,0.0013198234
sb_combined_med_10,0.0013011375
reb_med_3,0.0012950099
stl_avg_20,0.0012847957
plus_minus_consistency,0.0012842279
pts_avg_5,0.0012731213
ftm_med_3,0.001268321
ftm_consistency,0.0012343246
ast_med_3,0.0012288463
stl_log_avg_3,0.0012266565
fga_avg_20,0.0011966288
stl_log_avg_10,0.0011949042
stl_streak,0.0011905407
ftm_avg_5,0.0011893105
stl_avg_5,0.0011802309
tov_med_3,0.0011570515
blk_consistency,0.0011535494
fg3m_avg_5,0.0011478622
tov_med_10,0.001077854
fga_avg_5,0.0010744178
ftm_med_10,0.0010670621
pts_med_5,0.0010551874
fg3m_avg_3,0.001039724
fta_med_3,0.0009936476
fg3m_med_10,0.0009805713
sb_combined_med_20,0.0009349217
fgm_med_20,0.0009043089
blk_avg_3,0.0008573572
fg3m_med_20,0.0008173484
stl_avg_3,0.0007039273
fg3m_med_5,0.0005331484
stl_log_med_10,0.0
blk_med_3,0.0
blk_log_med_20,0.0
stl_log_med_3,0.0
blk_log_med_5,0.0
blk_log_med_3,0.0
stl_log_med_20,0.0
