feature,importance
reb_avg_20,0.2973017
reb_avg_10,0.1004806
reb_ewm,0.052754447
reb_avg_5,0.011154445
pr_combined_avg_3,0.007318815
reb_med_20,0.006732509
reb_med_10,0.006670775
pra_combined_avg_20,0.0055436264
min_avg_3,0.005469012
reb_avg_3,0.0049255146
min_consistency,0.004883755
min_med_3,0.0046006064
min_streak,0.0045493827
pra_combined_avg_3,0.004336431
pr_combined_streak,0.004329143
min_med_10,0.004264189
exp_poss,0.004242048
ra_combined_avg_20,0.004225392
blk_log_med_5,0.0041609937
pra_combined_med_20,0.004127366
fg3a_med_5,0.0037965332
four_in_six,0.0036982894
stl_med_5,0.003607619
ra_combined_avg_3,0.0036031208
days_rest,0.0035033491
pa_combined_avg_10,0.003468325
fga_med_20,0.003373769
blk_log_consistency,0.0033667632
pra_combined_avg_5,0.0033376156
pra_combined_med_3,0.0033174453
min_med_20,0.0032106508
fgm_avg_3,0.0032086119
pra_combined_streak,0.003187706
fg3m_avg_5,0.0031451224
fg3a_ewm,0.0030449335
fg3m_ewm,0.0030284268
stl_log_med_10,0.0030252524
blk_ewm,0.0030200488
fta_ewm,0.002991916
fgm_med_10,0.0029220225
ra_combined_streak,0.0029158276
blk_med_10,0.0028871484
blk_med_5,0.0028739867
pts_med_3,0.0028544578
min_ewm,0.0028494543
ast_avg_20,0.0028329906
ftm_med_5,0.0028187537
fg3a_avg_10,0.0028066179
blk_log_avg_20,0.0027886138
fga_avg_20,0.0027746737
fg3a_med_10,0.002760718
fta_med_10,0.00275707
blk_log_ewm,0.0027495085
fg3m_avg_20,0.0027398928
min_med_5,0.0027378122
fg3a_med_3,0.00273069
fta_med_5,0.002721406
blk_log_avg_3,0.0027174742
pr_combined_med_10,0.0027062818
pa_combined_consistency,0.002705736
blk_log_avg_5,0.0026947567
pts_ewm,0.0026903283
fg3m_med_10,0.0026898177
min_avg_20,0.0026803815
fga_med_10,0.002675169
ast_med_10,0.0026616785
fga_avg_10,0.0026328256
ra_combined_consistency,0.002617841
ftm_consistency,0.002612205
ra_combined_avg_5,0.0026003032
ftm_med_20,0.00259722
pra_combined_med_10,0.002595176
stl_log_avg_3,0.002589132
fgm_streak,0.0025806262
blk_avg_20,0.002569378
sb_combined_avg_10,0.002559843
sb_combined_med_20,0.0025460154
pr_combined_med_20,0.0025359814
pr_combined_avg_5,0.0025243817
pa_combined_med_3,0.0025200595
fgm_avg_5,0.0025128534
pr_combined_med_5,0.002504014
pa_combined_streak,0.0024887738
ftm_ewm,0.0024812673
min_avg_10,0.002453729
pa_combined_avg_5,0.002440072
blk_consistency,0.0024389452
pa_combined_med_20,0.0024017196
fgm_med_3,0.0023974024
pra_combined_consistency,0.002381843
reb_consistency,0.002359948
fta_consistency,0.002356826
stl_log_avg_20,0.0023468232
fta_avg_20,0.0023441345
reb_med_3,0.0023425024
plus_minus_avg_10,0.0023401831
pr_combined_consistency,0.0023344916
reb_streak,0.0023318531
pts_med_5,0.0023212852
fg3m_med_5,0.0023163075
ftm_med_10,0.0023045375
fg3a_avg_20,0.0022911509
fg3a_avg_5,0.0022898784
ra_combined_med_10,0.0022819326
tov_ewm,0.002280586
stl_med_3,0.0022631926
