feature,importance
sb_combined_avg_20,0.12086934
sb_combined_avg_10,0.080749385
sb_combined_med_20,0.036945656
ra_combined_avg_3,0.024835892
ra_combined_avg_10,0.011650263
min_avg_3,0.011419176
pra_combined_avg_3,0.010213827
blk_ewm,0.00977336
pra_combined_med_3,0.009260696
min_med_3,0.008749814
blk_log_ewm,0.008121451
ra_combined_avg_20,0.007384762
blk_avg_20,0.0066114203
tov_ewm,0.006604131
blk_avg_10,0.005880282
min_avg_5,0.0058182613
ra_combined_med_3,0.0058166417
sb_combined_avg_3,0.0056950026
reb_med_3,0.0055999034
blk_avg_5,0.0053871814
tov_avg_20,0.0053175488
exp_poss,0.0052358154
ra_combined_avg_5,0.0052304934
stl_ewm,0.005187827
fg3a_ewm,0.004828791
fg3a_med_3,0.0048026657
pr_combined_med_20,0.004736111
blk_med_20,0.0046839667
four_in_six,0.0046331873
stl_log_ewm,0.0046303887
fgm_avg_20,0.004624201
pts_ewm,0.00462319
ra_combined_med_20,0.004375367
pts_med_5,0.00432038
fta_med_10,0.0042547504
blk_log_med_20,0.0041869464
min_med_20,0.0041451543
sb_combined_avg_5,0.0040588807
pra_combined_avg_20,0.004023237
min_med_5,0.0040230276
pr_combined_avg_20,0.0040222076
pa_combined_avg_5,0.0040054573
fgm_med_5,0.003982215
blk_med_10,0.0039680945
fga_avg_20,0.0039276117
pts_med_20,0.0038923789
pr_combined_med_3,0.0038261444
fgm_med_20,0.0037111498
min_consistency,0.0036390668
blk_log_avg_5,0.0036035648
min_med_10,0.0035527346
ftm_ewm,0.0035366896
pa_combined_consistency,0.0035355848
pts_consistency,0.0035309766
fga_ewm,0.0035308795
fg3m_avg_20,0.0035222773
fta_med_20,0.0035058805
pra_combined_med_5,0.0034453562
reb_avg_20,0.0034395384
reb_med_10,0.0034276189
pr_combined_avg_3,0.0034034562
fga_streak,0.003388056
plus_minus_ewm,0.003376575
blk_avg_3,0.0033570596
fga_avg_10,0.0033278482
tov_avg_10,0.0033258037
blk_log_avg_3,0.0033232057
ftm_med_10,0.0033110804
pr_combined_streak,0.0032937333
fgm_med_3,0.003277067
pts_med_3,0.0032273105
sb_combined_streak,0.003215824
tov_med_10,0.0032069013
pr_combined_avg_5,0.0032049757
fg3m_streak,0.0031994882
fgm_ewm,0.0031990744
pra_combined_consistency,0.003186264
sb_combined_med_10,0.0031819143
fgm_avg_5,0.0031753269
blk_med_3,0.0031326264
