feature,importance
stl_ewm,0.06855309
stl_log_ewm,0.050710533
min_avg_3,0.030893559
stl_avg_20,0.014741336
min_med_3,0.011845
exp_poss,0.009897137
min_med_10,0.007607067
ra_combined_avg_5,0.0074379495
stl_log_avg_10,0.0074334336
four_in_six,0.0070506125
min_avg_5,0.00675281
stl_log_avg_20,0.0067308736
min_avg_20,0.006157872
stl_avg_10,0.005994355
stl_log_avg_3,0.005916098
min_med_20,0.005781152
fg3m_med_10,0.0056467396
fgm_ewm,0.0055823736
min_avg_10,0.005517594
min_consistency,0.005214369
pra_combined_avg_5,0.005132671
min_ewm,0.0051211067
min_med_5,0.005021882
blk_med_5,0.0049933614
ra_combined_avg_10,0.0049774223
ast_avg_10,0.004975866
blk_log_avg_5,0.0049419105
pra_combined_streak,0.0049238
pr_combined_avg_10,0.004846327
ast_avg_20,0.0048447144
sb_combined_avg_10,0.0047620046
ast_med_10,0.004750165
ra_combined_avg_20,0.00470071
tov_avg_10,0.0046872552
fg3m_avg_20,0.0046461704
blk_log_streak,0.004609456
pra_combined_avg_3,0.0045556333
fga_med_3,0.0045545055
pra_combined_avg_10,0.0045217145
stl_consistency,0.0045005577
stl_log_consistency,0.0044958456
blk_log_consistency,0.0044489806
blk_consistency,0.0044140886
pa_combined_avg_10,0.00438514
blk_log_ewm,0.0043848422
b2b,0.0043341233
reb_med_5,0.0043327594
reb_consistency,0.00432112
stl_log_avg_5,0.0042943424
tov_med_3,0.00429148
fg3a_consistency,0.004278054
min_streak,0.0042650574
fga_avg_3,0.0042613037
stl_med_10,0.004238519
ra_combined_consistency,0.0042082756
fta_ewm,0.0042033154
fg3m_streak,0.0041962145
pa_combined_consistency,0.004186509
pr_combined_consistency,0.004184717
pa_combined_avg_5,0.0041822437
fga_med_20,0.0041426485
fgm_streak,0.0041066217
pra_combined_consistency,0.004090502
fg3m_consistency,0.0040837494
blk_ewm,0.0040713423
ast_consistency,0.004064177
ftm_med_10,0.004060331
blk_log_avg_20,0.0040573436
sb_combined_consistency,0.004047386
fga_consistency,0.0040421584
stl_log_med_10,0.0040282924
sb_combined_avg_20,0.0040195473
fg3m_ewm,0.0039842376
reb_ewm,0.0039810124
stl_med_20,0.003959081
pts_ewm,0.0039536804
pa_combined_avg_20,0.0039458293
pr_combined_med_3,0.003932641
pr_combined_med_10,0.003928597
fga_avg_5,0.003926299
ast_med_20,0.003906969
stl_med_5,0.0039028313
pa_combined_med_10,0.003859555
fta_consistency,0.0038564522
stl_log_streak,0.0038356027
fg3m_med_20,0.0038245516
stl_log_med_3,0.0038119624
pts_med_10,0.0038059645
pa_combined_avg_3,0.003782655
blk_med_10,0.0037800719
fga_streak,0.0037654915
fta_avg_10,0.0037554805
ast_ewm,0.0037434548
blk_med_3,0.0037426231
pr_combined_med_20,0.0037324196
pts_avg_10,0.0037206458
fg3a_med_3,0.0037192146
fg3m_med_5,0.0037106923
pra_combined_med_5,0.0037067006
pra_combined_med_20,0.0036975523
pra_combined_med_10,0.003693981
pra_combined_med_3,0.0036805356
blk_streak,0.0036753034
tov_med_5,0.0036628614
fga_ewm,0.0036627313
blk_avg_10,0.003662409
plus_minus_med_3,0.0036468767
pr_combined_avg_3,0.0036416184
fgm_med_5,0.0036382247
fta_streak,0.0036167877
pr_combined_med_5,0.0036057706
sb_combined_med_3,0.0035925612
fg3a_streak,0.0035834413
stl_log_med_20,0.0035649785
ftm_avg_20,0.003560045
ra_combined_avg_3,0.0035465576
blk_med_20,0.0035464347
sb_combined_streak,0.003546176
tov_ewm,0.0035437206
plus_minus_ewm,0.0035433439
pr_combined_avg_20,0.0035406223
pa_combined_med_20,0.0035400048
pts_avg_5,0.0035341252
plus_minus_med_20,0.003532515
days_rest,0.00352891
sb_combined_avg_5,0.0035046123
ra_combined_streak,0.0034975475
