feature,importance
tov_avg_20,0.16292518
pa_combined_avg_10,0.0783664
tov_ewm,0.065906875
tov_avg_10,0.03988532
pa_combined_avg_5,0.035536975
pra_combined_avg_5,0.034409795
pra_combined_avg_10,0.022095712
pa_combined_avg_3,0.016333176
pra_combined_avg_3,0.013882419
ra_combined_avg_20,0.006638772
ast_avg_10,0.006624233
ast_med_10,0.006542318
ast_avg_5,0.005969956
pa_combined_med_10,0.005832306
fta_avg_20,0.005115478
fga_avg_3,0.004801047
fta_avg_10,0.0047059124
exp_poss,0.0044699013
tov_avg_5,0.0039217942
fgm_med_5,0.0039083404
ast_avg_20,0.0038538638
ftm_avg_10,0.0038005428
ast_med_3,0.003791867
pra_combined_med_10,0.0037311725
sb_combined_avg_5,0.003719116
ast_avg_3,0.0037095253
pa_combined_med_20,0.003585154
pra_combined_med_20,0.0034781727
four_in_six,0.0034136886
fga_med_5,0.003350637
ast_ewm,0.0033385258
min_avg_10,0.0033342873
ast_med_5,0.0032953313
ftm_med_10,0.0032926959
fg3m_med_20,0.0032554693
fta_avg_5,0.0031931782
fga_avg_10,0.0031524566
ra_combined_avg_10,0.0031358972
ra_combined_med_3,0.0031206904
pra_combined_avg_20,0.0030799373
ftm_avg_5,0.003053997
min_avg_5,0.0030165089
min_consistency,0.0030129128
min_med_3,0.002992763
pa_combined_avg_20,0.0029669355
fga_avg_5,0.0029216653
ra_combined_med_20,0.0029068412
min_avg_20,0.0028914898
pra_combined_consistency,0.0028840355
ra_combined_avg_5,0.0028770885
fga_ewm,0.0028615294
fta_med_5,0.0028529954
pts_avg_10,0.0028331778
ftm_avg_20,0.0028298933
ast_med_20,0.0028023806
pra_combined_med_3,0.0027946942
reb_ewm,0.0027632813
min_avg_3,0.0027549812
reb_avg_20,0.0027367824
blk_avg_20,0.0027187667
ast_consistency,0.0026969253
ra_combined_consistency,0.0026937814
fga_med_10,0.002653923
stl_ewm,0.002642273
tov_med_10,0.002640937
fta_med_10,0.0026317968
pr_combined_avg_5,0.0026270044
fta_avg_3,0.002626318
reb_avg_5,0.002601809
min_med_20,0.0025858849
ftm_med_5,0.002557676
plus_minus_consistency,0.0025521966
days_rest,0.0025430112
reb_streak,0.0025361772
fg3a_med_20,0.002533776
blk_ewm,0.002530739
sb_combined_avg_20,0.0025254518
stl_log_consistency,0.00252504
pra_combined_med_5,0.0025050691
stl_log_med_10,0.002503921
min_med_5,0.0024957345
ftm_ewm,0.0024899165
fg3m_streak,0.0024882914
sb_combined_avg_3,0.0024827216
fgm_med_3,0.0024804787
tov_med_20,0.0024676905
blk_log_consistency,0.0024659757
pa_combined_consistency,0.0024575195
fta_consistency,0.0024561682
fgm_avg_5,0.002448759
blk_log_streak,0.0024472852
pts_consistency,0.0024381485
blk_med_3,0.0024354507
fga_streak,0.002433442
reb_avg_10,0.00241724
plus_minus_avg_10,0.002416266
fg3m_avg_10,0.00241078
fga_med_3,0.0024025743
fg3m_ewm,0.0024021245
pts_ewm,0.0024006227
tov_consistency,0.0023905155
fg3a_avg_5,0.0023776845
min_ewm,0.0023756872
stl_streak,0.0023681256
ra_combined_avg_3,0.002362334
fgm_avg_10,0.0023553348
plus_minus_avg_20,0.0023481015
min_streak,0.0023467897
plus_minus_ewm,0.0023424246
min_med_10,0.0023370842
stl_log_ewm,0.0023333053
reb_med_20,0.0023271707
blk_consistency,0.0023211627
fta_med_3,0.0023098735
fta_ewm,0.0023092409
fga_med_20,0.00230761
blk_log_avg_5,0.0022990084
tov_streak,0.0022984676
sb_combined_med_20,0.0022961542
tov_med_5,0.0022818462
blk_log_ewm,0.0022795312
sb_combined_med_10,0.00227787
fg3m_consistency,0.002277091
pr_combined_med_3,0.0022727363
ftm_consistency,0.0022698652
blk_avg_10,0.0022584538
fgm_med_20,0.0022555683
fgm_avg_3,0.002244118
pts_avg_5,0.0022311118
reb_med_3,0.0022289583
pra_combined_streak,0.0022106913
blk_log_med_20,0.0022071598
fg3m_med_5,0.002204091
fg3a_consistency,0.0022017984
stl_log_avg_10,0.0022008636
fga_consistency,0.0021971345
stl_med_3,0.0021940174
pts_med_10,0.002184282
stl_consistency,0.0021824096
fg3a_streak,0.0021652011
plus_minus_avg_5,0.0021645976
blk_med_20,0.0021596854
fg3a_med_5,0.0021559647
ra_combined_med_10,0.0021534227
fg3m_med_10,0.0021426014
pa_combined_med_5,0.0021358659
fgm_consistency,0.0021096705
pr_combined_avg_10,0.002108983
stl_log_avg_20,0.0021082195
ra_combined_streak,0.0020977072
sb_combined_consistency,0.0020910255
ast_streak,0.0020783283
pts_med_20,0.0020645976
pr_combined_consistency,0.0020503416
sb_combined_avg_10,0.0020454642
fg3a_ewm,0.0020422006
plus_minus_med_20,0.002030727
pts_streak,0.0020205346
fgm_avg_20,0.0020158773
sb_combined_streak,0.0020157127
ftm_med_20,0.0020108332
pr_combined_med_20,0.002002852
fta_streak,0.0020027065
plus_minus_med_5,0.001995647
fgm_ewm,0.0019890931
stl_log_streak,0.0019864063
ra_combined_med_5,0.0019811722
tov_med_3,0.0019688373
fgm_streak,0.0019681018
stl_avg_10,0.001960445
plus_minus_med_3,0.0019564643
pr_combined_med_5,0.0019461164
pa_combined_streak,0.0019449147
fga_avg_20,0.0019439169
blk_log_avg_20,0.0019401584
fgm_med_10,0.0019372978
plus_minus_avg_3,0.0019322315
fg3a_med_10,0.0019156579
tov_avg_3,0.001915615
pts_med_3,0.0019107119
fta_med_20,0.0019061511
fg3a_avg_20,0.0019048263
blk_streak,0.0018764221
stl_log_med_3,0.0018748271
pr_combined_med_10,0.0018673015
reb_consistency,0.0018657809
fg3a_avg_10,0.0018620476
pa_combined_med_3,0.0018587974
stl_avg_5,0.0018400241
ftm_med_3,0.001830233
blk_log_med_10,0.0018186488
fg3m_avg_5,0.0018057497
pts_avg_3,0.0018022126
reb_med_10,0.0017950564
reb_avg_3,0.0017865336
ftm_streak,0.0017824793
stl_log_avg_5,0.0017818502
plus_minus_med_10,0.0017807937
pr_combined_avg_20,0.0017720647
blk_log_avg_3,0.0017352906
stl_med_10,0.0017307384
stl_log_avg_3,0.0017258624
blk_avg_5,0.0016972019
pts_med_5,0.001689225
pr_combined_avg_3,0.001687529
sb_combined_med_3,0.0016840742
pr_combined_streak,0.0016706686
fg3m_avg_3,0.0016623827
fg3m_med_3,0.0016598352
fg3m_avg_20,0.0016503913
fg3a_avg_3,0.0016363026
plus_minus_streak,0.0015786288
stl_avg_20,0.0015387812
reb_med_5,0.0015017625
ftm_avg_3,0.0014605884
stl_med_20,0.0014430112
fg3a_med_3,0.0014059143
