feature,importance
pass_attempts_med_4,0.12779878
pass_attempts_med_16,0.06657843
pass_attempts_med_8,0.03999835
rushing_tds_med_4,0.017657733
pass_attempts_avg_4,0.0146145765
carries_med_4,0.012854249
rush_attempts_med_16,0.012593663
touchdowns_med_16,0.012496019
targets_streak,0.012204883
receiving_yards_ewm,0.0120653985
passing_tds_consistency,0.010908483
targets_ewm,0.010770413
carries_avg_8,0.010281132
interceptions_med_8,0.010260795
rushing_tds_streak,0.010087692
carries_med_8,0.009661317
interceptions_ewm,0.009634879
rush_attempts_med_4,0.009541383
receiving_yards_streak,0.009527947
rushing_yards_ewm,0.009368916
rushing_tds_avg_8,0.0093179075
touchdowns_consistency,0.009267909
interceptions_med_4,0.009211524
rush_attempts_med_8,0.009155363
completions_med_8,0.008858293
rush_attempts_consistency,0.008746508
passing_tds_ewm,0.008584132
receptions_avg_16,0.008506347
pass_attempts_avg_16,0.008468706
passing_yards_avg_4,0.008443167
rush_attempts_ewm,0.008374707
passing_tds_avg_4,0.008342432
completions_ewm,0.008341715
interceptions_consistency,0.00829488
completions_med_4,0.008283893
rushing_tds_consistency,0.00820937
passing_yards_ewm,0.008075392
completions_avg_4,0.007995377
carries_ewm,0.007949456
interceptions_avg_8,0.007943435
rushing_yards_consistency,0.0078808395
carries_consistency,0.007842029
passing_tds_avg_16,0.007774575
completions_consistency,0.0077702915
passing_yards_consistency,0.007678185
rush_attempts_streak,0.0076362677
completions_avg_16,0.007550655
completions_streak,0.0075075575
receptions_streak,0.0074829897
pass_attempts_ewm,0.007462256
rush_attempts_avg_4,0.007415706
rushing_tds_med_8,0.007358427
rushing_yards_med_8,0.007309767
touchdowns_streak,0.0072911843
passing_tds_med_16,0.007244456
targets_avg_8,0.0071473387
rushing_yards_streak,0.0071405997
rushing_tds_avg_16,0.0071150516
passing_tds_med_4,0.0070962054
passing_yards_med_4,0.007026269
rush_attempts_avg_16,0.006963867
rushing_tds_ewm,0.0069442242
rushing_yards_avg_16,0.0069309915
interceptions_streak,0.0069096186
touchdowns_avg_16,0.0068753897
rushing_yards_avg_8,0.0068584653
rushing_yards_med_16,0.0067484537
passing_yards_med_16,0.006746107
passing_tds_avg_8,0.0066768313
pass_attempts_streak,0.0066413
pass_attempts_consistency,0.0066332445
passing_yards_avg_16,0.0065293307
completions_avg_8,0.006514829
touchdowns_avg_4,0.006455723
interceptions_avg_16,0.0064169103
interceptions_med_16,0.0062681274
interceptions_avg_4,0.006232951
rush_attempts_avg_8,0.0061302427
rushing_yards_med_4,0.0060951184
completions_med_16,0.005841342
carries_med_16,0.005717394
receptions_avg_8,0.0057058027
receiving_yards_avg_8,0.0055883722
passing_tds_streak,0.0055102333
passing_yards_streak,0.0054933717
touchdowns_med_8,0.0054929066
touchdowns_med_4,0.005491996
pass_attempts_avg_8,0.0054893587
targets_avg_16,0.005440101
days_rest,0.005120988
touchdowns_ewm,0.005100903
passing_yards_avg_8,0.0050371564
rushing_yards_avg_4,0.004977384
receptions_ewm,0.0049572815
passing_tds_med_8,0.0048661893
rushing_tds_avg_4,0.0048446436
carries_avg_4,0.00464945
passing_yards_med_8,0.0045967405
carries_streak,0.004262314
receiving_yards_avg_4,0.0042387503
touchdowns_avg_8,0.0036737535
receptions_consistency,0.0031866196
receiving_tds_avg_16,0.003144033
four_in_six,0.002087036
targets_consistency,0.0019732092
receiving_tds_avg_4,0.0019327879
targets_avg_4,0.001274376
receiving_yards_med_4,0.0007276274
receptions_avg_4,0.0
b2b,0.0
carries_avg_16,0.0
receptions_med_4,0.0
receiving_tds_med_4,0.0
targets_med_4,0.0
receiving_yards_med_8,0.0
receiving_tds_consistency,0.0
receptions_med_8,0.0
receiving_tds_med_8,0.0
receiving_tds_streak,0.0
receiving_tds_avg_8,0.0
receiving_yards_consistency,0.0
targets_med_8,0.0
receiving_yards_med_16,0.0
receptions_med_16,0.0
rushing_tds_med_16,0.0
receiving_tds_med_16,0.0
targets_med_16,0.0
receiving_tds_ewm,0.0
receiving_yards_avg_16,0.0
