feature,importance
completions_avg_4,0.26424497
completions_med_4,0.20624387
pass_attempts_med_4,0.13371427
passing_yards_avg_4,0.12783109
pass_attempts_avg_4,0.018682383
completions_ewm,0.012728231
receptions_avg_16,0.01081323
completions_avg_8,0.007242283
completions_avg_16,0.005932251
pass_attempts_med_8,0.005457918
receptions_consistency,0.005319664
completions_med_8,0.005115427
passing_yards_ewm,0.005058971
days_rest,0.0045736246
targets_consistency,0.0045112795
passing_yards_avg_8,0.0038746106
pass_attempts_med_16,0.0038663202
passing_tds_med_16,0.0038636182
pass_attempts_avg_16,0.0037216314
rushing_tds_ewm,0.003649553
passing_yards_med_16,0.0035123967
passing_tds_ewm,0.0034709177
interceptions_med_4,0.003462851
receiving_yards_avg_16,0.0033166322
passing_tds_med_8,0.0032809942
touchdowns_ewm,0.0026891099
rush_attempts_ewm,0.0026690026
passing_tds_avg_8,0.0026298908
passing_tds_avg_4,0.0026128567
completions_med_16,0.0025929005
carries_med_16,0.0025783547
rush_attempts_avg_16,0.0025141796
receptions_ewm,0.002499537
targets_streak,0.002481376
carries_ewm,0.0024584879
rushing_yards_ewm,0.0024316474
interceptions_streak,0.0024276164
rushing_yards_streak,0.0023505602
carries_avg_16,0.0023040574
rushing_yards_avg_16,0.002262813
passing_tds_consistency,0.0022602468
rushing_tds_streak,0.0021468662
rushing_tds_consistency,0.0021457386
touchdowns_med_8,0.0021020875
carries_consistency,0.0020850282
rushing_yards_consistency,0.002077172
rushing_tds_avg_4,0.0020632353
carries_med_8,0.002059755
passing_yards_avg_16,0.002046746
rushing_yards_med_4,0.0020077815
passing_tds_avg_16,0.0019490373
receptions_streak,0.0019324773
rush_attempts_consistency,0.0019307409
rushing_yards_med_16,0.0018972583
receiving_yards_streak,0.0018778172
rush_attempts_med_16,0.0018512725
touchdowns_med_4,0.0018345037
pass_attempts_avg_8,0.0018277908
receiving_tds_avg_4,0.0017980656
completions_streak,0.0017759268
rushing_tds_avg_16,0.0017635215
interceptions_ewm,0.0017443226
touchdowns_avg_8,0.0017198415
pass_attempts_ewm,0.0017013613
touchdowns_streak,0.0016995524
interceptions_avg_16,0.0016876901
interceptions_avg_8,0.0016871664
pass_attempts_streak,0.0016806126
completions_consistency,0.0016714926
pass_attempts_consistency,0.0016708028
rush_attempts_med_4,0.0016671646
rushing_yards_avg_8,0.001665879
rush_attempts_med_8,0.001657704
passing_yards_streak,0.0016467161
rushing_yards_avg_4,0.0016215735
rush_attempts_streak,0.0016174213
rush_attempts_avg_4,0.0016053536
carries_med_4,0.0016051261
receiving_tds_avg_8,0.0015873017
rush_attempts_avg_8,0.0015697224
passing_tds_streak,0.001560313
interceptions_consistency,0.001549887
carries_avg_8,0.0015337575
touchdowns_consistency,0.0015322815
passing_yards_consistency,0.0015277137
interceptions_avg_4,0.0015207436
touchdowns_avg_16,0.001512813
receiving_yards_avg_8,0.0015010773
rushing_yards_med_8,0.0014735125
receiving_tds_avg_16,0.0014696737
four_in_six,0.0014440586
passing_yards_med_4,0.0013990274
rushing_tds_avg_8,0.0013938696
targets_ewm,0.0013888321
interceptions_med_16,0.0013493883
passing_yards_med_8,0.0013422478
interceptions_med_8,0.0012816024
carries_avg_4,0.00127422
receiving_yards_avg_4,0.0012484762
carries_streak,0.0011948062
rushing_tds_med_4,0.0011308776
touchdowns_med_16,0.0011224443
receptions_avg_4,0.0010509465
touchdowns_avg_4,0.0009699947
passing_tds_med_4,0.00087173376
targets_avg_16,0.0008265119
targets_med_4,0.00041028412
receiving_tds_ewm,0.00039312476
targets_avg_4,0.00034341027
receptions_avg_8,0.0003073189
targets_avg_8,0.00013191286
receiving_yards_consistency,1.1846883e-05
b2b,0.0
targets_med_16,0.0
receiving_tds_med_16,0.0
rushing_tds_med_16,0.0
receiving_tds_consistency,0.0
targets_med_8,0.0
receiving_tds_med_8,0.0
receptions_med_4,0.0
receptions_med_16,0.0
receiving_yards_ewm,0.0
receiving_tds_med_4,0.0
receiving_yards_med_16,0.0
receiving_yards_med_8,0.0
receiving_tds_streak,0.0
receptions_med_8,0.0
rushing_tds_med_8,0.0
receiving_yards_med_4,0.0
