feature,importance
completions_avg_4,0.17666876
pass_attempts_avg_4,0.048219945
completions_med_8,0.042384706
completions_med_4,0.02514101
passing_yards_avg_8,0.023929497
completions_med_16,0.023070045
passing_tds_med_8,0.020878164
passing_yards_med_4,0.017634282
passing_tds_ewm,0.016687436
targets_avg_8,0.015802216
passing_yards_avg_16,0.015095627
passing_tds_avg_4,0.014653696
passing_tds_avg_16,0.012241108
passing_yards_ewm,0.01206751
passing_yards_med_8,0.011251028
pass_attempts_med_8,0.01082858
receptions_ewm,0.010598795
receiving_tds_streak,0.010532859
carries_ewm,0.010304871
pass_attempts_med_4,0.00995721
touchdowns_ewm,0.009895081
days_rest,0.008984656
receptions_avg_8,0.008674817
rushing_tds_avg_16,0.008450389
passing_yards_streak,0.008084842
rushing_tds_avg_4,0.007783884
rushing_yards_streak,0.0077692345
passing_yards_avg_4,0.0076914337
passing_tds_avg_8,0.007551064
passing_yards_med_16,0.0074525713
interceptions_ewm,0.0074317073
rushing_tds_streak,0.007111669
passing_tds_consistency,0.0070049753
rushing_tds_ewm,0.006935879
interceptions_streak,0.006931177
interceptions_avg_16,0.006813892
rushing_yards_avg_16,0.0067657093
rushing_yards_avg_8,0.006666273
rush_attempts_med_16,0.0065721814
completions_streak,0.0065277764
rushing_yards_med_8,0.006421297
rush_attempts_streak,0.00638753
interceptions_consistency,0.006365892
completions_avg_8,0.006235572
pass_attempts_avg_8,0.006184141
completions_consistency,0.006110822
pass_attempts_ewm,0.0060784915
pass_attempts_med_16,0.00605142
touchdowns_med_8,0.0060367216
pass_attempts_avg_16,0.0060298494
pass_attempts_streak,0.0060159722
touchdowns_consistency,0.006008029
rush_attempts_ewm,0.006005942
rushing_tds_avg_8,0.005876061
passing_yards_consistency,0.0058744145
rush_attempts_med_4,0.005815801
interceptions_avg_4,0.0057940325
rushing_yards_med_4,0.005712007
rushing_yards_ewm,0.0056957146
rush_attempts_avg_16,0.0056236316
pass_attempts_consistency,0.0056121354
completions_avg_16,0.005605019
targets_avg_16,0.0055229277
rushing_yards_consistency,0.0055043595
touchdowns_avg_8,0.0054788776
passing_tds_streak,0.0054267095
touchdowns_streak,0.005381496
targets_ewm,0.005246943
completions_ewm,0.005237696
carries_streak,0.005226208
interceptions_med_8,0.005205619
receptions_streak,0.0051723006
rushing_yards_med_16,0.0051692124
receiving_yards_ewm,0.0051557724
carries_med_16,0.0050473535
touchdowns_avg_16,0.0049961307
rush_attempts_avg_8,0.0049944674
carries_avg_8,0.0049694767
rush_attempts_consistency,0.0048818295
touchdowns_avg_4,0.0048728795
interceptions_med_4,0.0048579625
carries_avg_16,0.004846181
touchdowns_med_16,0.0047161104
interceptions_avg_8,0.0046665682
rushing_yards_avg_4,0.0046584853
carries_consistency,0.0046287277
passing_tds_med_16,0.0045578475
passing_tds_med_4,0.0044420008
carries_avg_4,0.004407761
rushing_tds_consistency,0.004368397
rush_attempts_med_8,0.004252697
receiving_yards_avg_16,0.0041134055
receiving_yards_avg_8,0.004085291
receiving_yards_streak,0.0038115387
interceptions_med_16,0.0036945087
rush_attempts_avg_4,0.003585699
targets_streak,0.003269877
receiving_tds_ewm,0.0032307694
receptions_avg_4,0.0026652534
carries_med_8,0.0025506956
touchdowns_med_4,0.0022573422
four_in_six,0.0019951016
receptions_consistency,0.0019057553
targets_consistency,0.0018865584
receptions_avg_16,0.0013995507
receiving_yards_avg_4,0.0009367606
receiving_tds_avg_4,0.00090636115
receiving_yards_med_8,0.00086774124
receptions_med_4,0.00079708244
receiving_tds_avg_16,0.0007835074
carries_med_4,0.000506293
rushing_tds_med_4,0.00027083824
receptions_med_16,0.0
rushing_tds_med_16,0.0
receiving_tds_med_16,0.0
b2b,0.0
receiving_tds_consistency,0.0
receiving_tds_med_4,0.0
targets_avg_4,0.0
receiving_yards_consistency,0.0
targets_med_8,0.0
targets_med_16,0.0
receiving_tds_med_8,0.0
rushing_tds_med_8,0.0
receptions_med_8,0.0
receiving_yards_med_16,0.0
receiving_yards_med_4,0.0
targets_med_4,0.0
receiving_tds_avg_8,0.0
