feature,importance
completions_avg_4,0.4210526
completions_med_4,0.13474946
passing_yards_avg_4,0.095010124
pass_attempts_med_4,0.0340184
passing_yards_ewm,0.014171776
pass_attempts_avg_4,0.0113415755
passing_yards_avg_16,0.010352528
receptions_avg_16,0.007956471
days_rest,0.006490975
pass_attempts_med_8,0.0060943062
passing_tds_med_8,0.0060743415
passing_tds_ewm,0.005897026
targets_avg_16,0.004858853
passing_yards_med_16,0.004761981
receptions_consistency,0.0046637263
pass_attempts_med_16,0.0044742627
passing_yards_avg_8,0.0042362176
carries_ewm,0.004225363
rush_attempts_ewm,0.0040436666
completions_ewm,0.003983507
completions_med_8,0.003798985
receiving_yards_streak,0.0037818633
rush_attempts_med_16,0.0037044508
touchdowns_ewm,0.0035727983
pass_attempts_avg_16,0.0035053093
receiving_yards_avg_8,0.0034920336
rush_attempts_med_8,0.0033894014
interceptions_streak,0.003341983
targets_consistency,0.0032591908
interceptions_med_8,0.0032369813
rushing_tds_streak,0.003200066
carries_avg_16,0.003189422
rush_attempts_med_4,0.0031569118
passing_yards_med_8,0.0031246596
pass_attempts_streak,0.0030909665
rushing_yards_med_16,0.0030819564
completions_med_16,0.0030091878
rushing_tds_ewm,0.0030058427
interceptions_avg_8,0.00299265
rush_attempts_avg_16,0.0029737593
interceptions_avg_16,0.002972166
rush_attempts_streak,0.0029369104
touchdowns_avg_16,0.0029266304
completions_avg_16,0.0029176567
passing_tds_avg_16,0.0028662577
interceptions_ewm,0.0028522306
receiving_yards_avg_16,0.0028298444
completions_avg_8,0.0027980008
pass_attempts_avg_8,0.0027797262
receptions_streak,0.002763401
completions_streak,0.0027606376
rushing_yards_med_4,0.0027013768
rushing_tds_avg_4,0.0026788008
passing_tds_consistency,0.002658776
rushing_yards_consistency,0.0026287427
passing_tds_med_4,0.002627705
completions_consistency,0.0026241674
rushing_yards_ewm,0.0026067689
passing_tds_avg_4,0.002594959
rush_attempts_consistency,0.0025359597
touchdowns_consistency,0.002502981
passing_tds_avg_8,0.0024589372
carries_med_16,0.002448578
rushing_tds_consistency,0.0024325082
targets_avg_8,0.0024042437
pass_attempts_consistency,0.0023991026
touchdowns_med_4,0.0022964187
rushing_yards_streak,0.0022891813
touchdowns_streak,0.0022860658
carries_med_4,0.0022845732
rushing_tds_avg_16,0.0022845662
receptions_avg_4,0.0022693041
passing_yards_consistency,0.0022374433
rush_attempts_avg_4,0.0021790413
passing_yards_med_4,0.0021561715
touchdowns_avg_8,0.0021547202
rushing_yards_avg_16,0.0020933915
interceptions_med_4,0.002091405
passing_tds_streak,0.0020828226
touchdowns_avg_4,0.002068843
rushing_yards_med_8,0.0020326723
rush_attempts_avg_8,0.002031655
receiving_tds_avg_4,0.0019927728
interceptions_consistency,0.0019439002
carries_streak,0.0019171925
interceptions_avg_4,0.0019124005
receptions_avg_8,0.0018631335
carries_med_8,0.0018609108
pass_attempts_ewm,0.0018578786
passing_tds_med_16,0.0018576685
touchdowns_med_16,0.0018279714
rushing_yards_avg_4,0.0018142279
rushing_yards_avg_8,0.0018056238
carries_avg_4,0.0017963665
carries_consistency,0.0017504274
passing_yards_streak,0.0017301122
interceptions_med_16,0.001676603
receptions_ewm,0.0016281985
receiving_yards_ewm,0.001583394
four_in_six,0.0015245064
touchdowns_med_8,0.001380576
receiving_tds_avg_8,0.0013650579
rushing_tds_avg_8,0.001266244
targets_streak,0.0011200685
receiving_tds_ewm,0.0010375186
receiving_yards_avg_4,0.0010334708
receiving_tds_avg_16,0.0009939396
rushing_tds_med_4,0.0003862715
targets_avg_4,8.9635425e-05
targets_ewm,4.9691254e-05
rushing_tds_med_8,7.330777e-06
receiving_yards_consistency,6.7387173e-06
receiving_tds_consistency,3.7351867e-06
targets_med_4,2.7397082e-06
receiving_tds_streak,2.5356883e-06
receiving_yards_med_8,1.9581276e-07
receiving_yards_med_4,0.0
carries_avg_8,0.0
b2b,0.0
receptions_med_4,0.0
rushing_tds_med_16,0.0
receiving_tds_med_4,0.0
receptions_med_8,0.0
receiving_tds_med_16,0.0
targets_med_8,0.0
receiving_yards_med_16,0.0
receptions_med_16,0.0
targets_med_16,0.0
receiving_tds_med_8,0.0
