feature,importance
completions_avg_4,0.40256506
completions_med_4,0.13785867
passing_yards_avg_4,0.10789857
pass_attempts_med_4,0.035796046
passing_yards_ewm,0.018542
passing_yards_avg_16,0.013817457
pass_attempts_avg_4,0.01163941
pass_attempts_med_8,0.006860985
passing_tds_ewm,0.0066224975
days_rest,0.0064594666
receptions_avg_16,0.0060857995
passing_yards_med_16,0.0055198055
receptions_consistency,0.004621196
passing_tds_med_8,0.0045931498
pass_attempts_med_16,0.0044809347
completions_ewm,0.0041399407
completions_med_8,0.0040451144
passing_yards_avg_8,0.003906242
rush_attempts_ewm,0.00389377
pass_attempts_avg_16,0.003624268
interceptions_avg_16,0.0034845783
interceptions_avg_8,0.0034739927
receptions_streak,0.0034547956
carries_avg_8,0.0034009845
passing_tds_med_4,0.0033786243
rush_attempts_med_16,0.003374818
interceptions_streak,0.003366342
rushing_tds_streak,0.0033313946
passing_yards_med_8,0.0032504825
rushing_tds_ewm,0.003216631
receiving_yards_streak,0.0031391336
passing_tds_consistency,0.0031023184
completions_med_16,0.0030978012
completions_avg_16,0.003095065
receiving_yards_avg_8,0.0030437603
targets_consistency,0.0030247257
rush_attempts_avg_16,0.0029769377
rushing_tds_avg_4,0.0029646752
rush_attempts_streak,0.0029113132
rushing_yards_med_16,0.0028992828
passing_tds_avg_16,0.0028772897
interceptions_ewm,0.0028652262
rush_attempts_med_4,0.0028402654
completions_streak,0.0028081592
targets_streak,0.0028063285
rush_attempts_consistency,0.0028041902
carries_streak,0.0027772347
touchdowns_ewm,0.0027288643
pass_attempts_streak,0.0027269227
touchdowns_avg_16,0.002713542
passing_tds_avg_8,0.0027034436
touchdowns_consistency,0.0026748828
interceptions_med_8,0.002670968
pass_attempts_avg_8,0.0026449566
receiving_yards_ewm,0.0026439987
rushing_yards_med_4,0.0026389856
completions_consistency,0.0026357202
rushing_yards_consistency,0.002612161
passing_tds_med_16,0.0025844565
rush_attempts_med_8,0.0025717698
touchdowns_avg_8,0.0025412962
passing_tds_avg_4,0.002491312
passing_tds_streak,0.0024912045
rushing_tds_consistency,0.0024565228
carries_ewm,0.0023705482
pass_attempts_consistency,0.0023470141
rushing_yards_ewm,0.0023386122
rushing_yards_avg_16,0.002304875
rushing_yards_med_8,0.0023023048
completions_avg_8,0.0022754206
interceptions_avg_4,0.0022274547
rush_attempts_avg_8,0.0021824231
rushing_yards_streak,0.002163411
passing_yards_med_4,0.0021621992
passing_yards_streak,0.0021490667
interceptions_consistency,0.002138383
rushing_tds_avg_16,0.0021316065
pass_attempts_ewm,0.0020991913
receptions_ewm,0.0020792335
rush_attempts_avg_4,0.0020526934
passing_yards_consistency,0.002000404
touchdowns_med_4,0.0019832652
carries_consistency,0.0019769568
interceptions_med_16,0.0019741198
carries_med_16,0.0018905858
touchdowns_streak,0.0018836362
touchdowns_avg_4,0.0018520098
touchdowns_med_8,0.0017541817
carries_avg_16,0.0017092389
rushing_yards_avg_4,0.0016645736
carries_med_8,0.0016572203
rushing_yards_avg_8,0.0016375367
receptions_avg_8,0.0016229923
carries_avg_4,0.0016179241
receptions_avg_4,0.0015815038
receiving_yards_avg_16,0.0015728499
receiving_tds_avg_4,0.0015553613
carries_med_4,0.0015281594
touchdowns_med_16,0.0014782156
four_in_six,0.0014162887
interceptions_med_4,0.0014147239
receiving_tds_avg_8,0.0013884762
rushing_tds_med_8,0.0013522228
rushing_tds_avg_8,0.001336045
receiving_yards_avg_4,0.001059926
receiving_tds_avg_16,0.0009919174
targets_avg_8,0.0009245636
receiving_tds_ewm,0.0004773578
receiving_yards_med_8,3.9486255e-05
targets_avg_4,2.653715e-05
targets_ewm,1.708607e-05
receiving_yards_consistency,6.837986e-06
receiving_tds_streak,4.479795e-06
rushing_tds_med_4,4.331282e-06
receiving_tds_consistency,4.2087095e-06
targets_med_4,2.660628e-06
receptions_med_16,0.0
receiving_yards_med_16,0.0
rushing_tds_med_16,0.0
receiving_tds_med_16,0.0
receptions_med_4,0.0
targets_med_8,0.0
receiving_tds_med_8,0.0
targets_med_16,0.0
receptions_med_8,0.0
targets_avg_16,0.0
receiving_tds_med_4,0.0
b2b,0.0
receiving_yards_med_4,0.0
