feature,importance
receiving_yards_avg_16,0.15965262
receiving_yards_ewm,0.08240637
targets_avg_8,0.03055744
targets_ewm,0.02440874
four_in_six,0.023274934
interceptions_ewm,0.02178787
targets_avg_4,0.016762068
passing_yards_avg_16,0.015703367
receiving_yards_avg_8,0.01552029
targets_avg_16,0.015024225
targets_med_16,0.01421362
receiving_yards_avg_4,0.013029125
pass_attempts_consistency,0.012332466
completions_ewm,0.011696817
targets_med_4,0.011285042
carries_avg_16,0.011191236
pass_attempts_streak,0.010649162
interceptions_consistency,0.010480286
rushing_yards_ewm,0.00932808
rush_attempts_avg_16,0.0092617255
carries_med_4,0.009156624
rushing_tds_avg_16,0.00822349
targets_med_8,0.008221782
rushing_yards_avg_8,0.008220312
days_rest,0.008193232
receiving_tds_med_16,0.008089068
carries_consistency,0.0080493735
receptions_med_16,0.007942491
receiving_yards_med_16,0.00793117
receiving_tds_avg_8,0.007737573
rush_attempts_ewm,0.007693952
rush_attempts_med_8,0.0075178477
passing_yards_ewm,0.00750859
completions_avg_16,0.0074347085
receiving_tds_ewm,0.007412568
receptions_med_8,0.0073862607
touchdowns_consistency,0.0073318067
touchdowns_med_8,0.007152928
rushing_yards_med_16,0.0071279877
receptions_med_4,0.0071145887
passing_yards_avg_8,0.007073741
receiving_tds_avg_16,0.0070365965
rush_attempts_consistency,0.0070047416
rushing_tds_avg_8,0.006992011
rushing_yards_streak,0.0069747097
receiving_yards_med_8,0.0068713906
rushing_tds_streak,0.0067991363
receptions_streak,0.006739589
receptions_ewm,0.006692023
pass_attempts_avg_8,0.006590979
rushing_tds_ewm,0.0065432102
rushing_yards_avg_4,0.0065364754
receptions_avg_8,0.0065313173
receptions_consistency,0.0064892783
receiving_yards_consistency,0.006448971
receptions_avg_16,0.00643761
rush_attempts_streak,0.0063783084
targets_streak,0.006364305
receiving_tds_med_8,0.0063257036
touchdowns_ewm,0.0063157533
rush_attempts_avg_4,0.0062054503
targets_consistency,0.006199758
receiving_yards_med_4,0.0061185826
receiving_yards_streak,0.0060523134
receiving_tds_consistency,0.006028757
receiving_tds_streak,0.006025382
touchdowns_streak,0.0060029067
touchdowns_med_16,0.005766496
touchdowns_avg_16,0.0057548378
carries_avg_4,0.0056556403
touchdowns_avg_8,0.0056496407
receptions_avg_4,0.005605177
rushing_yards_avg_16,0.005551657
pass_attempts_ewm,0.005522088
passing_yards_streak,0.0054911766
touchdowns_med_4,0.005471829
receiving_tds_med_4,0.005457048
carries_ewm,0.005266862
completions_streak,0.0052445587
passing_tds_avg_8,0.005198572
rush_attempts_avg_8,0.005145887
interceptions_streak,0.00478267
rushing_yards_consistency,0.004767175
receiving_tds_avg_4,0.004743414
carries_streak,0.004726604
rush_attempts_med_16,0.0046823258
touchdowns_avg_4,0.0043385737
rushing_yards_med_4,0.004264093
rush_attempts_med_4,0.004262216
pass_attempts_avg_4,0.0042068902
carries_avg_8,0.004080644
completions_avg_4,0.0038938117
passing_tds_ewm,0.0036401714
passing_yards_avg_4,0.003566399
interceptions_avg_4,0.0030932897
rushing_yards_med_8,0.0030662562
pass_attempts_avg_16,0.0028436081
rushing_tds_consistency,0.002299986
rushing_tds_avg_4,0.0020285156
carries_med_8,0.0015743957
carries_med_16,0.0014352439
completions_avg_8,0.0011313711
interceptions_avg_8,0.0
rushing_tds_med_4,0.0
passing_tds_avg_16,0.0
interceptions_avg_16,0.0
completions_consistency,0.0
passing_tds_avg_4,0.0
passing_tds_consistency,0.0
b2b,0.0
passing_yards_med_4,0.0
passing_tds_med_4,0.0
interceptions_med_4,0.0
passing_yards_consistency,0.0
completions_med_16,0.0
pass_attempts_med_4,0.0
completions_med_4,0.0
passing_yards_med_8,0.0
passing_tds_med_8,0.0
rushing_tds_med_8,0.0
pass_attempts_med_8,0.0
passing_tds_streak,0.0
completions_med_8,0.0
passing_yards_med_16,0.0
passing_tds_med_16,0.0
rushing_tds_med_16,0.0
interceptions_med_16,0.0
pass_attempts_med_16,0.0
interceptions_med_8,0.0
