feature,importance
receptions_avg_8,0.14356212
targets_avg_8,0.08205732
targets_avg_16,0.06936596
receptions_avg_16,0.05108082
targets_ewm,0.03805855
receptions_ewm,0.03697685
receptions_med_16,0.02088057
targets_avg_4,0.017251752
pass_attempts_ewm,0.016864503
targets_med_4,0.015035103
receiving_yards_ewm,0.0129233515
completions_ewm,0.010586715
receptions_avg_4,0.010079258
completions_avg_16,0.010027239
pass_attempts_avg_8,0.0090407925
receptions_med_4,0.008345863
pass_attempts_streak,0.008216325
receiving_yards_avg_4,0.008079825
rushing_yards_ewm,0.007982256
receiving_tds_ewm,0.0077341306
passing_yards_avg_8,0.007326965
interceptions_avg_4,0.00719027
receiving_tds_avg_16,0.007183496
receiving_yards_avg_16,0.007119533
carries_ewm,0.007086926
receiving_tds_avg_8,0.007018222
rushing_tds_ewm,0.006927538
rushing_tds_avg_8,0.0069255936
days_rest,0.0067638885
rush_attempts_ewm,0.006621225
receiving_yards_med_16,0.006572718
carries_consistency,0.006572041
rushing_yards_med_8,0.0064274953
receptions_streak,0.006423315
interceptions_avg_16,0.006418492
passing_yards_streak,0.006288509
rushing_yards_avg_16,0.0062498674
rushing_yards_streak,0.0061152116
passing_tds_streak,0.006104989
rush_attempts_avg_16,0.0060769897
targets_med_8,0.005972617
receiving_yards_consistency,0.0059357765
carries_med_16,0.005913781
passing_yards_ewm,0.0058988654
four_in_six,0.0058547836
receptions_consistency,0.005830719
rush_attempts_med_16,0.0058286125
targets_streak,0.005799607
receiving_tds_streak,0.005771733
receiving_yards_avg_8,0.0056871795
rush_attempts_consistency,0.005667182
completions_avg_8,0.0056460393
receptions_med_8,0.005614118
receiving_yards_med_8,0.0056137815
touchdowns_consistency,0.0055528022
receiving_yards_med_4,0.005546829
passing_yards_avg_16,0.005483859
targets_med_16,0.0054300325
touchdowns_ewm,0.005420929
rushing_yards_med_16,0.0054053445
rushing_yards_med_4,0.005357025
rushing_tds_med_8,0.0053233462
touchdowns_avg_8,0.0053041554
passing_tds_ewm,0.005269143
rush_attempts_avg_8,0.005263583
touchdowns_med_8,0.005220953
receiving_tds_consistency,0.0052081435
rushing_yards_avg_8,0.005145768
targets_consistency,0.005066427
interceptions_streak,0.005027166
receiving_yards_streak,0.0050084433
receiving_tds_avg_4,0.0049322657
passing_yards_avg_4,0.004802692
touchdowns_streak,0.0047573512
carries_streak,0.004748651
carries_avg_16,0.0047441283
receiving_tds_med_8,0.0046038344
touchdowns_avg_16,0.004526284
rushing_yards_avg_4,0.0044947695
rushing_yards_consistency,0.004394303
touchdowns_med_16,0.004209842
rush_attempts_streak,0.004154802
pass_attempts_med_8,0.004034398
receiving_tds_med_4,0.0040292996
pass_attempts_avg_16,0.0040163016
carries_med_8,0.0040039793
rush_attempts_med_4,0.0039793137
rushing_tds_streak,0.0039684065
receiving_tds_med_16,0.0038993002
rushing_tds_avg_16,0.0038832922
rushing_tds_avg_4,0.003506334
rush_attempts_avg_4,0.003227737
pass_attempts_avg_4,0.0030320266
carries_avg_4,0.0029185002
carries_avg_8,0.0025415502
rush_attempts_med_8,0.0023147648
completions_streak,0.0021631643
touchdowns_med_4,0.002085376
touchdowns_avg_4,0.002011253
rushing_tds_consistency,0.0016435073
carries_med_4,0.0015183897
pass_attempts_consistency,0.0011859039
interceptions_ewm,0.0010369349
completions_avg_4,0.0
passing_tds_avg_8,0.0
passing_tds_consistency,0.0
interceptions_consistency,0.0
completions_consistency,0.0
passing_tds_avg_4,0.0
b2b,0.0
passing_yards_consistency,0.0
passing_yards_med_16,0.0
interceptions_avg_8,0.0
passing_tds_med_8,0.0
passing_tds_med_16,0.0
rushing_tds_med_16,0.0
interceptions_med_16,0.0
pass_attempts_med_16,0.0
completions_med_8,0.0
completions_med_16,0.0
passing_yards_med_8,0.0
passing_tds_avg_16,0.0
completions_med_4,0.0
pass_attempts_med_4,0.0
interceptions_med_4,0.0
rushing_tds_med_4,0.0
passing_tds_med_4,0.0
passing_yards_med_4,0.0
interceptions_med_8,0.0
