feature,importance
rush_attempts_avg_4,0.10443763
receptions_avg_4,0.047049977
carries_avg_4,0.04237089
receiving_yards_avg_16,0.042349856
receptions_avg_8,0.041664943
receptions_ewm,0.020536661
touchdowns_ewm,0.019540966
receiving_yards_ewm,0.018458458
targets_ewm,0.016592901
carries_avg_8,0.015593496
carries_avg_16,0.015544347
targets_avg_16,0.014799236
passing_yards_ewm,0.0145238135
rushing_yards_avg_16,0.012734551
rushing_yards_avg_4,0.011305931
rush_attempts_ewm,0.011287657
targets_med_4,0.011011806
rushing_yards_ewm,0.01068432
rushing_yards_med_16,0.0101856645
receptions_med_16,0.010056683
rush_attempts_avg_8,0.009599966
receptions_avg_16,0.009111084
interceptions_consistency,0.009032416
rushing_yards_med_4,0.008825611
targets_avg_8,0.008649009
targets_avg_4,0.008266558
completions_avg_16,0.0076103467
completions_consistency,0.0076052872
receiving_yards_avg_4,0.0076002018
pass_attempts_ewm,0.007488556
targets_med_8,0.0073997886
rush_attempts_avg_16,0.007235589
days_rest,0.0072330073
rushing_yards_med_8,0.007206816
receiving_tds_med_16,0.007049188
rushing_tds_avg_8,0.007047388
carries_ewm,0.006980639
rushing_tds_med_4,0.0069586053
passing_yards_avg_16,0.006921241
interceptions_ewm,0.0068817465
interceptions_avg_16,0.006731772
rush_attempts_med_4,0.006679003
pass_attempts_avg_4,0.0065453346
rushing_yards_avg_8,0.006515911
targets_med_16,0.0065153316
receiving_tds_consistency,0.006475232
rushing_tds_med_8,0.0064409385
rush_attempts_med_16,0.006371121
rushing_tds_ewm,0.0062393555
passing_yards_avg_8,0.0062039234
receiving_tds_med_8,0.006203289
rush_attempts_med_8,0.0061528045
receiving_tds_avg_8,0.0059853224
carries_consistency,0.005888547
pass_attempts_avg_16,0.0058592306
receiving_yards_med_8,0.005718827
pass_attempts_streak,0.005661458
receiving_yards_med_16,0.005610603
receiving_tds_ewm,0.0055815354
touchdowns_consistency,0.0055714785
rushing_yards_consistency,0.0055662133
rush_attempts_consistency,0.0055623087
completions_streak,0.005501183
receptions_consistency,0.0054234685
pass_attempts_med_4,0.0053889765
completions_med_8,0.005388934
rushing_tds_avg_16,0.0051377905
receptions_med_8,0.005135515
receiving_tds_streak,0.0051261634
receiving_tds_avg_16,0.0050463257
pass_attempts_avg_8,0.0050236606
receiving_yards_med_4,0.004969425
targets_streak,0.004948417
receiving_yards_consistency,0.004888437
rushing_yards_streak,0.0048857285
receiving_yards_avg_8,0.0048457473
receiving_yards_streak,0.004803418
targets_consistency,0.004724955
receptions_med_4,0.004669039
rushing_tds_streak,0.0046387934
passing_yards_consistency,0.0045944112
completions_med_4,0.0045464355
pass_attempts_consistency,0.004541825
passing_tds_ewm,0.0045288545
touchdowns_avg_16,0.004402857
rushing_tds_consistency,0.0043937615
completions_ewm,0.004290553
rush_attempts_streak,0.0042053396
touchdowns_streak,0.0041038254
passing_yards_streak,0.004085758
receiving_tds_avg_4,0.0040034866
carries_med_8,0.003993279
receptions_streak,0.0039861496
touchdowns_avg_8,0.0038911467
touchdowns_med_16,0.0037643623
carries_med_4,0.0037538859
passing_tds_avg_16,0.0036260332
rushing_tds_med_16,0.0035437527
interceptions_med_4,0.0035338153
carries_streak,0.0034646695
four_in_six,0.0034621109
passing_tds_streak,0.0034446116
passing_yards_med_16,0.0033914226
completions_avg_4,0.0032717304
receiving_tds_med_4,0.0032541389
carries_med_16,0.003217789
touchdowns_med_8,0.003163918
interceptions_streak,0.0031507239
rushing_tds_avg_4,0.0030472493
touchdowns_avg_4,0.0030027647
touchdowns_med_4,0.0026377076
pass_attempts_med_16,0.002087659
completions_avg_8,0.0019878852
passing_tds_avg_8,0.0019808114
passing_yards_avg_4,0.0019529137
passing_tds_consistency,0.0019272977
passing_tds_avg_4,0.0018003435
completions_med_16,0.0009448908
interceptions_avg_8,0.0007960264
interceptions_avg_4,0.00016541351
interceptions_med_16,0.0
passing_tds_med_16,0.0
pass_attempts_med_8,0.0
passing_tds_med_8,0.0
passing_yards_med_8,0.0
passing_tds_med_4,0.0
passing_yards_med_4,0.0
b2b,0.0
interceptions_med_8,0.0
