feature,importance
rush_attempts_avg_4,0.22470494
carries_avg_4,0.05116484
rush_attempts_avg_8,0.03097648
rush_attempts_ewm,0.026716022
rushing_yards_avg_4,0.022491403
carries_avg_8,0.021734733
rushing_yards_avg_16,0.02049797
rushing_yards_med_16,0.014464613
rush_attempts_avg_16,0.01409664
carries_med_8,0.0121896425
rushing_yards_med_4,0.0118874805
rushing_yards_ewm,0.010497193
carries_med_16,0.010256091
rushing_yards_med_8,0.009235153
rush_attempts_med_4,0.008914707
targets_med_8,0.008721682
receiving_yards_med_8,0.008631531
receptions_med_8,0.008400431
targets_med_16,0.008218267
carries_ewm,0.008218219
rush_attempts_med_16,0.008176565
passing_yards_streak,0.0075547253
completions_consistency,0.00720008
rushing_yards_avg_8,0.0071892934
rush_attempts_med_8,0.007112082
passing_yards_ewm,0.00702068
receiving_yards_avg_16,0.006884884
receiving_tds_consistency,0.0068465094
targets_streak,0.006781222
targets_avg_16,0.0066840486
receiving_tds_avg_16,0.006658723
receptions_ewm,0.006592016
receptions_consistency,0.006368559
receiving_yards_streak,0.0063403
touchdowns_streak,0.0063073803
touchdowns_avg_8,0.006117428
completions_streak,0.0061071995
completions_med_16,0.0061011277
rushing_yards_consistency,0.0060916017
receptions_med_16,0.0060854433
touchdowns_avg_16,0.006083
targets_ewm,0.0060768463
rushing_tds_avg_8,0.006034938
carries_med_4,0.005985438
receiving_yards_med_16,0.005949429
touchdowns_med_16,0.0059475964
targets_avg_8,0.0057813725
rushing_tds_consistency,0.005708737
receiving_yards_med_4,0.0057084286
rushing_tds_ewm,0.0056345705
carries_consistency,0.0056283227
passing_tds_streak,0.005621403
touchdowns_ewm,0.005570825
targets_med_4,0.0055664256
rush_attempts_consistency,0.005524694
receiving_tds_streak,0.0055084466
rushing_tds_avg_16,0.005492209
receptions_avg_16,0.0054760603
completions_ewm,0.0053819334
receiving_tds_ewm,0.0053776354
receptions_streak,0.00537756
targets_consistency,0.0053210612
rushing_tds_streak,0.0052841697
receiving_yards_ewm,0.005243474
receiving_tds_avg_8,0.0052418592
touchdowns_med_4,0.0051481114
receptions_med_4,0.0050657243
rushing_tds_med_4,0.00503484
passing_yards_consistency,0.005021225
completions_avg_16,0.004975577
receptions_avg_8,0.004969891
days_rest,0.0048900624
receiving_yards_avg_8,0.004793326
rushing_tds_med_8,0.004775306
carries_avg_16,0.0046967263
carries_streak,0.0046952125
touchdowns_consistency,0.004620593
passing_yards_med_8,0.004608515
receiving_yards_consistency,0.004435112
receiving_yards_avg_4,0.0043878937
passing_tds_avg_8,0.004246417
completions_med_4,0.004229184
targets_avg_4,0.00418872
rushing_yards_streak,0.0041676657
pass_attempts_consistency,0.0040880367
passing_tds_ewm,0.004050683
touchdowns_med_8,0.003995084
interceptions_ewm,0.00394742
passing_yards_avg_4,0.0039261496
receiving_tds_avg_4,0.0039246622
rush_attempts_streak,0.003916618
rushing_tds_avg_4,0.0037889855
passing_tds_avg_4,0.003699445
passing_yards_avg_16,0.0036449202
pass_attempts_avg_8,0.0036094913
receptions_avg_4,0.0034552733
touchdowns_avg_4,0.003252873
pass_attempts_med_4,0.0031497267
pass_attempts_avg_16,0.0031457099
passing_tds_avg_16,0.0029453412
interceptions_consistency,0.002943559
completions_avg_8,0.0028257351
passing_tds_med_8,0.002759668
interceptions_streak,0.0027570499
pass_attempts_avg_4,0.002712571
completions_avg_4,0.002699519
four_in_six,0.002636222
rushing_tds_med_16,0.0025643043
passing_tds_consistency,0.0024332013
pass_attempts_streak,0.00217746
completions_med_8,0.0020564345
passing_yards_avg_8,0.0019224135
pass_attempts_ewm,0.0019041484
interceptions_avg_8,0.0018902658
interceptions_avg_4,0.0018457784
pass_attempts_med_16,0.0018385886
interceptions_med_16,0.001629608
passing_tds_med_4,0.0014286698
interceptions_med_4,0.0010777569
pass_attempts_med_8,0.001011958
passing_yards_med_4,0.0007837331
passing_tds_med_16,0.0007687471
passing_yards_med_16,0.00055191794
interceptions_avg_16,0.000525866
b2b,0.0
receiving_tds_med_8,0.0
receiving_tds_med_4,0.0
receiving_tds_med_16,0.0
interceptions_med_8,0.0
