feature,importance
passing_tds_avg_4,0.088411294
passing_tds_ewm,0.08777904
completions_avg_4,0.06420032
completions_med_4,0.05543633
passing_yards_avg_16,0.051212374
pass_attempts_med_4,0.031140335
passing_tds_avg_8,0.027705543
carries_avg_8,0.023538433
completions_med_8,0.0138794305
passing_yards_avg_8,0.013133041
passing_yards_med_4,0.012829733
carries_med_8,0.010316806
rushing_yards_med_4,0.010258716
passing_tds_avg_16,0.009700201
pass_attempts_avg_4,0.0084490925
rushing_yards_ewm,0.008437426
touchdowns_avg_4,0.007909027
passing_tds_med_4,0.0078795
passing_yards_ewm,0.007796656
touchdowns_ewm,0.007632839
passing_tds_med_8,0.00755961
touchdowns_med_4,0.0074384487
rushing_yards_avg_16,0.006910091
passing_yards_med_8,0.006860937
interceptions_med_8,0.006821449
four_in_six,0.0064395927
rushing_yards_avg_8,0.006276448
days_rest,0.0060839136
rushing_yards_med_16,0.005995101
receiving_yards_ewm,0.0058392365
completions_avg_8,0.0056792963
touchdowns_avg_16,0.0056537576
receptions_avg_8,0.005545486
passing_yards_med_16,0.0054876013
interceptions_avg_16,0.0054794024
targets_ewm,0.0054759462
completions_ewm,0.0054504084
rushing_yards_streak,0.0054082763
completions_streak,0.0053738207
pass_attempts_med_8,0.0052409987
completions_avg_16,0.0052299434
pass_attempts_streak,0.0051761614
rush_attempts_streak,0.0051513435
touchdowns_med_8,0.0051018065
interceptions_ewm,0.005100075
pass_attempts_avg_8,0.005048374
rush_attempts_ewm,0.0050283493
pass_attempts_avg_16,0.004984881
carries_avg_16,0.004914928
passing_yards_consistency,0.0048761284
interceptions_consistency,0.004836979
rushing_yards_med_8,0.0048000095
pass_attempts_ewm,0.00478893
receiving_yards_avg_4,0.0047610602
receptions_ewm,0.0047450494
passing_tds_consistency,0.004723426
rush_attempts_med_4,0.0047095725
pass_attempts_consistency,0.0046920655
completions_consistency,0.00465625
rushing_tds_avg_4,0.004652537
receptions_avg_4,0.0046268986
interceptions_streak,0.0046038823
pass_attempts_med_16,0.004519305
receptions_med_16,0.004514954
rushing_tds_avg_16,0.004503347
rushing_tds_avg_8,0.004495566
passing_yards_avg_4,0.0044703046
rush_attempts_med_16,0.004459298
receptions_avg_16,0.0044437363
rush_attempts_avg_8,0.004407706
touchdowns_consistency,0.0043978137
rush_attempts_avg_16,0.004361579
receiving_yards_med_4,0.004307242
rushing_tds_ewm,0.0042274967
rushing_tds_med_8,0.0042143115
rushing_tds_consistency,0.0041997703
rush_attempts_consistency,0.004125034
rushing_yards_avg_4,0.004108746
carries_ewm,0.004100743
rush_attempts_avg_4,0.0040961076
rushing_yards_consistency,0.0040869648
interceptions_med_4,0.004010939
receptions_med_4,0.003930229
targets_med_8,0.003903076
targets_avg_16,0.0038993903
passing_tds_streak,0.0038702213
touchdowns_avg_8,0.00385392
rush_attempts_med_8,0.0038470011
receiving_tds_ewm,0.0038016113
touchdowns_streak,0.0037268673
passing_yards_streak,0.0037235755
receiving_tds_streak,0.0036986503
targets_med_4,0.00367123
receptions_med_8,0.003551486
rushing_tds_streak,0.0034563842
touchdowns_med_16,0.003445543
receiving_yards_avg_8,0.003428306
targets_streak,0.0034259446
completions_med_16,0.0034153343
carries_streak,0.0034141971
interceptions_avg_4,0.003340227
receiving_yards_streak,0.0033197417
targets_avg_8,0.003297449
receptions_consistency,0.0032804075
interceptions_avg_8,0.0032781214
targets_consistency,0.0032662563
receiving_tds_avg_16,0.0032059965
receiving_yards_avg_16,0.0031772791
receptions_streak,0.0031399848
carries_consistency,0.0031314748
carries_avg_4,0.0031072737
receiving_yards_consistency,0.0030562356
receiving_yards_med_8,0.0030351665
interceptions_med_16,0.0029132264
carries_med_16,0.0028683767
targets_avg_4,0.002765477
receiving_tds_consistency,0.0026950976
receiving_yards_med_16,0.0026510162
passing_tds_med_16,0.0026470963
carries_med_4,0.002641839
targets_med_16,0.0025964035
receiving_tds_avg_4,0.0025109025
rushing_tds_med_4,0.0022209766
receiving_tds_avg_8,0.0019121183
receiving_tds_med_16,0.0017617511
receiving_tds_med_8,0.00019161619
rushing_tds_med_16,0.0
receiving_tds_med_4,0.0
b2b,0.0
