feature,importance
dvp_rush_yds_avg_3,83
pass_attempts_avg_4,68
def_rush_yds_allowed_avg_5,64
dvp_fp_avg_5,59
touchdowns_consistency,57
def_rush_yds_allowed_avg_3,55
dvp_rec_yds_avg_3,55
passing_air_yards_avg_4,54
def_pass_yds_allowed_avg_3,53
rushing_yards_consistency,52
spread_line,52
passing_air_yards_consistency,51
pass_attempts_consistency,48
interceptions_ewm,48
rushing_epa_consistency,45
rushing_epa_avg_4,40
passing_tds_consistency,40
passing_tds_avg_8,39
dvp_fp_avg_3,38
rushing_epa_streak,35
total_line,35
def_fp_allowed_avg_5,34
passing_epa_streak,34
def_pass_yds_allowed_avg_5,33
interceptions_avg_16,33
temp,32
rush+rec_yds_consistency,32
def_int_made_avg_3,32
rushing_epa_avg_8,31
passing_epa_consistency,30
carries_consistency,28
def_fp_allowed_avg_3,28
pass_attempts_avg_8,27
passing_tds_ewm,27
passing_yards_avg_4,26
carries_avg_16,25
carries_ewm,25
rushing_yards_streak,25
rushing_tds_streak,24
passing_yards_consistency,24
passing_epa_avg_8,23
passing_air_yards_streak,22
passing_air_yards_avg_8,22
passing_epa_ewm,21
carries_streak,21
passing_epa_avg_16,21
interceptions_avg_8,20
passing_tds_streak,20
passing_epa_avg_4,20
rush+rec_yds_streak,20
days_rest,20
passing_tds_avg_16,20
rushing_yards_avg_4,19
passing_yards_avg_16,19
def_rec_yds_allowed_avg_3,18
passing_air_yards_avg_16,18
pass_yds+td_consistency,18
wind,17
passing_yards_avg_8,17
passing_yards_ewm,17
rushing_yards_avg_8,17
fantasy_points_consistency,17
passing_yards_streak,16
receiving_yards_avg_8,16
carries_avg_8,15
rushing_yards_ewm,14
pass_attempts_avg_16,14
touchdowns_streak,14
pass_attempts_streak,14
fantasy_points_avg_4,13
fantasy_points_avg_16,13
pass_attempts_ewm,13
fantasy_points_avg_8,12
rush+rec_yds_ewm,12
fantasy_points_streak,12
rushing_yards_avg_16,11
pass_yds+td_streak,11
interceptions_consistency,11
def_rec_yds_allowed_avg_5,11
rush+rec_yds_avg_4,11
rushing_epa_ewm,10
touchdowns_avg_16,10
rush_attempts_avg_8,10
pass_yds+td_avg_16,10
pass_yds+td_avg_8,9
rush_attempts_streak,9
interceptions_streak,9
rush+rec_yds_avg_16,9
def_pass_td_allowed_avg_3,9
fantasy_points_ewm,9
receiving_yards_avg_16,8
touchdowns_ewm,8
pass_yds+td_avg_4,8
rush_attempts_avg_16,7
rushing_epa_avg_16,7
rush_attempts_consistency,6
interceptions_avg_4,6
rushing_tds_ewm,6
carries_avg_4,6
rush+rec_yds_avg_8,5
passing_air_yards_ewm,5
touchdowns_avg_4,5
pass_yds+td_ewm,5
rush_attempts_ewm,5
rushing_tds_avg_16,4
targets_streak,4
passing_tds_avg_4,3
touchdowns_avg_8,3
receptions_ewm,3
rushing_tds_consistency,2
receptions_avg_16,2
rush_attempts_avg_4,2
receiving_epa_avg_4,2
targets_consistency,1
targets_avg_4,1
receiving_yards_ewm,1
rushing_tds_avg_4,0
receiving_yards_avg_4,0
targets_avg_16,0
targets_ewm,0
receiving_tds_consistency,0
receiving_tds_ewm,0
is_dome,0
receiving_epa_consistency,0
is_home,0
b2b,0
receptions_consistency,0
receiving_tds_streak,0
receiving_yards_consistency,0
receiving_tds_avg_4,0
receptions_streak,0
receptions_avg_4,0
receiving_epa_ewm,0
receiving_epa_streak,0
rushing_tds_avg_8,0
receiving_tds_avg_8,0
receptions_avg_8,0
receiving_tds_avg_16,0
targets_avg_8,0
receiving_epa_avg_16,0
receiving_epa_avg_8,0
receiving_yards_streak,0
four_in_six,0
