feature,importance
days_rest,179
dvp_rush_yds_avg_3,166
dvp_fp_avg_5,156
pass_attempts_avg_4,128
total_line,126
dvp_fp_avg_3,123
def_rush_yds_allowed_avg_5,119
passing_air_yards_avg_4,116
dvp_rec_yds_avg_3,115
def_pass_yds_allowed_avg_3,103
pass_attempts_consistency,94
pass_attempts_avg_8,92
rushing_yards_consistency,89
def_rush_yds_allowed_avg_3,82
pass_attempts_streak,81
rushing_yards_streak,80
def_fp_allowed_avg_5,76
passing_air_yards_avg_16,74
interceptions_ewm,72
passing_air_yards_avg_8,69
passing_tds_ewm,68
spread_line,65
def_pass_yds_allowed_avg_5,64
def_fp_allowed_avg_3,62
rushing_epa_consistency,60
rushing_epa_avg_4,58
passing_tds_consistency,58
passing_epa_consistency,57
interceptions_streak,57
passing_tds_avg_16,56
fantasy_points_avg_8,55
rushing_yards_avg_4,55
rush+rec_yds_consistency,55
pass_attempts_avg_16,54
carries_avg_8,53
passing_yards_avg_8,53
interceptions_avg_16,51
passing_yards_avg_4,50
passing_epa_avg_4,49
passing_epa_avg_16,48
passing_epa_avg_8,47
rushing_epa_streak,46
pass_attempts_ewm,46
passing_yards_consistency,46
def_int_made_avg_3,45
rushing_yards_avg_16,44
rushing_epa_avg_16,44
carries_avg_4,44
passing_air_yards_ewm,43
passing_air_yards_consistency,42
rushing_yards_ewm,41
temp,41
touchdowns_consistency,40
carries_ewm,40
rushing_yards_avg_8,40
interceptions_consistency,38
passing_epa_streak,38
interceptions_avg_8,37
fantasy_points_consistency,37
passing_yards_streak,36
carries_consistency,35
touchdowns_avg_8,33
wind,33
pass_yds+td_avg_16,32
rushing_epa_avg_8,32
carries_streak,31
def_rec_yds_allowed_avg_3,30
fantasy_points_avg_4,30
rush+rec_yds_avg_4,30
passing_tds_streak,28
rush+rec_yds_streak,28
def_rec_yds_allowed_avg_5,27
pass_yds+td_avg_8,27
carries_avg_16,27
pass_yds+td_avg_4,27
passing_yards_avg_16,27
passing_tds_avg_8,26
rushing_tds_ewm,26
fantasy_points_avg_16,26
passing_yards_ewm,24
def_pass_td_allowed_avg_3,24
fantasy_points_ewm,24
interceptions_avg_4,23
pass_yds+td_ewm,23
pass_yds+td_streak,22
targets_consistency,21
pass_yds+td_consistency,21
receiving_yards_avg_4,21
passing_epa_ewm,21
four_in_six,20
passing_air_yards_streak,19
rush_attempts_avg_8,19
touchdowns_avg_16,18
receiving_yards_avg_16,18
touchdowns_ewm,18
rush+rec_yds_ewm,17
rushing_epa_ewm,17
is_home,16
passing_tds_avg_4,15
fantasy_points_streak,14
rushing_tds_avg_16,14
rush_attempts_avg_4,13
rush_attempts_ewm,12
rush+rec_yds_avg_16,12
rushing_tds_streak,12
rush_attempts_consistency,11
receiving_yards_streak,11
rush_attempts_avg_16,10
is_dome,8
receiving_yards_ewm,7
touchdowns_streak,7
rush+rec_yds_avg_8,6
rushing_tds_consistency,6
receiving_tds_avg_8,5
receptions_consistency,4
receptions_avg_16,4
receptions_avg_4,3
rush_attempts_streak,3
receiving_tds_avg_16,3
receiving_epa_ewm,3
targets_avg_8,3
touchdowns_avg_4,3
receptions_ewm,3
rushing_tds_avg_8,3
receiving_tds_avg_4,3
targets_avg_4,2
targets_ewm,2
rushing_tds_avg_4,1
targets_avg_16,1
receiving_tds_ewm,1
receiving_epa_avg_8,1
receiving_yards_consistency,0
receiving_tds_consistency,0
receiving_epa_avg_4,0
receiving_yards_avg_8,0
receptions_avg_8,0
receiving_epa_streak,0
targets_streak,0
receptions_streak,0
receiving_tds_streak,0
receiving_epa_avg_16,0
receiving_epa_consistency,0
b2b,0
