feature,importance
total_line,145
def_pass_yds_allowed_avg_3,130
def_fp_allowed_avg_3,128
days_rest,118
dvp_rush_yds_avg_3,113
interceptions_streak,107
dvp_fp_avg_3,102
passing_epa_consistency,102
passing_tds_consistency,92
passing_air_yards_ewm,90
passing_air_yards_consistency,86
passing_yards_avg_8,83
passing_air_yards_avg_8,80
fantasy_points_consistency,76
def_rush_yds_allowed_avg_3,75
dvp_rec_yds_avg_3,73
passing_yards_avg_4,73
pass_yds+td_avg_4,69
pass_attempts_avg_4,68
rushing_yards_avg_4,68
passing_epa_avg_16,66
passing_yards_consistency,66
rushing_epa_avg_8,65
fantasy_points_avg_8,65
def_fp_allowed_avg_5,64
passing_epa_avg_8,63
passing_epa_streak,62
def_rush_yds_allowed_avg_5,62
rushing_yards_consistency,59
interceptions_ewm,59
is_home,59
def_pass_yds_allowed_avg_5,58
wind,57
carries_consistency,56
pass_attempts_consistency,56
pass_attempts_avg_8,55
touchdowns_consistency,55
spread_line,55
passing_air_yards_avg_16,54
rushing_epa_avg_4,53
rushing_yards_streak,51
dvp_fp_avg_5,51
pass_yds+td_consistency,50
pass_yds+td_avg_8,50
carries_avg_16,49
interceptions_consistency,49
passing_epa_avg_4,48
pass_attempts_streak,48
touchdowns_ewm,47
passing_tds_ewm,47
pass_attempts_avg_16,46
passing_air_yards_avg_4,45
rushing_tds_ewm,44
rushing_epa_ewm,42
rushing_epa_streak,42
passing_epa_ewm,41
rushing_epa_avg_16,41
rushing_epa_consistency,41
interceptions_avg_16,40
def_int_made_avg_3,38
rushing_tds_avg_16,38
temp,38
touchdowns_avg_16,36
def_rec_yds_allowed_avg_3,36
passing_tds_streak,35
rush+rec_yds_consistency,35
passing_tds_avg_16,34
passing_yards_streak,34
fantasy_points_streak,32
fantasy_points_avg_16,29
carries_ewm,29
rushing_yards_avg_8,29
interceptions_avg_8,29
carries_avg_8,28
fantasy_points_avg_4,28
rushing_yards_avg_16,28
rush+rec_yds_streak,27
passing_air_yards_streak,27
touchdowns_avg_8,25
pass_attempts_ewm,24
passing_yards_ewm,24
passing_yards_avg_16,22
carries_streak,21
touchdowns_streak,20
interceptions_avg_4,20
rush+rec_yds_avg_8,20
pass_yds+td_streak,19
fantasy_points_ewm,19
rushing_tds_streak,18
def_pass_td_allowed_avg_3,18
rush_attempts_consistency,17
carries_avg_4,17
def_rec_yds_allowed_avg_5,16
pass_yds+td_avg_16,16
rush_attempts_avg_8,16
passing_tds_avg_8,14
rush+rec_yds_avg_4,13
passing_tds_avg_4,13
pass_yds+td_ewm,13
rush_attempts_streak,12
receptions_ewm,11
rushing_tds_avg_8,10
rush+rec_yds_avg_16,10
rushing_yards_ewm,9
four_in_six,8
rush_attempts_avg_16,8
targets_ewm,7
touchdowns_avg_4,6
rush_attempts_avg_4,5
rush+rec_yds_ewm,4
receiving_epa_ewm,4
rush_attempts_ewm,4
receptions_avg_8,3
is_dome,2
targets_streak,1
receptions_avg_16,1
receiving_epa_avg_16,1
targets_consistency,0
rushing_tds_avg_4,0
targets_avg_16,0
receiving_yards_avg_16,0
receiving_tds_avg_16,0
receiving_tds_consistency,0
receiving_epa_avg_8,0
receiving_epa_consistency,0
b2b,0
receptions_consistency,0
receiving_tds_ewm,0
receiving_yards_consistency,0
receiving_yards_avg_8,0
rushing_tds_consistency,0
receiving_yards_avg_4,0
receiving_tds_avg_4,0
receptions_avg_4,0
targets_avg_4,0
receiving_epa_avg_4,0
receiving_yards_ewm,0
targets_avg_8,0
receiving_yards_streak,0
receiving_tds_streak,0
receptions_streak,0
receiving_tds_avg_8,0
receiving_epa_streak,0
