feature,importance
days_rest,179
total_line,169
dvp_fp_avg_3,157
dvp_fp_avg_5,135
pass_attempts_avg_4,134
def_pass_yds_allowed_avg_3,129
dvp_rush_yds_avg_3,116
dvp_rec_yds_avg_3,104
def_pass_yds_allowed_avg_5,94
passing_epa_consistency,90
pass_attempts_avg_8,88
rushing_epa_consistency,83
wind,83
def_fp_allowed_avg_3,82
def_rush_yds_allowed_avg_5,80
def_fp_allowed_avg_5,74
fantasy_points_avg_8,74
passing_air_yards_avg_4,73
pass_attempts_consistency,73
passing_tds_consistency,72
passing_yards_consistency,71
passing_yards_avg_4,71
def_rush_yds_allowed_avg_3,70
passing_air_yards_ewm,66
temp,65
pass_attempts_streak,64
interceptions_streak,63
rushing_epa_avg_4,62
carries_avg_4,62
interceptions_ewm,60
passing_air_yards_avg_8,60
passing_air_yards_avg_16,60
pass_yds+td_avg_4,60
fantasy_points_avg_16,56
passing_epa_avg_16,54
carries_consistency,54
rushing_yards_avg_4,53
rush+rec_yds_consistency,51
rushing_yards_consistency,51
spread_line,49
passing_tds_ewm,49
rushing_epa_avg_16,48
passing_epa_streak,48
is_home,47
passing_tds_avg_16,46
fantasy_points_avg_4,46
passing_air_yards_streak,46
passing_epa_avg_8,45
passing_air_yards_consistency,45
def_rec_yds_allowed_avg_3,44
carries_ewm,44
passing_yards_avg_8,42
rushing_epa_streak,42
fantasy_points_consistency,42
passing_yards_streak,41
pass_yds+td_consistency,41
rushing_epa_avg_8,40
passing_epa_avg_4,40
passing_tds_streak,39
passing_epa_ewm,39
rushing_yards_streak,38
touchdowns_avg_8,37
interceptions_avg_16,37
def_int_made_avg_3,37
touchdowns_consistency,36
rushing_yards_avg_8,36
pass_yds+td_streak,36
interceptions_avg_8,35
pass_yds+td_avg_16,35
rush+rec_yds_streak,34
def_rec_yds_allowed_avg_5,34
passing_yards_avg_16,32
interceptions_consistency,32
carries_streak,31
pass_attempts_avg_16,30
touchdowns_avg_16,29
carries_avg_8,27
rushing_epa_ewm,27
interceptions_avg_4,26
passing_tds_avg_8,25
fantasy_points_streak,24
rushing_tds_streak,24
passing_yards_ewm,23
rushing_tds_avg_16,22
carries_avg_16,21
rushing_yards_avg_16,20
rushing_tds_ewm,20
pass_yds+td_avg_8,20
rush_attempts_avg_4,19
touchdowns_streak,19
rush+rec_yds_avg_4,18
touchdowns_ewm,18
fantasy_points_ewm,18
rush+rec_yds_avg_8,15
rush_attempts_consistency,14
four_in_six,13
targets_consistency,13
def_pass_td_allowed_avg_3,13
rush_attempts_avg_8,12
pass_attempts_ewm,11
rushing_yards_ewm,10
passing_tds_avg_4,10
rush_attempts_avg_16,10
rush+rec_yds_ewm,8
is_dome,8
rush_attempts_streak,8
receiving_epa_avg_16,7
rush_attempts_ewm,7
touchdowns_avg_4,6
receiving_yards_avg_4,5
rushing_tds_avg_8,5
receiving_tds_avg_8,5
rush+rec_yds_avg_16,5
receptions_streak,5
pass_yds+td_ewm,5
receiving_epa_ewm,5
receptions_avg_16,3
receiving_tds_avg_16,3
receiving_yards_avg_16,3
rushing_tds_avg_4,3
targets_streak,3
receiving_epa_avg_8,2
receiving_tds_avg_4,2
targets_avg_16,1
targets_ewm,1
rushing_tds_consistency,1
receiving_yards_ewm,1
receptions_consistency,1
receiving_tds_ewm,1
receiving_epa_consistency,0
b2b,0
receptions_avg_8,0
receptions_avg_4,0
receptions_ewm,0
receiving_yards_consistency,0
targets_avg_4,0
receiving_epa_avg_4,0
receiving_epa_streak,0
targets_avg_8,0
receiving_yards_streak,0
receiving_yards_avg_8,0
receiving_tds_streak,0
receiving_tds_consistency,0
