feature,importance
total_line,159
days_rest,159
pass_attempts_avg_4,137
dvp_fp_avg_3,134
dvp_rush_yds_avg_3,127
def_pass_yds_allowed_avg_5,121
dvp_fp_avg_5,117
def_pass_yds_allowed_avg_3,113
dvp_rec_yds_avg_3,99
pass_attempts_avg_8,96
def_rush_yds_allowed_avg_5,84
rushing_epa_consistency,80
def_fp_allowed_avg_5,77
def_rush_yds_allowed_avg_3,76
def_fp_allowed_avg_3,75
wind,74
rushing_epa_avg_4,74
fantasy_points_avg_8,71
interceptions_ewm,69
passing_tds_consistency,67
passing_epa_consistency,66
pass_attempts_consistency,66
passing_yards_avg_4,66
passing_air_yards_avg_4,63
passing_air_yards_avg_8,62
temp,62
carries_avg_4,61
rush+rec_yds_consistency,61
rushing_yards_avg_4,60
pass_yds+td_avg_4,59
pass_attempts_streak,59
passing_yards_consistency,59
passing_epa_avg_16,55
interceptions_streak,54
passing_epa_avg_4,52
passing_air_yards_avg_16,51
rushing_yards_consistency,51
rushing_epa_streak,48
passing_tds_ewm,48
carries_ewm,46
passing_epa_avg_8,46
passing_epa_ewm,46
passing_air_yards_ewm,44
passing_yards_streak,42
interceptions_avg_16,42
carries_avg_8,42
spread_line,41
interceptions_avg_8,40
passing_tds_avg_16,40
pass_attempts_avg_16,39
rushing_yards_streak,39
touchdowns_consistency,39
is_home,39
pass_yds+td_avg_16,39
fantasy_points_avg_16,38
fantasy_points_avg_4,38
passing_tds_streak,37
fantasy_points_consistency,36
pass_yds+td_consistency,36
def_int_made_avg_3,36
passing_air_yards_consistency,36
interceptions_consistency,34
rushing_epa_avg_8,33
carries_consistency,33
rushing_epa_avg_16,33
touchdowns_avg_8,30
carries_streak,30
def_rec_yds_allowed_avg_3,30
rushing_yards_avg_8,29
passing_yards_avg_8,29
passing_air_yards_streak,29
def_rec_yds_allowed_avg_5,29
rushing_epa_ewm,27
touchdowns_avg_16,27
rush_attempts_avg_4,25
pass_yds+td_streak,25
pass_yds+td_avg_8,25
carries_avg_16,24
passing_yards_avg_16,24
rushing_yards_avg_16,24
fantasy_points_streak,23
rush+rec_yds_streak,22
passing_epa_streak,22
rushing_tds_ewm,20
interceptions_avg_4,19
passing_tds_avg_8,19
touchdowns_streak,19
rushing_tds_streak,17
rush_attempts_consistency,16
passing_yards_ewm,16
pass_attempts_ewm,15
rushing_tds_avg_16,15
four_in_six,14
fantasy_points_ewm,13
touchdowns_ewm,13
targets_consistency,13
rush+rec_yds_avg_16,13
passing_tds_avg_4,12
rushing_tds_avg_8,12
rush_attempts_avg_8,12
rush+rec_yds_avg_4,9
def_pass_td_allowed_avg_3,9
rush_attempts_streak,9
receiving_yards_avg_4,8
rushing_yards_ewm,8
rush_attempts_ewm,7
touchdowns_avg_4,6
rush_attempts_avg_16,6
pass_yds+td_ewm,6
rush+rec_yds_ewm,6
receptions_streak,5
receiving_yards_avg_16,4
is_dome,4
receptions_avg_16,4
receiving_tds_avg_16,4
receiving_epa_avg_16,4
targets_avg_16,3
receiving_tds_avg_4,3
rush+rec_yds_avg_8,3
targets_streak,3
receptions_ewm,3
receiving_epa_ewm,2
receiving_tds_avg_8,2
rushing_tds_avg_4,1
receiving_tds_ewm,1
rushing_tds_consistency,1
receiving_yards_avg_8,1
targets_avg_4,0
receiving_epa_avg_8,0
b2b,0
receiving_yards_streak,0
receiving_epa_consistency,0
receptions_avg_8,0
targets_avg_8,0
receiving_epa_streak,0
receiving_yards_consistency,0
receiving_yards_ewm,0
receiving_epa_avg_4,0
receptions_avg_4,0
targets_ewm,0
receptions_consistency,0
receiving_tds_consistency,0
receiving_tds_streak,0
