feature,importance
dvp_rec_yds_avg_3,202
days_rest,201
receptions_avg_16,176
total_line,157
receptions_avg_8,151
def_pass_yds_allowed_avg_5,141
rush+rec_yds_avg_4,140
def_pass_yds_allowed_avg_3,139
targets_avg_8,138
dvp_rush_yds_avg_3,135
targets_avg_4,135
receiving_yards_streak,126
targets_ewm,123
receptions_ewm,122
dvp_fp_avg_3,120
receptions_avg_4,119
receiving_epa_avg_8,116
receiving_yards_avg_4,108
dvp_fp_avg_5,107
def_fp_allowed_avg_5,106
receptions_streak,103
def_rush_yds_allowed_avg_5,101
receiving_epa_avg_4,101
targets_avg_16,98
receiving_epa_streak,95
receiving_yards_consistency,95
receiving_epa_consistency,94
def_fp_allowed_avg_3,94
receiving_epa_ewm,92
receptions_consistency,92
receiving_epa_avg_16,90
rushing_epa_ewm,84
receiving_yards_avg_16,79
targets_consistency,78
def_rush_yds_allowed_avg_3,77
targets_streak,77
fantasy_points_consistency,76
fantasy_points_streak,71
fantasy_points_avg_4,69
spread_line,68
rushing_yards_streak,68
rush+rec_yds_streak,65
receiving_tds_ewm,64
rush+rec_yds_avg_8,64
def_rec_yds_allowed_avg_5,62
rush+rec_yds_consistency,61
fantasy_points_avg_8,59
rushing_yards_avg_16,55
receiving_yards_avg_8,55
touchdowns_ewm,53
receiving_tds_avg_16,51
rushing_epa_streak,50
rush+rec_yds_avg_16,50
carries_consistency,50
receiving_tds_streak,48
fantasy_points_ewm,47
rushing_epa_avg_4,47
receiving_yards_ewm,47
carries_streak,46
fantasy_points_avg_16,44
def_rec_yds_allowed_avg_3,44
rushing_yards_ewm,43
wind,43
rushing_epa_avg_16,43
rush+rec_yds_ewm,42
rushing_yards_avg_8,41
temp,39
rushing_epa_avg_8,37
touchdowns_avg_8,36
is_dome,35
rushing_yards_avg_4,34
def_pass_td_allowed_avg_3,34
carries_avg_16,32
rushing_tds_ewm,30
touchdowns_streak,30
touchdowns_avg_16,29
receiving_tds_avg_8,28
rushing_epa_consistency,26
def_int_made_avg_3,25
carries_avg_8,21
receiving_tds_consistency,21
carries_ewm,21
touchdowns_consistency,19
rushing_yards_consistency,16
is_home,15
rush_attempts_streak,14
pass_attempts_ewm,13
rushing_tds_avg_16,13
rush_attempts_ewm,12
rush_attempts_consistency,12
pass_attempts_streak,11
passing_epa_ewm,10
rushing_tds_streak,10
touchdowns_avg_4,10
passing_air_yards_streak,8
pass_attempts_avg_16,8
pass_yds+td_avg_4,7
passing_epa_avg_8,7
passing_air_yards_ewm,7
receiving_tds_avg_4,6
passing_epa_avg_16,6
rush_attempts_avg_8,6
pass_attempts_avg_8,5
passing_air_yards_avg_16,5
four_in_six,5
passing_yards_streak,4
carries_avg_4,4
rushing_tds_avg_4,3
rush_attempts_avg_16,3
rush_attempts_avg_4,2
passing_yards_avg_8,2
passing_yards_ewm,2
pass_yds+td_avg_16,1
passing_air_yards_avg_8,1
pass_yds+td_streak,1
pass_attempts_avg_4,1
rushing_tds_avg_8,1
passing_air_yards_avg_4,1
pass_yds+td_ewm,1
passing_yards_avg_4,1
rushing_tds_consistency,1
interceptions_avg_16,0
passing_tds_avg_4,0
pass_attempts_consistency,0
interceptions_ewm,0
pass_yds+td_consistency,0
passing_epa_consistency,0
passing_tds_ewm,0
b2b,0
passing_tds_avg_16,0
passing_epa_avg_4,0
interceptions_avg_4,0
passing_yards_avg_16,0
passing_tds_avg_8,0
passing_tds_streak,0
interceptions_consistency,0
passing_air_yards_consistency,0
passing_tds_consistency,0
passing_yards_consistency,0
interceptions_streak,0
passing_epa_streak,0
interceptions_avg_8,0
pass_yds+td_avg_8,0
