feature,importance
dvp_rec_yds_avg_3,319
days_rest,191
targets_avg_4,183
receiving_yards_avg_16,180
def_fp_allowed_avg_5,163
dvp_rush_yds_avg_3,153
def_pass_yds_allowed_avg_3,142
def_pass_yds_allowed_avg_5,137
receiving_epa_avg_8,128
targets_ewm,126
targets_avg_8,125
receiving_yards_avg_8,120
targets_avg_16,118
def_fp_allowed_avg_3,106
receiving_yards_ewm,104
receiving_epa_avg_4,104
receiving_epa_ewm,102
def_rush_yds_allowed_avg_3,98
targets_consistency,97
receiving_epa_streak,96
receiving_epa_consistency,91
receiving_yards_streak,91
def_rush_yds_allowed_avg_5,88
receptions_avg_16,87
receiving_yards_consistency,87
dvp_fp_avg_5,84
receiving_yards_avg_4,83
targets_streak,83
fantasy_points_streak,81
receptions_consistency,80
dvp_fp_avg_3,78
rush+rec_yds_avg_4,77
receiving_epa_avg_16,76
receptions_avg_8,76
carries_ewm,75
fantasy_points_consistency,74
receptions_streak,72
receptions_avg_4,71
fantasy_points_avg_4,70
receiving_tds_ewm,69
rushing_yards_avg_8,68
rush+rec_yds_avg_8,68
rush+rec_yds_streak,66
rush+rec_yds_consistency,64
rushing_epa_avg_16,64
touchdowns_ewm,62
rushing_epa_ewm,62
receptions_ewm,61
carries_consistency,60
fantasy_points_avg_16,58
def_pass_td_allowed_avg_3,55
fantasy_points_avg_8,55
receiving_tds_avg_16,50
rushing_epa_avg_8,50
rushing_yards_streak,47
rush+rec_yds_avg_16,47
rushing_yards_ewm,47
def_rec_yds_allowed_avg_3,45
fantasy_points_ewm,44
def_rec_yds_allowed_avg_5,43
rush+rec_yds_ewm,41
receiving_tds_consistency,40
rushing_yards_avg_4,37
rushing_yards_avg_16,37
touchdowns_avg_16,34
receiving_tds_avg_8,33
receiving_tds_streak,32
rushing_tds_ewm,29
rush_attempts_ewm,28
touchdowns_streak,27
touchdowns_consistency,27
touchdowns_avg_8,24
rushing_epa_consistency,22
pass_attempts_streak,22
def_int_made_avg_3,22
pass_attempts_ewm,21
carries_avg_16,20
rushing_epa_streak,19
carries_streak,17
passing_yards_streak,15
carries_avg_4,15
carries_avg_8,15
passing_epa_ewm,14
rushing_epa_avg_4,14
passing_air_yards_avg_16,12
rush_attempts_consistency,11
receiving_tds_avg_4,10
pass_yds+td_streak,8
four_in_six,8
passing_air_yards_ewm,8
touchdowns_avg_4,8
pass_attempts_avg_8,7
rushing_yards_consistency,7
rush_attempts_avg_16,6
rushing_tds_avg_16,6
rush_attempts_streak,6
passing_yards_avg_8,6
rushing_tds_streak,6
passing_epa_avg_16,5
passing_air_yards_streak,5
rushing_tds_avg_8,5
passing_epa_avg_8,4
rush_attempts_avg_8,4
rush_attempts_avg_4,3
passing_yards_avg_4,3
pass_yds+td_avg_4,3
pass_yds+td_ewm,3
passing_air_yards_avg_8,3
pass_attempts_avg_16,3
passing_yards_avg_16,3
passing_yards_ewm,2
pass_attempts_avg_4,2
rushing_tds_consistency,2
pass_yds+td_avg_8,2
passing_epa_avg_4,2
passing_air_yards_consistency,1
passing_tds_avg_16,0
b2b,0
passing_tds_ewm,0
passing_tds_avg_4,0
passing_air_yards_avg_4,0
passing_epa_consistency,0
interceptions_avg_4,0
pass_yds+td_consistency,0
rushing_tds_avg_4,0
pass_attempts_consistency,0
passing_yards_consistency,0
passing_tds_consistency,0
passing_tds_streak,0
interceptions_streak,0
passing_epa_streak,0
pass_yds+td_avg_16,0
passing_tds_avg_8,0
interceptions_avg_8,0
interceptions_ewm,0
interceptions_consistency,0
interceptions_avg_16,0
