feature,importance
days_rest,214
dvp_rec_yds_avg_3,211
rush+rec_yds_avg_16,201
rush+rec_yds_avg_4,192
rush+rec_yds_avg_8,188
dvp_rush_yds_avg_3,175
dvp_fp_avg_5,170
dvp_fp_avg_3,166
def_pass_yds_allowed_avg_5,153
receiving_epa_avg_8,153
rush+rec_yds_ewm,142
def_fp_allowed_avg_3,139
def_pass_yds_allowed_avg_3,133
receiving_epa_streak,128
carries_avg_4,127
def_fp_allowed_avg_5,126
def_rush_yds_allowed_avg_5,125
receiving_epa_ewm,124
def_rush_yds_allowed_avg_3,123
targets_ewm,119
receiving_epa_avg_4,115
receptions_consistency,113
targets_avg_16,112
targets_consistency,110
rushing_epa_consistency,109
targets_avg_4,107
receiving_yards_consistency,103
receiving_epa_consistency,102
receiving_yards_streak,100
targets_avg_8,97
rushing_epa_avg_8,93
receiving_yards_ewm,91
rushing_yards_streak,89
fantasy_points_consistency,89
receptions_avg_4,88
receptions_avg_16,87
targets_streak,87
receiving_yards_avg_4,87
rushing_epa_avg_16,85
rushing_yards_avg_4,84
receptions_streak,83
rush+rec_yds_consistency,83
rushing_epa_ewm,82
fantasy_points_avg_8,78
receiving_yards_avg_8,78
carries_consistency,78
rushing_yards_avg_8,77
receiving_epa_avg_16,77
rush+rec_yds_streak,76
carries_avg_8,76
fantasy_points_streak,75
fantasy_points_avg_4,75
touchdowns_ewm,73
carries_streak,71
carries_ewm,69
receiving_yards_avg_16,66
receptions_ewm,64
rushing_epa_avg_4,64
touchdowns_streak,63
carries_avg_16,62
rushing_epa_streak,62
rushing_yards_ewm,61
receiving_tds_ewm,57
rushing_yards_consistency,57
receptions_avg_8,54
rush_attempts_avg_4,54
touchdowns_avg_16,52
fantasy_points_ewm,52
fantasy_points_avg_16,50
def_rec_yds_allowed_avg_5,48
def_pass_td_allowed_avg_3,45
rushing_tds_ewm,45
rushing_yards_avg_16,41
receiving_tds_streak,40
def_rec_yds_allowed_avg_3,39
touchdowns_avg_8,32
rushing_tds_avg_16,29
touchdowns_consistency,29
def_int_made_avg_3,27
receiving_tds_avg_16,26
receiving_tds_consistency,26
passing_epa_avg_8,26
rush_attempts_avg_8,25
rushing_tds_streak,24
passing_yards_ewm,20
receiving_tds_avg_8,20
rush_attempts_ewm,18
rush_attempts_consistency,16
passing_epa_ewm,14
rush_attempts_avg_16,14
passing_yards_avg_8,14
pass_attempts_ewm,14
rushing_tds_consistency,13
touchdowns_avg_4,13
passing_yards_streak,13
passing_air_yards_streak,12
rushing_tds_avg_8,11
rush_attempts_streak,11
receiving_tds_avg_4,10
passing_epa_avg_16,10
pass_yds+td_ewm,9
pass_yds+td_streak,8
passing_air_yards_avg_16,8
pass_attempts_avg_8,6
passing_air_yards_avg_8,6
passing_tds_streak,5
pass_yds+td_avg_8,5
pass_attempts_streak,5
passing_epa_streak,4
pass_attempts_avg_16,4
passing_air_yards_ewm,3
rushing_tds_avg_4,2
passing_air_yards_avg_4,2
pass_yds+td_avg_4,2
passing_yards_avg_4,2
passing_tds_avg_4,1
passing_epa_consistency,1
pass_attempts_consistency,1
four_in_six,1
interceptions_avg_16,1
passing_air_yards_consistency,1
passing_tds_consistency,1
interceptions_ewm,1
pass_yds+td_consistency,0
b2b,0
interceptions_streak,0
passing_tds_ewm,0
pass_yds+td_avg_16,0
interceptions_avg_4,0
interceptions_consistency,0
passing_tds_avg_8,0
passing_tds_avg_16,0
passing_yards_avg_16,0
passing_yards_consistency,0
pass_attempts_avg_4,0
passing_epa_avg_4,0
interceptions_avg_8,0
