feature,importance
dvp_rush_yds_avg_3,205
dvp_fp_avg_5,149
rushing_yards_avg_4,136
def_rush_yds_allowed_avg_5,118
carries_avg_4,114
carries_ewm,102
dvp_rec_yds_avg_3,102
def_pass_yds_allowed_avg_5,102
rush+rec_yds_avg_16,101
rushing_epa_avg_8,99
carries_avg_16,90
rushing_epa_consistency,90
rush+rec_yds_avg_8,86
rushing_yards_avg_16,82
rushing_yards_ewm,80
receiving_epa_ewm,78
carries_avg_8,77
def_rush_yds_allowed_avg_3,77
rushing_yards_avg_8,76
rushing_yards_consistency,73
fantasy_points_consistency,73
fantasy_points_streak,69
rushing_epa_avg_4,69
days_rest,69
def_fp_allowed_avg_3,69
def_fp_allowed_avg_5,68
rushing_tds_ewm,67
rushing_epa_streak,66
targets_consistency,64
receiving_epa_streak,62
receiving_yards_streak,62
touchdowns_ewm,61
dvp_fp_avg_3,60
receptions_consistency,60
rushing_tds_streak,59
carries_consistency,57
receiving_epa_avg_16,56
receiving_epa_avg_4,53
rush+rec_yds_consistency,52
receptions_streak,51
receiving_yards_consistency,51
receiving_epa_avg_8,51
rush+rec_yds_avg_4,50
rushing_epa_avg_16,50
rush_attempts_avg_4,49
rush+rec_yds_ewm,48
fantasy_points_avg_4,46
def_pass_yds_allowed_avg_3,45
carries_streak,45
fantasy_points_avg_16,45
def_rec_yds_allowed_avg_5,43
rushing_epa_ewm,41
receiving_yards_avg_8,41
receiving_yards_avg_4,39
targets_avg_16,38
rushing_yards_streak,37
fantasy_points_avg_8,37
touchdowns_avg_16,36
fantasy_points_ewm,35
receptions_ewm,34
def_rec_yds_allowed_avg_3,34
rush+rec_yds_streak,34
receiving_epa_consistency,33
passing_tds_streak,33
targets_ewm,31
rushing_tds_avg_16,31
receiving_yards_ewm,31
touchdowns_streak,30
targets_streak,30
receiving_yards_avg_16,29
def_int_made_avg_3,29
rush_attempts_avg_8,29
receptions_avg_16,28
receiving_tds_ewm,25
touchdowns_avg_8,24
rush_attempts_consistency,24
rush_attempts_avg_16,22
targets_avg_8,22
rushing_tds_avg_8,21
rush_attempts_ewm,21
receiving_tds_streak,20
def_pass_td_allowed_avg_3,19
rushing_tds_consistency,19
targets_avg_4,17
pass_yds+td_streak,16
touchdowns_consistency,15
passing_air_yards_streak,14
receptions_avg_4,14
passing_yards_avg_4,11
passing_yards_consistency,10
passing_epa_ewm,10
rush_attempts_streak,10
receiving_tds_consistency,9
pass_attempts_consistency,9
receiving_tds_avg_16,9
passing_epa_avg_16,9
receptions_avg_8,9
receiving_tds_avg_4,9
rushing_tds_avg_4,8
passing_yards_ewm,8
pass_attempts_ewm,7
touchdowns_avg_4,7
pass_attempts_avg_16,7
passing_tds_consistency,7
passing_air_yards_ewm,6
passing_air_yards_consistency,5
passing_epa_avg_4,4
pass_attempts_streak,4
four_in_six,4
passing_epa_avg_8,4
passing_yards_streak,4
pass_yds+td_consistency,3
passing_air_yards_avg_4,3
interceptions_avg_4,3
pass_yds+td_ewm,3
receiving_tds_avg_8,3
passing_epa_consistency,2
interceptions_streak,2
pass_attempts_avg_8,2
passing_tds_ewm,2
pass_attempts_avg_4,1
pass_yds+td_avg_8,1
passing_yards_avg_8,1
passing_tds_avg_4,1
pass_yds+td_avg_4,1
passing_air_yards_avg_8,1
interceptions_avg_16,1
pass_yds+td_avg_16,0
b2b,0
passing_tds_avg_8,0
passing_yards_avg_16,0
passing_air_yards_avg_16,0
passing_tds_avg_16,0
interceptions_consistency,0
interceptions_avg_8,0
passing_epa_streak,0
interceptions_ewm,0
