feature,importance
total_line,241
days_rest,173
rush+rec_yds_avg_4,127
def_pass_yds_allowed_avg_3,109
dvp_fp_avg_5,108
rushing_epa_avg_8,107
dvp_rec_yds_avg_3,104
passing_epa_consistency,103
dvp_rush_yds_avg_3,102
rush+rec_yds_avg_16,97
dvp_fp_avg_3,94
fantasy_points_avg_4,93
spread_line,85
rushing_yards_streak,84
def_rush_yds_allowed_avg_3,83
def_fp_allowed_avg_5,81
def_fp_allowed_avg_3,81
fantasy_points_avg_8,78
def_pass_yds_allowed_avg_5,78
rushing_epa_ewm,76
is_home,75
rushing_yards_consistency,72
fantasy_points_consistency,71
rushing_epa_streak,70
passing_air_yards_ewm,70
receiving_epa_streak,69
rushing_epa_consistency,67
rushing_epa_avg_4,65
passing_air_yards_avg_4,64
def_rush_yds_allowed_avg_5,63
interceptions_streak,62
touchdowns_ewm,62
fantasy_points_ewm,60
rushing_epa_avg_16,59
rushing_yards_avg_4,58
passing_tds_consistency,57
passing_yards_avg_8,57
passing_epa_streak,54
def_int_made_avg_3,54
rush+rec_yds_streak,52
passing_epa_ewm,52
carries_streak,51
rush+rec_yds_avg_8,51
rushing_tds_streak,49
fantasy_points_avg_16,49
passing_yards_avg_4,49
touchdowns_avg_8,48
touchdowns_consistency,47
passing_air_yards_avg_8,46
passing_epa_avg_16,46
passing_air_yards_avg_16,46
wind,45
passing_epa_avg_8,45
carries_avg_4,45
passing_air_yards_consistency,44
receiving_epa_consistency,42
pass_yds+td_avg_8,41
rushing_tds_ewm,40
pass_yds+td_avg_4,40
targets_avg_4,39
receiving_yards_streak,39
receiving_yards_avg_8,39
def_rec_yds_allowed_avg_3,39
passing_yards_consistency,38
rush+rec_yds_consistency,38
receiving_epa_avg_16,38
carries_consistency,37
temp,36
receptions_consistency,36
carries_avg_16,35
rush+rec_yds_ewm,35
receiving_yards_consistency,35
passing_air_yards_streak,34
receiving_epa_ewm,34
rushing_tds_avg_8,34
pass_attempts_avg_4,34
fantasy_points_streak,33
receptions_ewm,33
carries_ewm,32
receiving_yards_avg_4,32
rushing_yards_ewm,31
pass_yds+td_consistency,31
interceptions_consistency,31
pass_attempts_streak,31
touchdowns_streak,31
receiving_tds_streak,30
targets_streak,29
pass_attempts_consistency,29
targets_consistency,29
touchdowns_avg_16,29
carries_avg_8,29
rushing_yards_avg_8,28
touchdowns_avg_4,27
pass_attempts_avg_8,26
rushing_tds_avg_16,25
rushing_tds_consistency,24
passing_tds_ewm,24
passing_tds_avg_4,24
interceptions_avg_4,24
rushing_yards_avg_16,24
targets_ewm,23
rush_attempts_streak,23
passing_epa_avg_4,23
targets_avg_8,23
def_pass_td_allowed_avg_3,23
pass_attempts_ewm,23
def_rec_yds_allowed_avg_5,22
passing_tds_streak,21
receiving_epa_avg_4,21
receiving_tds_ewm,21
targets_avg_16,20
receptions_avg_8,20
receiving_yards_avg_16,20
receiving_yards_ewm,20
receptions_streak,19
pass_yds+td_ewm,19
receptions_avg_4,17
passing_yards_ewm,17
receiving_tds_avg_16,16
rush_attempts_avg_4,14
receiving_epa_avg_8,14
interceptions_avg_16,14
receiving_tds_avg_8,13
pass_yds+td_streak,13
interceptions_ewm,13
passing_yards_streak,12
passing_yards_avg_16,12
receptions_avg_16,12
rush_attempts_ewm,12
passing_tds_avg_16,10
pass_attempts_avg_16,10
rush_attempts_consistency,10
interceptions_avg_8,9
receiving_tds_consistency,9
is_dome,7
rush_attempts_avg_16,7
passing_tds_avg_8,6
rushing_tds_avg_4,5
rush_attempts_avg_8,5
pass_yds+td_avg_16,3
receiving_tds_avg_4,1
four_in_six,1
b2b,0
