feature,importance
points_ewm,0.11161241
assists_ewm,0.042001046
shots_ewm,0.03355256
icetime_ewm,0.031620346
points_avg_20,0.0292926
icetime_avg_20,0.026328037
shots_avg_20,0.026105795
icetime_med_20,0.02452573
icetime_avg_10,0.02165244
icetime_avg_5,0.021404693
goals_med_5,0.021363162
points_med_5,0.021300575
b2b,0.021028267
assists_avg_20,0.020805627
icetime_med_10,0.020761773
points_consistency,0.020566043
icetime_med_5,0.02053764
assists_avg_10,0.01925755
goals_ewm,0.018873114
shots_avg_10,0.018768903
shots_med_10,0.01819783
goals_consistency,0.018029144
goals_streak,0.017756714
shots_med_20,0.01708359
icetime_consistency,0.01673428
shots_consistency,0.0167306
icetime_streak,0.016476408
assists_consistency,0.016406476
points_streak,0.016352488
assists_med_10,0.016298775
goals_avg_5,0.016252367
goals_med_20,0.015958294
assists_streak,0.015618352
goals_avg_20,0.015056691
points_avg_10,0.015018341
goals_avg_10,0.014873829
shots_avg_5,0.014826216
assists_med_20,0.014776065
assists_avg_5,0.0146687105
shots_streak,0.014504062
points_avg_5,0.0143317105
goals_med_10,0.0139263505
points_med_10,0.013786526
days_rest,0.013626703
assists_med_5,0.013273804
shots_med_5,0.012976829
points_med_20,0.012648712
four_in_six,0.012451797
faceoff_win_pct_med_20,0.0
takeaways_streak,0.0
giveaways_avg_5,0.0
takeaways_avg_5,0.0
faceoff_win_pct_consistency,0.0
takeaways_consistency,0.0
giveaways_consistency,0.0
faceoff_win_pct_avg_5,0.0
giveaways_avg_10,0.0
takeaways_avg_10,0.0
faceoff_win_pct_avg_10,0.0
giveaways_avg_20,0.0
faceoff_win_pct_streak,0.0
giveaways_streak,0.0
takeaways_med_20,0.0
takeaways_avg_20,0.0
faceoff_win_pct_avg_20,0.0
giveaways_med_5,0.0
takeaways_med_5,0.0
faceoff_win_pct_med_5,0.0
faceoff_win_pct_ewm,0.0
takeaways_ewm,0.0
giveaways_ewm,0.0
takeaways_med_10,0.0
faceoff_win_pct_med_10,0.0
giveaways_med_20,0.0
giveaways_med_10,0.0
