feature,importance
points_ewm,0.18059775
shots_ewm,0.06474607
points_avg_20,0.042296153
shots_avg_20,0.030472955
icetime_med_20,0.023853488
shots_med_20,0.02102058
icetime_avg_10,0.02091814
icetime_ewm,0.020697039
shots_avg_10,0.01896791
assists_avg_20,0.018183252
assists_ewm,0.017998928
icetime_avg_20,0.017995775
four_in_six,0.01768282
icetime_med_5,0.017587962
points_med_5,0.017567255
goals_ewm,0.017553216
goals_med_5,0.017260872
icetime_med_10,0.017247666
points_consistency,0.016793609
shots_med_5,0.01653872
goals_med_20,0.015953027
assists_consistency,0.015830806
goals_streak,0.015813012
goals_med_10,0.015617634
icetime_consistency,0.01527618
assists_avg_10,0.01503416
icetime_avg_5,0.014843048
shots_med_10,0.014803464
goals_consistency,0.014761468
icetime_streak,0.0144413905
assists_streak,0.014241929
points_avg_5,0.014172404
points_avg_10,0.0140979085
shots_streak,0.014085067
goals_avg_5,0.01395162
assists_avg_5,0.013644802
goals_avg_10,0.013510054
points_med_20,0.013373806
shots_consistency,0.0132489335
points_streak,0.013210327
assists_med_10,0.0130745545
goals_avg_20,0.013028909
shots_avg_5,0.012771335
assists_med_5,0.012689208
points_med_10,0.0118551655
assists_med_20,0.011294128
days_rest,0.010660128
b2b,0.008735357
giveaways_consistency,0.0
takeaways_consistency,0.0
giveaways_avg_5,0.0
takeaways_avg_5,0.0
faceoff_win_pct_avg_5,0.0
faceoff_win_pct_streak,0.0
faceoff_win_pct_consistency,0.0
takeaways_streak,0.0
giveaways_streak,0.0
giveaways_avg_10,0.0
faceoff_win_pct_ewm,0.0
takeaways_avg_10,0.0
faceoff_win_pct_avg_10,0.0
takeaways_ewm,0.0
giveaways_ewm,0.0
giveaways_avg_20,0.0
takeaways_avg_20,0.0
faceoff_win_pct_avg_20,0.0
faceoff_win_pct_med_20,0.0
takeaways_med_20,0.0
giveaways_med_20,0.0
giveaways_med_5,0.0
takeaways_med_5,0.0
faceoff_win_pct_med_5,0.0
faceoff_win_pct_med_10,0.0
takeaways_med_10,0.0
giveaways_med_10,0.0
