feature,importance
shots_ewm,0.09106854
points_ewm,0.0607737
points_med_20,0.03980809
goals_ewm,0.033557273
shots_avg_20,0.03191379
shots_med_20,0.024844173
assists_avg_5,0.021969577
points_avg_20,0.021881858
assists_med_20,0.021348936
icetime_med_20,0.021125704
shots_med_5,0.019944265
icetime_med_10,0.01970207
icetime_ewm,0.019426256
icetime_med_5,0.019355157
assists_med_10,0.019303078
shots_med_10,0.01924237
assists_med_5,0.01897305
shots_consistency,0.018714318
icetime_consistency,0.018629577
points_consistency,0.01811576
assists_avg_20,0.018060504
goals_avg_20,0.017743865
assists_ewm,0.017718576
points_avg_10,0.017717203
icetime_streak,0.017507467
assists_streak,0.017485043
icetime_avg_10,0.017401353
shots_streak,0.017372498
icetime_avg_20,0.017332409
shots_avg_10,0.017250013
goals_consistency,0.017103776
goals_streak,0.01668403
points_streak,0.0164289
assists_avg_10,0.01637487
points_med_10,0.01636505
goals_med_20,0.016124353
icetime_avg_5,0.015979696
assists_consistency,0.01570768
goals_med_10,0.015502518
shots_avg_5,0.015364395
four_in_six,0.015256482
goals_avg_10,0.015143716
points_avg_5,0.01420241
goals_avg_5,0.013137086
days_rest,0.012741351
points_med_5,0.012012457
goals_med_5,0.011535186
b2b,0.009049638
faceoff_win_pct_med_10,0.0
giveaways_streak,0.0
faceoff_win_pct_consistency,0.0
takeaways_consistency,0.0
giveaways_consistency,0.0
giveaways_avg_5,0.0
takeaways_avg_5,0.0
faceoff_win_pct_avg_5,0.0
giveaways_avg_10,0.0
takeaways_avg_10,0.0
faceoff_win_pct_streak,0.0
takeaways_streak,0.0
giveaways_avg_20,0.0
faceoff_win_pct_avg_10,0.0
giveaways_med_20,0.0
takeaways_avg_20,0.0
faceoff_win_pct_avg_20,0.0
faceoff_win_pct_ewm,0.0
takeaways_ewm,0.0
giveaways_ewm,0.0
giveaways_med_5,0.0
takeaways_med_5,0.0
faceoff_win_pct_med_5,0.0
takeaways_med_10,0.0
faceoff_win_pct_med_20,0.0
takeaways_med_20,0.0
giveaways_med_10,0.0
