feature,importance
assists_med_10,0.03565056
goals_avg_20,0.032864828
assists_avg_20,0.03174727
assists_med_5,0.029616369
icetime_med_10,0.029098812
icetime_avg_5,0.028483758
goals_streak,0.028393667
shots_avg_10,0.028310262
points_streak,0.027499966
icetime_streak,0.026815334
shots_avg_20,0.025833517
shots_streak,0.025673045
icetime_med_20,0.025245039
goals_avg_5,0.02477131
icetime_avg_10,0.0241628
goals_avg_10,0.023722358
icetime_ewm,0.023561921
shots_ewm,0.023546416
points_avg_20,0.023497613
points_avg_5,0.023467617
assists_avg_10,0.022998799
assists_ewm,0.022972647
points_consistency,0.02272785
icetime_avg_20,0.022685517
icetime_med_5,0.02250281
goals_med_20,0.022423165
goals_ewm,0.022240883
points_avg_10,0.022020092
points_ewm,0.021612704
goals_med_10,0.02088537
icetime_consistency,0.020368408
days_rest,0.019426687
shots_avg_5,0.018547656
shots_med_10,0.018282775
assists_streak,0.018144885
shots_med_5,0.0181388
shots_med_20,0.017542878
assists_consistency,0.016944997
assists_avg_5,0.016533514
goals_consistency,0.016233707
shots_consistency,0.015934942
points_med_5,0.015040081
points_med_20,0.007907095
points_med_10,0.0054317494
b2b,0.0043727937
four_in_six,0.0040266593
assists_med_20,0.0020901104
takeaways_med_20,0.0
giveaways_streak,0.0
giveaways_avg_5,0.0
takeaways_avg_5,0.0
faceoff_win_pct_consistency,0.0
takeaways_consistency,0.0
giveaways_consistency,0.0
faceoff_win_pct_avg_5,0.0
giveaways_avg_10,0.0
takeaways_avg_10,0.0
faceoff_win_pct_avg_10,0.0
giveaways_avg_20,0.0
faceoff_win_pct_streak,0.0
takeaways_streak,0.0
takeaways_avg_20,0.0
faceoff_win_pct_med_20,0.0
faceoff_win_pct_avg_20,0.0
goals_med_5,0.0
giveaways_med_5,0.0
takeaways_med_5,0.0
faceoff_win_pct_ewm,0.0
takeaways_ewm,0.0
giveaways_ewm,0.0
faceoff_win_pct_med_5,0.0
takeaways_med_10,0.0
faceoff_win_pct_med_10,0.0
giveaways_med_20,0.0
giveaways_med_10,0.0
