feature,importance
points_ewm,0.18050455
shots_ewm,0.06392003
points_avg_20,0.0377271
shots_avg_20,0.034756836
icetime_med_20,0.026254097
icetime_avg_10,0.023091165
icetime_ewm,0.022053137
points_med_5,0.021785418
four_in_six,0.019276682
shots_avg_10,0.019153196
shots_med_20,0.018725658
goals_ewm,0.018472753
icetime_med_5,0.018201107
assists_avg_20,0.017937362
goals_med_10,0.01759466
icetime_med_10,0.017443262
shots_med_10,0.01729601
assists_ewm,0.01721955
icetime_avg_20,0.016753005
icetime_avg_5,0.016531523
assists_avg_10,0.016065378
points_consistency,0.015982557
goals_streak,0.015841791
shots_med_5,0.015637454
icetime_consistency,0.015335235
goals_avg_5,0.015188975
goals_med_20,0.015167589
goals_consistency,0.014996578
assists_consistency,0.014946142
icetime_streak,0.014750267
points_med_20,0.014568045
shots_consistency,0.01419645
assists_streak,0.014120617
goals_avg_10,0.014048608
points_streak,0.013813009
shots_streak,0.013702323
points_avg_10,0.013306402
points_avg_5,0.012928841
assists_med_20,0.0128904795
shots_avg_5,0.012751769
goals_avg_20,0.012724594
assists_avg_5,0.012260367
points_med_10,0.012092898
assists_med_10,0.012017886
assists_med_5,0.01174281
days_rest,0.011017956
b2b,0.007179387
goals_med_5,0.0060284776
giveaways_med_20,0.0
giveaways_streak,0.0
faceoff_win_pct_consistency,0.0
takeaways_consistency,0.0
giveaways_consistency,0.0
faceoff_win_pct_avg_20,0.0
giveaways_med_5,0.0
takeaways_med_5,0.0
faceoff_win_pct_med_5,0.0
takeaways_avg_20,0.0
faceoff_win_pct_streak,0.0
takeaways_streak,0.0
giveaways_avg_20,0.0
takeaways_med_20,0.0
takeaways_med_10,0.0
faceoff_win_pct_med_10,0.0
faceoff_win_pct_avg_10,0.0
giveaways_avg_5,0.0
faceoff_win_pct_ewm,0.0
takeaways_ewm,0.0
giveaways_ewm,0.0
takeaways_avg_5,0.0
faceoff_win_pct_avg_5,0.0
takeaways_avg_10,0.0
giveaways_avg_10,0.0
faceoff_win_pct_med_20,0.0
giveaways_med_10,0.0
