feature,importance
shots_ewm,0.19833046
shots_avg_20,0.09427528
shots_med_20,0.09252152
icetime_avg_5,0.03647249
icetime_avg_10,0.027669981
icetime_med_20,0.02467104
points_ewm,0.023419179
icetime_ewm,0.023050794
goals_med_10,0.01815625
shots_avg_10,0.0174043
points_med_20,0.016724924
assists_ewm,0.016095184
assists_avg_20,0.015751276
goals_med_20,0.015162953
icetime_med_5,0.014032075
four_in_six,0.013743802
icetime_avg_20,0.013681549
icetime_med_10,0.013390984
points_avg_10,0.013274585
assists_consistency,0.013076537
points_med_5,0.0129484
shots_med_10,0.012507027
points_med_10,0.012231836
points_streak,0.01222706
points_consistency,0.012210903
points_avg_5,0.012165125
assists_avg_10,0.011936516
points_avg_20,0.011910859
goals_streak,0.011553467
assists_med_20,0.011462171
goals_ewm,0.011382732
shots_streak,0.011295098
goals_consistency,0.011146126
goals_avg_10,0.0106359
goals_avg_20,0.010559481
icetime_streak,0.010502602
assists_med_5,0.010310956
shots_consistency,0.010183559
icetime_consistency,0.010160786
assists_med_10,0.010024794
assists_avg_5,0.010015357
assists_streak,0.009750348
shots_avg_5,0.009567857
shots_med_5,0.009248656
days_rest,0.009001328
b2b,0.008237607
goals_med_5,0.008089184
goals_avg_5,0.007829012
faceoff_win_pct_med_20,0.0
takeaways_streak,0.0
giveaways_avg_5,0.0
takeaways_avg_5,0.0
faceoff_win_pct_consistency,0.0
takeaways_consistency,0.0
giveaways_consistency,0.0
faceoff_win_pct_avg_5,0.0
giveaways_avg_10,0.0
takeaways_avg_10,0.0
faceoff_win_pct_avg_10,0.0
giveaways_avg_20,0.0
faceoff_win_pct_streak,0.0
giveaways_streak,0.0
takeaways_med_20,0.0
takeaways_avg_20,0.0
faceoff_win_pct_avg_20,0.0
giveaways_med_5,0.0
takeaways_med_5,0.0
faceoff_win_pct_med_5,0.0
faceoff_win_pct_ewm,0.0
takeaways_ewm,0.0
giveaways_ewm,0.0
takeaways_med_10,0.0
faceoff_win_pct_med_10,0.0
giveaways_med_20,0.0
giveaways_med_10,0.0
