feature,importance
ast_ewm,0.022743111
stl_log_med_5,0.016876347
ast_avg_5,0.015883896
blk_log_avg_10,0.010315637
fgm_med_5,0.009727652
reb_consistency,0.009530093
min_med_5,0.009470338
stl_log_streak,0.009469788
min_ewm,0.009281032
stl_log_consistency,0.009211662
pra_combined_med_3,0.009090333
fg3a_med_5,0.008905851
reb_avg_10,0.008822576
pa_combined_med_5,0.008783519
fta_med_3,0.008758623
stl_log_avg_10,0.008625026
ast_avg_10,0.008556645
min_consistency,0.008495762
pa_combined_med_10,0.008444721
fgm_streak,0.008440525
pts_ewm,0.008284875
fg3a_consistency,0.008151095
stl_consistency,0.008118734
fg3a_avg_3,0.008084417
blk_log_streak,0.008052124
ftm_avg_3,0.007882725
fg3a_ewm,0.007858845
fga_med_10,0.007854224
pra_combined_consistency,0.007822682
pa_combined_med_3,0.0077499957
blk_log_ewm,0.007672165
fgm_avg_10,0.00765382
pr_combined_avg_5,0.0076348353
blk_log_consistency,0.0076201046
tov_streak,0.007577128
pr_combined_med_5,0.0075524356
fg3m_avg_5,0.0074337786
reb_med_5,0.007419398
ftm_consistency,0.007417928
blk_ewm,0.007393446
fta_avg_10,0.007363546
ftm_streak,0.0073234974
fg3m_med_5,0.0072286837
ast_med_10,0.0071304375
fga_ewm,0.0071181282
fta_med_5,0.0071148355
min_med_3,0.0070825806
stl_log_med_10,0.007039693
fg3m_consistency,0.007013428
stl_log_avg_3,0.006990938
tov_consistency,0.0069649816
fta_ewm,0.006885787
ast_med_5,0.0068505886
blk_streak,0.0067505217
pra_combined_streak,0.006694364
blk_log_avg_3,0.006631885
pra_combined_avg_5,0.0066290107
pra_combined_med_10,0.0065922155
pr_combined_streak,0.006582545
fga_consistency,0.0065420563
fta_streak,0.0065378994
pr_combined_med_3,0.0065039266
pa_combined_avg_5,0.006429078
tov_avg_10,0.0064093075
fg3a_avg_5,0.0064027165
stl_log_avg_5,0.006375273
blk_avg_10,0.00631303
ftm_med_5,0.0062904973
pa_combined_streak,0.0062805293
pa_combined_consistency,0.006279387
stl_ewm,0.0062246923
fg3m_ewm,0.006212014
reb_streak,0.006194353
fga_avg_10,0.0061266245
pr_combined_avg_10,0.006104671
blk_med_10,0.0060944227
fgm_ewm,0.006083489
pr_combined_avg_3,0.0060774554
tov_avg_5,0.0060351607
blk_log_avg_5,0.0060138586
exp_poss,0.0060126614
ast_consistency,0.0060107172
stl_med_3,0.0059592887
fgm_consistency,0.00595738
fg3m_med_10,0.0059558144
fg3a_med_10,0.0058864453
pra_combined_avg_3,0.0058760983
blk_med_3,0.005821613
fga_streak,0.0057530534
pr_combined_consistency,0.005674163
fg3a_streak,0.0056541027
fga_med_5,0.005647622
fta_consistency,0.0056451927
stl_med_10,0.005617745
fgm_avg_3,0.0055697183
pts_med_10,0.0055342005
reb_avg_5,0.005462974
ftm_med_10,0.005442408
pra_combined_med_5,0.0054346765
blk_consistency,0.0054032328
days_rest,0.005400731
pts_med_5,0.0053925216
fg3m_avg_10,0.0053888387
fg3m_streak,0.0053484947
reb_med_10,0.0053421566
reb_med_3,0.005286625
blk_log_med_5,0.0052245846
fta_med_10,0.0052032284
tov_med_10,0.0051891166
min_avg_3,0.0051832087
tov_ewm,0.0051817554
pts_streak,0.0051454315
stl_streak,0.0051153917
fg3m_med_3,0.0051064068
pa_combined_avg_3,0.005079238
fgm_med_10,0.0050647445
fga_avg_5,0.004951073
fga_med_3,0.0049198098
ftm_avg_5,0.004884755
tov_med_3,0.0048586344
blk_med_5,0.004850823
pts_consistency,0.004814726
pts_avg_10,0.0047921226
reb_avg_3,0.0047575086
ftm_avg_10,0.0047496166
ast_streak,0.004735969
stl_med_5,0.004712711
min_streak,0.0046322946
fg3a_avg_10,0.0046042763
ftm_ewm,0.00449926
fga_avg_3,0.0044640326
pra_combined_avg_10,0.004463395
ftm_med_3,0.0044608563
fg3a_med_3,0.004393768
fgm_avg_5,0.0043599503
fgm_med_3,0.0043346854
pa_combined_avg_10,0.0043272846
tov_avg_3,0.0043161567
stl_avg_10,0.0041776057
pts_med_3,0.0041435724
pts_avg_5,0.004046405
stl_log_ewm,0.0040391516
fta_avg_3,0.0038890676
min_avg_10,0.0038851155
fta_avg_5,0.0037279532
fg3m_avg_3,0.003570782
is_home,0.0034115864
stl_avg_3,0.0033242027
ast_med_3,0.0033146332
reb_ewm,0.0032671695
pr_combined_med_10,0.0031567754
tov_med_5,0.0030180735
four_in_six,0.0029834288
blk_avg_5,0.0027547306
ast_avg_3,0.0026913204
stl_avg_5,0.0026910868
pts_avg_3,0.0026708767
stl_log_med_3,0.002606706
min_avg_5,0.0025123146
blk_avg_3,0.0020357978
blk_log_med_3,4.0264193e-05
blk_log_med_10,0.0
min_med_10,0.0
b2b,0.0
