feature,importance
blk_log_ewm,0.049770974
blk_ewm,0.046903055
blk_avg_10,0.012609152
fgm_ewm,0.01099756
pra_combined_med_10,0.010262465
ftm_med_5,0.009815749
pra_combined_avg_3,0.009525435
fgm_med_5,0.009496566
blk_log_avg_10,0.009392334
reb_med_10,0.009030578
reb_med_5,0.008756711
min_avg_5,0.008666028
exp_poss,0.008222084
blk_med_5,0.008203006
fgm_consistency,0.007944107
blk_log_consistency,0.0077405297
ast_ewm,0.007656912
pra_combined_avg_5,0.0075367456
reb_ewm,0.0075086295
reb_avg_10,0.007441019
fg3m_med_5,0.00743931
pts_avg_10,0.007363802
fg3m_med_3,0.0073349164
pts_med_5,0.007194674
fga_avg_10,0.007077945
stl_log_avg_10,0.007071607
min_streak,0.0069616595
ftm_avg_5,0.0069076205
min_consistency,0.0069008735
stl_log_avg_5,0.006864206
stl_log_ewm,0.0068314057
ast_consistency,0.0067503904
fgm_avg_10,0.006740427
pra_combined_med_3,0.006632892
reb_avg_3,0.0066145617
pts_med_10,0.006589472
stl_avg_10,0.006521154
pr_combined_avg_5,0.006470112
fta_avg_5,0.0064591332
pr_combined_med_10,0.006457846
pa_combined_med_10,0.0064454516
pr_combined_consistency,0.006344896
fga_consistency,0.006299534
pts_streak,0.00621141
pa_combined_consistency,0.006203431
pra_combined_streak,0.0061970735
ast_med_5,0.006189809
fga_avg_3,0.0061601144
fg3m_streak,0.0061227316
pa_combined_med_5,0.006117282
ast_avg_10,0.006067215
pra_combined_consistency,0.0060597085
tov_consistency,0.0060267993
tov_med_5,0.0060244985
fta_consistency,0.005972517
pa_combined_med_3,0.0059637637
fg3a_consistency,0.0059342664
blk_log_med_10,0.005925893
fga_avg_5,0.005911699
pra_combined_med_5,0.0058985315
ftm_streak,0.0058804853
fgm_med_10,0.0058513875
ast_avg_5,0.0058244667
fg3a_med_10,0.0058031264
stl_log_streak,0.0057933545
blk_med_3,0.0057520233
pts_consistency,0.005744112
ftm_ewm,0.0057392754
pr_combined_med_3,0.005734212
fga_streak,0.005730046
blk_log_avg_5,0.0056759543
fta_ewm,0.0056234715
stl_streak,0.0056095957
stl_log_consistency,0.0056035323
fga_med_3,0.0055970354
pr_combined_avg_3,0.0055908356
fgm_streak,0.0055706487
min_ewm,0.005561254
fga_ewm,0.005501649
ast_med_3,0.005498897
blk_log_avg_3,0.005495332
pa_combined_avg_5,0.005486132
fg3m_avg_3,0.005387825
reb_streak,0.0053711277
pr_combined_avg_10,0.0053564548
pts_ewm,0.0053395396
fta_med_10,0.005338236
stl_ewm,0.0053187385
ftm_consistency,0.0053176098
fta_avg_10,0.0053050537
min_avg_10,0.0052946503
tov_avg_5,0.005269736
pa_combined_streak,0.005229845
blk_streak,0.0052158334
ftm_avg_10,0.005198155
pr_combined_med_5,0.0051885876
fg3m_ewm,0.005159345
fta_med_5,0.0051464397
min_med_5,0.0051165693
tov_med_10,0.005078383
blk_consistency,0.005067168
reb_med_3,0.005049214
pts_avg_5,0.0050383024
fg3m_consistency,0.005017393
tov_streak,0.0050145043
pra_combined_avg_10,0.0049964166
tov_ewm,0.0049925004
stl_consistency,0.004988714
stl_log_avg_3,0.004977206
reb_avg_5,0.0049612857
ast_streak,0.0049166232
fta_avg_3,0.0049106413
stl_avg_5,0.0048918193
fg3a_avg_10,0.0048813308
min_med_10,0.0048269583
pts_med_3,0.004823667
ftm_med_3,0.0047911424
min_med_3,0.0047591627
pr_combined_streak,0.004758614
tov_avg_3,0.004752827
fgm_avg_3,0.0047275713
blk_avg_5,0.0047147586
ast_med_10,0.0047040936
fg3m_avg_10,0.0046941275
pa_combined_avg_10,0.0046929773
fgm_avg_5,0.0046877638
fg3a_ewm,0.0046529365
tov_med_3,0.004611815
days_rest,0.0045534372
fg3a_streak,0.0045023616
fta_streak,0.0045019137
blk_log_streak,0.004383222
stl_log_med_3,0.0043409937
ftm_avg_3,0.004291127
ast_avg_3,0.0042727324
fg3m_avg_5,0.0042293584
stl_med_5,0.004207966
fg3a_avg_5,0.0041836095
reb_consistency,0.004173406
fta_med_3,0.0041474737
pa_combined_avg_3,0.0041344445
fg3a_med_5,0.003988604
fga_med_5,0.0039825193
fgm_med_3,0.0039024556
stl_med_10,0.0037334727
pts_avg_3,0.003723118
tov_avg_10,0.003657973
min_avg_3,0.0036373346
stl_log_med_5,0.0035861337
stl_avg_3,0.003572467
blk_avg_3,0.0035085676
blk_log_med_5,0.0034577898
fg3a_avg_3,0.0034279737
stl_med_3,0.0034152784
fga_med_10,0.0033953183
is_home,0.003275783
fg3a_med_3,0.0028901412
blk_log_med_3,0.0028300083
fg3m_med_10,0.0028293892
stl_log_med_10,0.0025234479
b2b,0.0024408477
blk_med_10,0.0022135417
ftm_med_10,0.0021450296
four_in_six,0.0
